"dataset","method","normalization","pathway","cell_type","p_value","cohens_d","mean_disease","mean_control","expected_direction","observed_direction","direction_correct","n_disease","n_control"
"ad_brain","ssGSEA","log2CPM","nfkb_signaling","neuron",0.0649572649572649,1.17302939123261,2.59820683629874,2.51954279104336,"UP","UP",TRUE,8,8
"ad_brain","ssGSEA","log2CPM","nfkb_signaling","inhibitory interneuron",0.234498834498834,0.702465424175879,2.57730893817724,2.52899369152196,"UP","UP",TRUE,8,8
"ad_brain","ssGSEA","log2CPM","toll_like_receptor","neuron",0.160528360528361,0.584996824337514,2.16251991969718,2.15119486047569,"UP","UP",TRUE,8,8
"ad_brain","ssGSEA","log2CPM","toll_like_receptor","inhibitory interneuron",0.573737373737374,0.31096025026175,2.18889921084781,2.18396222105801,"UP","UP",TRUE,8,8
"ad_brain","ssGSEA","log2CPM","oxidative_stress","neuron",0.082983682983683,1.11091775677845,1.89231827237039,1.82904793343955,"UP","UP",TRUE,8,8
"ad_brain","ssGSEA","log2CPM","oxidative_stress","inhibitory interneuron",0.441802641802642,0.476704585497238,1.92620945441796,1.89353154488523,"UP","UP",TRUE,8,8
"ad_brain","ssGSEA","voom","nfkb_signaling","neuron",0.0649572649572649,1.14686320115062,0.682843282505112,0.556890587822669,"UP","UP",TRUE,8,8
"ad_brain","ssGSEA","voom","nfkb_signaling","inhibitory interneuron",0.234498834498834,0.686334798075897,0.632548158413724,0.555151807396528,"UP","UP",TRUE,8,8
"ad_brain","ssGSEA","voom","toll_like_receptor","neuron",0.104895104895105,0.964434485602661,0.434619982262031,0.413987273992654,"UP","UP",TRUE,8,8
"ad_brain","ssGSEA","voom","toll_like_receptor","inhibitory interneuron",0.720901320901321,-0.306059363687568,0.399658933040294,0.405645032869865,"UP","DOWN",FALSE,8,8
"ad_brain","ssGSEA","voom","oxidative_stress","neuron",0.082983682983683,1.10951435265441,0.413593825649472,0.25359223878813,"UP","UP",TRUE,8,8
"ad_brain","ssGSEA","voom","oxidative_stress","inhibitory interneuron",0.278632478632479,0.636079296662934,0.360434816599953,0.263269404897713,"UP","UP",TRUE,8,8
"ad_brain","ssGSEA","scran","nfkb_signaling","neuron",0.0649572649572649,1.14686320115062,0.682843282505112,0.556890587822669,"UP","UP",TRUE,8,8
"ad_brain","ssGSEA","scran","nfkb_signaling","inhibitory interneuron",0.234498834498834,0.686334798075897,0.632548158413724,0.555151807396528,"UP","UP",TRUE,8,8
"ad_brain","ssGSEA","scran","toll_like_receptor","neuron",0.104895104895105,0.964434485602661,0.434619982262031,0.413987273992654,"UP","UP",TRUE,8,8
"ad_brain","ssGSEA","scran","toll_like_receptor","inhibitory interneuron",0.720901320901321,-0.306059363687568,0.399658933040294,0.405645032869865,"UP","DOWN",FALSE,8,8
"ad_brain","ssGSEA","scran","oxidative_stress","neuron",0.082983682983683,1.10951435265441,0.413593825649472,0.25359223878813,"UP","UP",TRUE,8,8
"ad_brain","ssGSEA","scran","oxidative_stress","inhibitory interneuron",0.278632478632479,0.636079296662934,0.360434816599953,0.263269404897713,"UP","UP",TRUE,8,8
"ad_brain","ssGSEA","sctransform","nfkb_signaling","neuron",0.0379176379176379,1.49591554045514,0.469259768313632,0.0953159405826703,"UP","UP",TRUE,8,8
"ad_brain","ssGSEA","sctransform","nfkb_signaling","inhibitory interneuron",0.645376845376845,0.184573993583218,0.135306091087447,0.0784248655942731,"UP","UP",TRUE,8,8
"ad_brain","ssGSEA","sctransform","toll_like_receptor","neuron",0.0379176379176379,1.16996141657162,0.257880455258909,0.148174572462829,"UP","UP",TRUE,8,8
"ad_brain","ssGSEA","sctransform","toll_like_receptor","inhibitory interneuron",1,0.00122705076061435,0.177892165666783,0.177755459812099,"UP","UP",TRUE,8,8
"ad_brain","ssGSEA","sctransform","oxidative_stress","neuron",0.0649572649572649,1.2673499396106,0.363930113710957,0.169994685813514,"UP","UP",TRUE,8,8
"ad_brain","ssGSEA","sctransform","oxidative_stress","inhibitory interneuron",0.878477078477078,0.104683082375394,0.151588112744515,0.126324173053901,"UP","UP",TRUE,8,8
"ad_brain","GSVA","log2CPM","nfkb_signaling","neuron",0.104895104895105,0.968268609615769,0.155556925597006,-0.175312785290694,"UP","UP",TRUE,8,8
"ad_brain","GSVA","log2CPM","nfkb_signaling","inhibitory interneuron",0.573737373737374,0.314876411983172,0.0127862343718121,-0.0924714494363906,"UP","UP",TRUE,8,8
"ad_brain","GSVA","log2CPM","toll_like_receptor","neuron",0.278632478632479,0.292484789140392,-0.01785926811485,-0.057357435566593,"UP","UP",TRUE,8,8
"ad_brain","GSVA","log2CPM","toll_like_receptor","inhibitory interneuron",0.878477078477078,-0.196444795256828,-0.0276408635039767,-0.0049804075360126,"UP","DOWN",FALSE,8,8
"ad_brain","GSVA","log2CPM","oxidative_stress","neuron",0.082983682983683,1.02712966857167,0.0961560204379316,-0.17900541470717,"UP","UP",TRUE,8,8
"ad_brain","GSVA","log2CPM","oxidative_stress","inhibitory interneuron",0.573737373737374,0.223895672470093,0.0200320452280202,-0.049187767707091,"UP","UP",TRUE,8,8
"ad_brain","GSVA","voom","nfkb_signaling","neuron",0.082983682983683,0.973913935261941,0.221403133729529,-0.087781227930187,"UP","UP",TRUE,8,8
"ad_brain","GSVA","voom","nfkb_signaling","inhibitory interneuron",0.505361305361305,0.198241424587536,-0.0721214106963002,-0.133922255991073,"UP","UP",TRUE,8,8
