"dataset","method","normalization","pathway","spearman_cor","rank_correlation","n_samples"
"ad_brain","ssGSEA","log2CPM","interferon_signaling",1,1,32
"ad_brain","ssGSEA","log2CPM","jak_stat",1,1,32
"ad_brain","ssGSEA","log2CPM","insulin_signaling",1,1,32
"ad_brain","ssGSEA","log2CPM","glucose_metabolism",1,1,32
"ad_brain","ssGSEA","log2CPM","nfkb_signaling",0.999633431085044,0.999633431085044,32
"ad_brain","ssGSEA","log2CPM","toll_like_receptor",1,1,32
"ad_brain","ssGSEA","log2CPM","tgfb_signaling",0.999633431085044,0.999633431085044,32
"ad_brain","ssGSEA","log2CPM","oxidative_stress",1,1,32
"ad_brain","ssGSEA","log2CPM","ecm_remodeling",0.999633431085044,0.999633431085044,32
"ad_brain","ssGSEA","log2CPM","raas",0.999633431085044,0.999633431085044,32
"ad_brain","ssGSEA","scran","interferon_signaling",0.76099706744868,0.76099706744868,32
"ad_brain","ssGSEA","scran","jak_stat",0.539956011730205,0.539956011730205,32
"ad_brain","ssGSEA","scran","insulin_signaling",0.382697947214076,0.382697947214076,32
"ad_brain","ssGSEA","scran","glucose_metabolism",0.131231671554252,0.131231671554252,32
"ad_brain","ssGSEA","scran","nfkb_signaling",0.993035190615836,0.993035190615836,32
"ad_brain","ssGSEA","scran","toll_like_receptor",0.0949413489736071,0.0949413489736071,32
"ad_brain","ssGSEA","scran","tgfb_signaling",0.916422287390029,0.916422287390029,32
"ad_brain","ssGSEA","scran","oxidative_stress",0.853005865102639,0.853005865102639,32
"ad_brain","ssGSEA","scran","ecm_remodeling",0.651759530791789,0.651759530791789,32
"ad_brain","ssGSEA","scran","raas",0.502565982404692,0.502565982404692,32
"ad_brain","ssGSEA","sctransform","interferon_signaling",0.879765395894428,0.879765395894428,32
"ad_brain","ssGSEA","sctransform","jak_stat",0.859970674486803,0.859970674486803,32
"ad_brain","ssGSEA","sctransform","insulin_signaling",0.732038123167155,0.732038123167155,32
"ad_brain","ssGSEA","sctransform","glucose_metabolism",0.894428152492669,0.894428152492669,32
"ad_brain","ssGSEA","sctransform","nfkb_signaling",0.917888563049853,0.917888563049853,32
"ad_brain","ssGSEA","sctransform","toll_like_receptor",0.922287390029325,0.922287390029325,32
"ad_brain","ssGSEA","sctransform","tgfb_signaling",0.880131964809384,0.880131964809384,32
"ad_brain","ssGSEA","sctransform","oxidative_stress",0.911290322580645,0.911290322580645,32
"ad_brain","ssGSEA","sctransform","ecm_remodeling",0.745234604105572,0.745234604105572,32
"ad_brain","ssGSEA","sctransform","raas",0.604105571847507,0.604105571847507,32
"ad_brain","GSVA","log2CPM","interferon_signaling",1,1,32
"ad_brain","GSVA","log2CPM","jak_stat",1,1,32
"ad_brain","GSVA","log2CPM","insulin_signaling",1,1,32
"ad_brain","GSVA","log2CPM","glucose_metabolism",1,1,32
"ad_brain","GSVA","log2CPM","nfkb_signaling",1,1,32
"ad_brain","GSVA","log2CPM","toll_like_receptor",1,1,32
"ad_brain","GSVA","log2CPM","tgfb_signaling",1,1,32
"ad_brain","GSVA","log2CPM","oxidative_stress",1,1,32
"ad_brain","GSVA","log2CPM","ecm_remodeling",1,1,32
"ad_brain","GSVA","log2CPM","raas",1,1,32
