"dataset","method","normalization","pathway","cor_with_cell_count","variance_ratio","n_outlier_samples","median_cell_count"
"ad_brain","ssGSEA","log2CPM","interferon_signaling",-0.712976539589443,NA,1,3240
"ad_brain","ssGSEA","log2CPM","jak_stat",-0.705278592375366,NA,1,3240
"ad_brain","ssGSEA","log2CPM","insulin_signaling",-0.511730205278592,NA,1,3240
"ad_brain","ssGSEA","log2CPM","glucose_metabolism",-0.789956011730205,NA,1,3240
"ad_brain","ssGSEA","log2CPM","nfkb_signaling",0.0373900293255132,NA,1,3240
"ad_brain","ssGSEA","log2CPM","toll_like_receptor",-0.653592375366569,NA,1,3240
"ad_brain","ssGSEA","log2CPM","tgfb_signaling",-0.717008797653959,NA,1,3240
"ad_brain","ssGSEA","log2CPM","oxidative_stress",-0.394428152492669,NA,1,3240
"ad_brain","ssGSEA","log2CPM","ecm_remodeling",-0.791422287390029,NA,1,3240
"ad_brain","ssGSEA","log2CPM","raas",-0.446480938416422,NA,1,3240
"ad_brain","ssGSEA","voom","interferon_signaling",-0.260630498533724,NA,1,3240
"ad_brain","ssGSEA","voom","jak_stat",0.030058651026393,NA,1,3240
"ad_brain","ssGSEA","voom","insulin_signaling",0.227639296187683,NA,1,3240
"ad_brain","ssGSEA","voom","glucose_metabolism",0.23533724340176,NA,1,3240
"ad_brain","ssGSEA","voom","nfkb_signaling",0.123533724340176,NA,1,3240
"ad_brain","ssGSEA","voom","toll_like_receptor",0.464442815249267,NA,1,3240
"ad_brain","ssGSEA","voom","tgfb_signaling",-0.572214076246334,NA,1,3240
"ad_brain","ssGSEA","voom","oxidative_stress",0.0417888563049853,NA,1,3240
"ad_brain","ssGSEA","voom","ecm_remodeling",-0.297287390029326,NA,1,3240
"ad_brain","ssGSEA","voom","raas",0.225439882697947,NA,1,3240
"ad_brain","ssGSEA","scran","interferon_signaling",-0.260630498533724,NA,1,3240
"ad_brain","ssGSEA","scran","jak_stat",0.030058651026393,NA,1,3240
"ad_brain","ssGSEA","scran","insulin_signaling",0.227639296187683,NA,1,3240
"ad_brain","ssGSEA","scran","glucose_metabolism",0.23533724340176,NA,1,3240
"ad_brain","ssGSEA","scran","nfkb_signaling",0.123533724340176,NA,1,3240
"ad_brain","ssGSEA","scran","toll_like_receptor",0.464442815249267,NA,1,3240
"ad_brain","ssGSEA","scran","tgfb_signaling",-0.572214076246334,NA,1,3240
"ad_brain","ssGSEA","scran","oxidative_stress",0.0417888563049853,NA,1,3240
"ad_brain","ssGSEA","scran","ecm_remodeling",-0.297287390029326,NA,1,3240
"ad_brain","ssGSEA","scran","raas",0.225439882697947,NA,1,3240
"ad_brain","ssGSEA","sctransform","interferon_signaling",0.191348973607038,NA,1,3240
"ad_brain","ssGSEA","sctransform","jak_stat",0.258797653958944,NA,1,3240
"ad_brain","ssGSEA","sctransform","insulin_signaling",0.26099706744868,NA,1,3240
"ad_brain","ssGSEA","sctransform","glucose_metabolism",0.197947214076246,NA,1,3240
"ad_brain","ssGSEA","sctransform","nfkb_signaling",0.275659824046921,NA,1,3240
"ad_brain","ssGSEA","sctransform","toll_like_receptor",0.139296187683284,NA,1,3240
"ad_brain","ssGSEA","sctransform","tgfb_signaling",0.186217008797654,NA,1,3240
"ad_brain","ssGSEA","sctransform","oxidative_stress",0.280058651026393,NA,1,3240
"ad_brain","ssGSEA","sctransform","ecm_remodeling",0.241935483870968,NA,1,3240
"ad_brain","ssGSEA","sctransform","raas",0.166422287390029,NA,1,3240
"ad_brain","GSVA","log2CPM","interferon_signaling",-0.337243401759531,NA,1,3240
"ad_brain","GSVA","log2CPM","jak_stat",-0.248900293255132,NA,1,3240
"ad_brain","GSVA","log2CPM","insulin_signaling",-0.0795454545454545,NA,1,3240
"ad_brain","GSVA","log2CPM","glucose_metabolism",-0.461876832844575,NA,1,3240
"ad_brain","GSVA","log2CPM","nfkb_signaling",-0.0168621700879765,NA,1,3240
"ad_brain","GSVA","log2CPM","toll_like_receptor",-0.135630498533724,NA,1,3240
"ad_brain","GSVA","log2CPM","tgfb_signaling",-0.484970674486804,NA,1,3240
"ad_brain","GSVA","log2CPM","oxidative_stress",-0.0755131964809384,NA,1,3240
"ad_brain","GSVA","log2CPM","ecm_remodeling",-0.50549853372434,NA,1,3240
"ad_brain","GSVA","log2CPM","raas",0.275659824046921,NA,1,3240
"ad_brain","GSVA","voom","interferon_signaling",-0.156891495601173,NA,1,3240
"ad_brain","GSVA","voom","jak_stat",-0.174120234604106,NA,1,3240
"ad_brain","GSVA","voom","insulin_signaling",0.414222873900293,NA,1,3240
"ad_brain","GSVA","voom","glucose_metabolism",-0.167521994134897,NA,1,3240
"ad_brain","GSVA","voom","nfkb_signaling",0.173387096774194,NA,1,3240
"ad_brain","GSVA","voom","toll_like_receptor",0.279692082111437,NA,1,3240
"ad_brain","GSVA","voom","tgfb_signaling",0.0219941348973607,NA,1,3240
"ad_brain","GSVA","voom","oxidative_stress",0.00843108504398827,NA,1,3240
"ad_brain","GSVA","voom","ecm_remodeling",-0.212976539589443,NA,1,3240
"ad_brain","GSVA","voom","raas",0.25,NA,1,3240
"ad_brain","GSVA","scran","interferon_signaling",-0.18108504398827,NA,1,3240
"ad_brain","GSVA","scran","jak_stat",-0.19758064516129,NA,1,3240
"ad_brain","GSVA","scran","insulin_signaling",0.326612903225806,NA,1,3240
"ad_brain","GSVA","scran","glucose_metabolism",-0.276392961876833,NA,1,3240
