"dataset","method","pathway","norm1","norm2","spearman_cor","n_samples"
"ad_brain","ssGSEA","interferon_signaling","log2CPM","voom",0.76099706744868,32
"ad_brain","ssGSEA","jak_stat","log2CPM","voom",0.539956011730205,32
"ad_brain","ssGSEA","insulin_signaling","log2CPM","voom",0.382697947214076,32
"ad_brain","ssGSEA","glucose_metabolism","log2CPM","voom",0.131231671554252,32
"ad_brain","ssGSEA","nfkb_signaling","log2CPM","voom",0.99266862170088,32
"ad_brain","ssGSEA","toll_like_receptor","log2CPM","voom",0.0949413489736071,32
"ad_brain","ssGSEA","tgfb_signaling","log2CPM","voom",0.915689149560117,32
"ad_brain","ssGSEA","oxidative_stress","log2CPM","voom",0.853005865102639,32
"ad_brain","ssGSEA","ecm_remodeling","log2CPM","voom",0.655058651026393,32
"ad_brain","ssGSEA","raas","log2CPM","voom",0.506231671554252,32
"ad_brain","ssGSEA","interferon_signaling","log2CPM","scran",0.76099706744868,32
"ad_brain","ssGSEA","jak_stat","log2CPM","scran",0.539956011730205,32
"ad_brain","ssGSEA","insulin_signaling","log2CPM","scran",0.382697947214076,32
"ad_brain","ssGSEA","glucose_metabolism","log2CPM","scran",0.131231671554252,32
"ad_brain","ssGSEA","nfkb_signaling","log2CPM","scran",0.99266862170088,32
"ad_brain","ssGSEA","toll_like_receptor","log2CPM","scran",0.0949413489736071,32
"ad_brain","ssGSEA","tgfb_signaling","log2CPM","scran",0.915689149560117,32
"ad_brain","ssGSEA","oxidative_stress","log2CPM","scran",0.853005865102639,32
"ad_brain","ssGSEA","ecm_remodeling","log2CPM","scran",0.655058651026393,32
"ad_brain","ssGSEA","raas","log2CPM","scran",0.506231671554252,32
"ad_brain","ssGSEA","interferon_signaling","log2CPM","sctransform",0.330645161290323,32
"ad_brain","ssGSEA","jak_stat","log2CPM","sctransform",0.288123167155425,32
"ad_brain","ssGSEA","insulin_signaling","log2CPM","sctransform",0.352639296187683,32
"ad_brain","ssGSEA","glucose_metabolism","log2CPM","sctransform",0.19758064516129,32
"ad_brain","ssGSEA","nfkb_signaling","log2CPM","sctransform",0.929985337243402,32
"ad_brain","ssGSEA","toll_like_receptor","log2CPM","sctransform",0.351906158357771,32
"ad_brain","ssGSEA","tgfb_signaling","log2CPM","sctransform",0.184384164222874,32
"ad_brain","ssGSEA","oxidative_stress","log2CPM","sctransform",0.605205278592375,32
"ad_brain","ssGSEA","ecm_remodeling","log2CPM","sctransform",0.094208211143695,32
"ad_brain","ssGSEA","raas","log2CPM","sctransform",0.697214076246334,32
