"dataset","method","normalization","pathway","sample_fraction","n_subsampled","n_total","mean_rank_cor","sd_rank_cor","full_effect","mean_sub_effect","sd_sub_effect"
"ad_brain","ssGSEA","log2CPM","interferon_signaling",0.3,10,32,0.68630303030303,0.266561400485903,0.718207234887888,0.859355489449781,0.750573141724823
"ad_brain","ssGSEA","log2CPM","jak_stat",0.3,10,32,0.68630303030303,0.266561400485903,0.694656707499062,0.645511827560502,0.666150302689333
"ad_brain","ssGSEA","log2CPM","insulin_signaling",0.3,10,32,0.68630303030303,0.266561400485903,0.97350352854262,0.961391120617177,0.778965176862862
"ad_brain","ssGSEA","log2CPM","glucose_metabolism",0.3,10,32,0.68630303030303,0.266561400485903,0.349283638683788,0.365570914207373,0.54556008214783
"ad_brain","ssGSEA","log2CPM","nfkb_signaling",0.3,10,32,0.68630303030303,0.266561400485903,0.959717361446,1.18773951566881,0.929610935326571
"ad_brain","ssGSEA","log2CPM","toll_like_receptor",0.3,10,32,0.68630303030303,0.266561400485903,0.353700195219015,0.330382629223919,0.555095370521747
"ad_brain","ssGSEA","log2CPM","tgfb_signaling",0.3,10,32,0.68630303030303,0.266561400485903,0.769246154035748,0.748293876145538,0.608276285846449
"ad_brain","ssGSEA","log2CPM","oxidative_stress",0.3,10,32,0.68630303030303,0.266561400485903,0.72207556170863,0.936833038859961,0.90237707905222
"ad_brain","ssGSEA","log2CPM","ecm_remodeling",0.3,10,32,0.68630303030303,0.266561400485903,0.0481188902499521,0.0108098980240942,0.497622318184683
"ad_brain","ssGSEA","log2CPM","raas",0.3,10,32,0.68630303030303,0.266561400485903,1.24175480291757,1.45940604542144,0.945658777659231
"ad_brain","ssGSEA","log2CPM","interferon_signaling",0.5,16,32,0.813818181818182,0.117691862927845,0.718207234887888,0.727177916253515,0.39538545689329
"ad_brain","ssGSEA","log2CPM","jak_stat",0.5,16,32,0.813818181818182,0.117691862927845,0.694656707499062,0.72879719434529,0.434763344082896
"ad_brain","ssGSEA","log2CPM","insulin_signaling",0.5,16,32,0.813818181818182,0.117691862927845,0.97350352854262,1.05723935607263,0.391124519606929
"ad_brain","ssGSEA","log2CPM","glucose_metabolism",0.5,16,32,0.813818181818182,0.117691862927845,0.349283638683788,0.275270459963726,0.427652749932348
"ad_brain","ssGSEA","log2CPM","nfkb_signaling",0.5,16,32,0.813818181818182,0.117691862927845,0.959717361446,1.00793106928949,0.424279018553655
"ad_brain","ssGSEA","log2CPM","toll_like_receptor",0.5,16,32,0.813818181818182,0.117691862927845,0.353700195219015,0.445764397497998,0.362232575121687
"ad_brain","ssGSEA","log2CPM","tgfb_signaling",0.5,16,32,0.813818181818182,0.117691862927845,0.769246154035748,0.957120919347367,0.445781743827546
"ad_brain","ssGSEA","log2CPM","oxidative_stress",0.5,16,32,0.813818181818182,0.117691862927845,0.72207556170863,0.81180581686286,0.542589397427152
"ad_brain","ssGSEA","log2CPM","ecm_remodeling",0.5,16,32,0.813818181818182,0.117691862927845,0.0481188902499521,0.103570622758376,0.356442014590715
"ad_brain","ssGSEA","log2CPM","raas",0.5,16,32,0.813818181818182,0.117691862927845,1.24175480291757,1.37285643559265,0.480853220469234
"ad_brain","ssGSEA","log2CPM","interferon_signaling",0.7,22,32,0.909090909090909,0.0663115294852523,0.718207234887888,0.696652096003458,0.223376079018998
"ad_brain","ssGSEA","log2CPM","jak_stat",0.7,22,32,0.909090909090909,0.0663115294852523,0.694656707499062,0.719981421335536,0.224614712957667
"ad_brain","ssGSEA","log2CPM","insulin_signaling",0.7,22,32,0.909090909090909,0.0663115294852523,0.97350352854262,0.939775567682788,0.23169360582494
"ad_brain","ssGSEA","log2CPM","glucose_metabolism",0.7,22,32,0.909090909090909,0.0663115294852523,0.349283638683788,0.383710988823105,0.243163182808465
"ad_brain","ssGSEA","log2CPM","nfkb_signaling",0.7,22,32,0.909090909090909,0.0663115294852523,0.959717361446,0.970194475677096,0.29757811229302
"ad_brain","ssGSEA","log2CPM","toll_like_receptor",0.7,22,32,0.909090909090909,0.0663115294852523,0.353700195219015,0.369217035776706,0.286090668541643
"ad_brain","ssGSEA","log2CPM","tgfb_signaling",0.7,22,32,0.909090909090909,0.0663115294852523,0.769246154035748,0.810806630772093,0.279959700511628
"ad_brain","ssGSEA","log2CPM","oxidative_stress",0.7,22,32,0.909090909090909,0.0663115294852523,0.72207556170863,0.742803431553311,0.299310457056488
"ad_brain","ssGSEA","log2CPM","ecm_remodeling",0.7,22,32,0.909090909090909,0.0663115294852523,0.0481188902499521,0.0625587278499568,0.240454907774982
"ad_brain","ssGSEA","log2CPM","raas",0.7,22,32,0.909090909090909,0.0663115294852523,1.24175480291757,1.28968429181026,0.34997288568205
"ad_brain","ssGSEA","log2CPM","interferon_signaling",0.9,28,32,0.949333333333333,0.0328265289796794,0.718207234887888,0.748576434958009,0.175035765298716
"ad_brain","ssGSEA","log2CPM","jak_stat",0.9,28,32,0.949333333333333,0.0328265289796794,0.694656707499062,0.688783616795814,0.130466256493967
"ad_brain","ssGSEA","log2CPM","insulin_signaling",0.9,28,32,0.949333333333333,0.0328265289796794,0.97350352854262,0.962116173179824,0.14262395323753
"ad_brain","ssGSEA","log2CPM","glucose_metabolism",0.9,28,32,0.949333333333333,0.0328265289796794,0.349283638683788,0.358559010640941,0.141930427388011
"ad_brain","ssGSEA","log2CPM","nfkb_signaling",0.9,28,32,0.949333333333333,0.0328265289796794,0.959717361446,0.976947175313168,0.163360916289761
"ad_brain","ssGSEA","log2CPM","toll_like_receptor",0.9,28,32,0.949333333333333,0.0328265289796794,0.353700195219015,0.341645795481739,0.133911185435413
"ad_brain","ssGSEA","log2CPM","tgfb_signaling",0.9,28,32,0.949333333333333,0.0328265289796794,0.769246154035748,0.767073536730784,0.162077374842091
"ad_brain","ssGSEA","log2CPM","oxidative_stress",0.9,28,32,0.949333333333333,0.0328265289796794,0.72207556170863,0.751733740972276,0.148051836953599
"ad_brain","ssGSEA","log2CPM","ecm_remodeling",0.9,28,32,0.949333333333333,0.0328265289796794,0.0481188902499521,0.0531086949612367,0.156309779662028
"ad_brain","ssGSEA","log2CPM","raas",0.9,28,32,0.949333333333333,0.0328265289796794,1.24175480291757,1.21503519635928,0.184858571285298
"ad_brain","ssGSEA","voom","interferon_signaling",0.3,10,32,0.603393939393939,0.168865175840229,1.05422852309561,1.04416725244211,0.536257558653792
"ad_brain","ssGSEA","voom","jak_stat",0.3,10,32,0.603393939393939,0.168865175840229,0.978393544920586,0.999082423652996,0.572633357817681
"ad_brain","ssGSEA","voom","insulin_signaling",0.3,10,32,0.603393939393939,0.168865175840229,1.09508517980166,1.00815637225355,0.703755570760487
"ad_brain","ssGSEA","voom","glucose_metabolism",0.3,10,32,0.603393939393939,0.168865175840229,0.25883765148209,0.230304393176825,0.637597565211225
"ad_brain","ssGSEA","voom","nfkb_signaling",0.3,10,32,0.603393939393939,0.168865175840229,0.932023635524758,0.986449672510271,0.575546625996458
"ad_brain","ssGSEA","voom","toll_like_receptor",0.3,10,32,0.603393939393939,0.168865175840229,0.30826997754571,0.284336414521789,0.5557935298298
"ad_brain","ssGSEA","voom","tgfb_signaling",0.3,10,32,0.603393939393939,0.168865175840229,1.03838276463433,0.961029207699444,0.712435715355387
"ad_brain","ssGSEA","voom","oxidative_stress",0.3,10,32,0.603393939393939,0.168865175840229,0.887656518847594,1.25730253388937,0.82916504961897
"ad_brain","ssGSEA","voom","ecm_remodeling",0.3,10,32,0.603393939393939,0.168865175840229,-0.400801790000919,-0.507743979775202,0.593631318503168
"ad_brain","ssGSEA","voom","raas",0.3,10,32,0.603393939393939,0.168865175840229,1.05568247712378,1.21071954226442,0.814772205074092
"ad_brain","ssGSEA","voom","interferon_signaling",0.5,16,32,0.696484848484848,0.171541525601575,1.05422852309561,1.0183488016332,0.414689876545087
"ad_brain","ssGSEA","voom","jak_stat",0.5,16,32,0.696484848484848,0.171541525601575,0.978393544920586,1.09635885820249,0.712590955226528
"ad_brain","ssGSEA","voom","insulin_signaling",0.5,16,32,0.696484848484848,0.171541525601575,1.09508517980166,1.00507285908485,0.323688110507725
"ad_brain","ssGSEA","voom","glucose_metabolism",0.5,16,32,0.696484848484848,0.171541525601575,0.25883765148209,0.251989652148641,0.44903720896367
"ad_brain","ssGSEA","voom","nfkb_signaling",0.5,16,32,0.696484848484848,0.171541525601575,0.932023635524758,0.891334794798562,0.355867573189484
"ad_brain","ssGSEA","voom","toll_like_receptor",0.5,16,32,0.696484848484848,0.171541525601575,0.30826997754571,0.314629011544452,0.313658259730567
"ad_brain","ssGSEA","voom","tgfb_signaling",0.5,16,32,0.696484848484848,0.171541525601575,1.03838276463433,0.968558693413877,0.326286620220122
"ad_brain","ssGSEA","voom","oxidative_stress",0.5,16,32,0.696484848484848,0.171541525601575,0.887656518847594,0.919878587175378,0.390254728629132
"ad_brain","ssGSEA","voom","ecm_remodeling",0.5,16,32,0.696484848484848,0.171541525601575,-0.400801790000919,-0.339634251559516,0.313071937334957
"ad_brain","ssGSEA","voom","raas",0.5,16,32,0.696484848484848,0.171541525601575,1.05568247712378,1.09122768679759,0.387523682478286
"ad_brain","ssGSEA","voom","interferon_signaling",0.7,22,32,0.786424242424242,0.0986523764227188,1.05422852309561,1.01043607767038,0.254462297244106
"ad_brain","ssGSEA","voom","jak_stat",0.7,22,32,0.786424242424242,0.0986523764227188,0.978393544920586,0.94424773508195,0.221012255550256
"ad_brain","ssGSEA","voom","insulin_signaling",0.7,22,32,0.786424242424242,0.0986523764227188,1.09508517980166,1.13282548091079,0.266107458881744
