"dataset","method","normalization","pathway","cell_type","p_value","cohens_d","mean_disease","mean_control","expected_direction","observed_direction","direction_correct","n_disease","n_control"
"ckd_kidney","ssGSEA","log2CPM","jak_stat","epithelial cell of proximal tubule",0.374421674765668,0.0713486576190721,1.58541455165331,1.58217231242721,"UP","UP",TRUE,36,23
"ckd_kidney","ssGSEA","log2CPM","jak_stat","kidney loop of Henle thick ascending limb epithelial cell",0.143640251579593,0.437958391576976,1.57092149124411,1.54972591789322,"UP","UP",TRUE,38,23
"ckd_kidney","ssGSEA","log2CPM","jak_stat","kidney collecting duct principal cell",0.852830934001988,-0.0376424143434545,1.58565461476468,1.58720395326072,"UP","DOWN",FALSE,34,23
"ckd_kidney","ssGSEA","log2CPM","jak_stat","kidney interstitial fibroblast",0.297954841667503,-0.336221019451874,1.64564996799034,1.65989379676698,"UP","DOWN",FALSE,33,21
"ckd_kidney","ssGSEA","log2CPM","jak_stat","kidney collecting duct intercalated cell",0.73305346221477,0.134029604848168,1.6066202311967,1.60158106975,"UP","UP",TRUE,34,22
"ckd_kidney","ssGSEA","log2CPM","jak_stat","kidney loop of Henle thin descending limb epithelial cell",0.34988438701186,0.42004425360579,1.59383982233467,1.57638853678223,"UP","UP",TRUE,14,13
"ckd_kidney","ssGSEA","log2CPM","jak_stat","kidney connecting tubule epithelial cell",0.608974449616757,-0.200828723409872,1.60569211361108,1.61306194240589,"UP","DOWN",FALSE,22,16
"ckd_kidney","ssGSEA","log2CPM","jak_stat","endothelial cell",0.993893850470493,0.00475945939692171,1.67239204628416,1.67220653104955,"UP","UP",TRUE,35,24
"ckd_kidney","ssGSEA","log2CPM","jak_stat","kidney loop of Henle thin ascending limb epithelial cell",0.888888888888889,0.166436366142946,1.61238340101499,1.60514330328765,"UP","UP",TRUE,2,7
"ckd_kidney","ssGSEA","log2CPM","jak_stat","kidney distal convoluted tubule epithelial cell",0.0789885140884015,0.610542881539555,1.60767524270565,1.58321677616228,"UP","UP",TRUE,23,16
"ckd_kidney","ssGSEA","log2CPM","jak_stat","T cell",0.0908417348045831,-0.942792931973233,1.75597343880325,1.77871459055049,"UP","DOWN",FALSE,11,8
"ckd_kidney","ssGSEA","log2CPM","jak_stat","renal interstitial pericyte",0.477210793757019,0.241840745006598,1.67532771677686,1.66811892925704,"UP","UP",TRUE,29,19
"ckd_kidney","ssGSEA","log2CPM","jak_stat","podocyte",0.0521960945816368,0.749952401464767,1.63561567890772,1.61635277144478,"UP","UP",TRUE,26,15
"ckd_kidney","ssGSEA","log2CPM","jak_stat","kidney interstitial alternatively activated macrophage",0.00112890205769463,-1.78508463065208,1.75196174612129,1.78656684831373,"UP","DOWN",FALSE,12,10
"ckd_kidney","ssGSEA","log2CPM","jak_stat","mononuclear phagocyte",0.00815850815850816,-1.87287546671254,1.76665845044995,1.80100731912698,"UP","DOWN",FALSE,6,7
"ckd_kidney","ssGSEA","log2CPM","jak_stat","B cell",0.4,-1.03452661792767,1.73507338870811,1.75522506376062,"UP","DOWN",FALSE,3,2
"ckd_kidney","ssGSEA","log2CPM","jak_stat","parietal epithelial cell",0.550177931330173,-0.440071204391856,1.65324237423075,1.66456475538951,"UP","DOWN",FALSE,13,14
"ckd_kidney","ssGSEA","log2CPM","nfkb_signaling","epithelial cell of proximal tubule",0.190666209310176,-0.403800123476774,1.87015469246957,1.89066706618892,"UP","DOWN",FALSE,36,23
"ckd_kidney","ssGSEA","log2CPM","nfkb_signaling","kidney loop of Henle thick ascending limb epithelial cell",0.310616514700667,-0.17147754127641,1.85048284711233,1.85766310161288,"UP","DOWN",FALSE,38,23
"ckd_kidney","ssGSEA","log2CPM","nfkb_signaling","kidney collecting duct principal cell",0.0695020296367588,-0.424438984107147,1.86666154487005,1.89040892186367,"UP","DOWN",FALSE,34,23
"ckd_kidney","ssGSEA","log2CPM","nfkb_signaling","kidney interstitial fibroblast",0.00413928525616565,-0.737684443374349,1.87451776887218,1.91460702070184,"UP","DOWN",FALSE,33,21
"ckd_kidney","ssGSEA","log2CPM","nfkb_signaling","kidney collecting duct intercalated cell",0.0231591932422007,-0.608398735044907,1.86861165312479,1.89506644341599,"UP","DOWN",FALSE,34,22
"ckd_kidney","ssGSEA","log2CPM","nfkb_signaling","kidney loop of Henle thin descending limb epithelial cell",0.980971667588978,-0.12991224272424,1.8874730111541,1.89558021378023,"UP","DOWN",FALSE,14,13
