"dataset","method","normalization","pathway","spearman_cor","rank_correlation","n_samples"
"ckd_kidney","ssGSEA","log2CPM","interferon_signaling",0.999981906081253,0.999981906081253,651
"ckd_kidney","ssGSEA","log2CPM","jak_stat",0.999993127790476,0.999993127790476,651
"ckd_kidney","ssGSEA","log2CPM","insulin_signaling",0.999942804078961,0.999942804078961,651
"ckd_kidney","ssGSEA","log2CPM","glucose_metabolism",0.999928494224952,0.999928494224952,651
"ckd_kidney","ssGSEA","log2CPM","nfkb_signaling",0.999940411854127,0.999940411854127,651
"ckd_kidney","ssGSEA","log2CPM","toll_like_receptor",0.999979557351416,0.999979557351416,651
"ckd_kidney","ssGSEA","log2CPM","tgfb_signaling",0.999951068128389,0.999951068128389,651
"ckd_kidney","ssGSEA","log2CPM","oxidative_stress",0.999965943417358,0.999965943417358,651
"ckd_kidney","ssGSEA","log2CPM","ecm_remodeling",0.999991648960578,0.999991648960578,651
"ckd_kidney","ssGSEA","log2CPM","raas",0.999982210546232,0.999982210546232,651
"ckd_kidney","ssGSEA","scran","interferon_signaling",0.876586686616372,0.876586686616372,651
"ckd_kidney","ssGSEA","scran","jak_stat",0.707832448572603,0.707832448572603,651
"ckd_kidney","ssGSEA","scran","insulin_signaling",0.466471664096837,0.466471664096837,651
"ckd_kidney","ssGSEA","scran","glucose_metabolism",0.655769372127971,0.655769372127971,651
"ckd_kidney","ssGSEA","scran","nfkb_signaling",0.925429610958999,0.925429610958999,651
"ckd_kidney","ssGSEA","scran","toll_like_receptor",0.688290755355865,0.688290755355865,651
"ckd_kidney","ssGSEA","scran","tgfb_signaling",0.913000132659741,0.913000132659741,651
"ckd_kidney","ssGSEA","scran","oxidative_stress",0.840660254054277,0.840660254054277,651
"ckd_kidney","ssGSEA","scran","ecm_remodeling",0.729674418200047,0.729674418200047,651
"ckd_kidney","ssGSEA","scran","raas",0.760423597775666,0.760423597775666,651
"ckd_kidney","ssGSEA","sctransform","interferon_signaling",0.987001998595112,0.987001998595112,651
"ckd_kidney","ssGSEA","sctransform","jak_stat",0.973967330907762,0.973967330907762,651
"ckd_kidney","ssGSEA","sctransform","insulin_signaling",0.914762419452702,0.914762419452702,651
"ckd_kidney","ssGSEA","sctransform","glucose_metabolism",0.85909212892787,0.85909212892787,651
"ckd_kidney","ssGSEA","sctransform","nfkb_signaling",0.969925688797646,0.969925688797646,651
"ckd_kidney","ssGSEA","sctransform","toll_like_receptor",0.982706084732604,0.982706084732604,651
"ckd_kidney","ssGSEA","sctransform","tgfb_signaling",0.969068097942034,0.969068097942034,651
"ckd_kidney","ssGSEA","sctransform","oxidative_stress",0.970840388584303,0.970840388584303,651
"ckd_kidney","ssGSEA","sctransform","ecm_remodeling",0.981613316428278,0.981613316428278,651
"ckd_kidney","ssGSEA","sctransform","raas",0.941972498113405,0.941972498113405,651
"ckd_kidney","GSVA","log2CPM","interferon_signaling",0.999999956505003,0.999999956505003,651
"ckd_kidney","GSVA","log2CPM","jak_stat",0.999999956505003,0.999999956505003,651
"ckd_kidney","GSVA","log2CPM","insulin_signaling",1,1,651
"ckd_kidney","GSVA","log2CPM","glucose_metabolism",0.999999956505003,0.999999956505003,651
"ckd_kidney","GSVA","log2CPM","nfkb_signaling",0.999999913010006,0.999999913010006,651
"ckd_kidney","GSVA","log2CPM","toll_like_receptor",1,1,651
"ckd_kidney","GSVA","log2CPM","tgfb_signaling",1,1,651
"ckd_kidney","GSVA","log2CPM","oxidative_stress",0.999999956505003,0.999999956505003,651
"ckd_kidney","GSVA","log2CPM","ecm_remodeling",1,1,651
"ckd_kidney","GSVA","log2CPM","raas",1,1,651
"ckd_kidney","GSVA","scran","interferon_signaling",0.220507456129859,0.220507456129859,651
"ckd_kidney","GSVA","scran","jak_stat",0.136473730109194,0.136473730109194,651
"ckd_kidney","GSVA","scran","insulin_signaling",0.208308979759603,0.208308979759603,651
"ckd_kidney","GSVA","scran","glucose_metabolism",0.31850873053327,0.31850873053327,651
"ckd_kidney","GSVA","scran","nfkb_signaling",0.349563157997751,0.349563157997751,651
"ckd_kidney","GSVA","scran","toll_like_receptor",0.028150266515594,0.028150266515594,651
"ckd_kidney","GSVA","scran","tgfb_signaling",0.0832539042196671,0.0832539042196671,651
"ckd_kidney","GSVA","scran","oxidative_stress",0.537979526904918,0.537979526904918,651
"ckd_kidney","GSVA","scran","ecm_remodeling",0.352070731564102,0.352070731564102,651
"ckd_kidney","GSVA","scran","raas",0.358908493050587,0.358908493050587,651
"ckd_kidney","GSVA","sctransform","interferon_signaling",0.877066436433149,0.877066436433149,651
"ckd_kidney","GSVA","sctransform","jak_stat",0.705503552453879,0.705503552453879,651
"ckd_kidney","GSVA","sctransform","insulin_signaling",0.899357361419503,0.899357361419503,651
"ckd_kidney","GSVA","sctransform","glucose_metabolism",0.965099744901843,0.965099744901843,651
"ckd_kidney","GSVA","sctransform","nfkb_signaling",0.979289378739211,0.979289378739211,651
"ckd_kidney","GSVA","sctransform","toll_like_receptor",0.757461501490791,0.757461501490791,651
"ckd_kidney","GSVA","sctransform","tgfb_signaling",0.892244798542048,0.892244798542048,651
"ckd_kidney","GSVA","sctransform","oxidative_stress",0.963049695208809,0.963049695208809,651
"ckd_kidney","GSVA","sctransform","ecm_remodeling",0.842389658629516,0.842389658629516,651
"ckd_kidney","GSVA","sctransform","raas",0.953782999110527,0.953782999110527,651
"ckd_kidney","zscore","log2CPM","interferon_signaling",1,1,651
"ckd_kidney","zscore","log2CPM","jak_stat",0.999999956505003,0.999999956505003,651
"ckd_kidney","zscore","log2CPM","insulin_signaling",1,1,651
"ckd_kidney","zscore","log2CPM","glucose_metabolism",1,1,651
"ckd_kidney","zscore","log2CPM","nfkb_signaling",1,1,651
"ckd_kidney","zscore","log2CPM","toll_like_receptor",1,1,651
"ckd_kidney","zscore","log2CPM","tgfb_signaling",1,1,651
"ckd_kidney","zscore","log2CPM","oxidative_stress",0.999999956505003,0.999999956505003,651
"ckd_kidney","zscore","log2CPM","ecm_remodeling",1,1,651
"ckd_kidney","zscore","log2CPM","raas",1,1,651
"ckd_kidney","zscore","scran","interferon_signaling",0.698964297131722,0.698964297131722,651
"ckd_kidney","zscore","scran","jak_stat",0.515860711621646,0.515860711621646,651
"ckd_kidney","zscore","scran","insulin_signaling",0.533362489479648,0.533362489479648,651
"ckd_kidney","zscore","scran","glucose_metabolism",0.667416114461434,0.667416114461434,651
"ckd_kidney","zscore","scran","nfkb_signaling",0.751844818549746,0.751844818549746,651
"ckd_kidney","zscore","scran","toll_like_receptor",0.508285361976239,0.508285361976239,651
"ckd_kidney","zscore","scran","tgfb_signaling",0.617613038060297,0.617613038060297,651
"ckd_kidney","zscore","scran","oxidative_stress",0.716496130032643,0.716496130032643,651
"ckd_kidney","zscore","scran","ecm_remodeling",0.567459044023461,0.567459044023461,651
"ckd_kidney","zscore","scran","raas",0.581883768319549,0.581883768319549,651
"ckd_kidney","zscore","sctransform","interferon_signaling",0.984901842665547,0.984901842665547,651
"ckd_kidney","zscore","sctransform","jak_stat",0.986731459713846,0.986731459713846,651
"ckd_kidney","zscore","sctransform","insulin_signaling",0.921499533516157,0.921499533516157,651
"ckd_kidney","zscore","sctransform","glucose_metabolism",0.8623870054347,0.8623870054347,651
"ckd_kidney","zscore","sctransform","nfkb_signaling",0.977832687795086,0.977832687795086,651
"ckd_kidney","zscore","sctransform","toll_like_receptor",0.985448792252671,0.985448792252671,651
"ckd_kidney","zscore","sctransform","tgfb_signaling",0.983682677899974,0.983682677899974,651
"ckd_kidney","zscore","sctransform","oxidative_stress",0.983428275662592,0.983428275662592,651
"ckd_kidney","zscore","sctransform","ecm_remodeling",0.982144999271459,0.982144999271459,651
"ckd_kidney","zscore","sctransform","raas",0.974287019135624,0.974287019135624,651
"ckd_kidney","AUCell","log2CPM","interferon_signaling",0.999739997739347,0.999739997739347,651
"ckd_kidney","AUCell","log2CPM","jak_stat",0.999832163674898,0.999832163674898,651
"ckd_kidney","AUCell","log2CPM","insulin_signaling",0.998948334250554,0.998948334250554,651
"ckd_kidney","AUCell","log2CPM","glucose_metabolism",0.999053244174082,0.999053244174082,651
"ckd_kidney","AUCell","log2CPM","nfkb_signaling",0.999256778996522,0.999256778996522,651
"ckd_kidney","AUCell","log2CPM","toll_like_receptor",0.999242947731142,0.999242947731142,651
"ckd_kidney","AUCell","log2CPM","tgfb_signaling",0.999311376266547,0.999311376266547,651
"ckd_kidney","AUCell","log2CPM","oxidative_stress",0.999366340187563,0.999366340187563,651
"ckd_kidney","AUCell","log2CPM","ecm_remodeling",0.999898047718191,0.999898047718191,651
"ckd_kidney","AUCell","log2CPM","raas",0.998095559132107,0.998095559132107,651
"ckd_kidney","AUCell","scran","interferon_signaling",0.730085625093032,0.730085625093032,651
"ckd_kidney","AUCell","scran","jak_stat",0.746428753952467,0.746428753952467,651
"ckd_kidney","AUCell","scran","insulin_signaling",0.467229851208697,0.467229851208697,651
"ckd_kidney","AUCell","scran","glucose_metabolism",0.609613229834482,0.609613229834482,651
"ckd_kidney","AUCell","scran","nfkb_signaling",0.617387963750142,0.617387963750142,651
"ckd_kidney","AUCell","scran","toll_like_receptor",0.487587683059479,0.487587683059479,651
"ckd_kidney","AUCell","scran","tgfb_signaling",0.405502457054667,0.405502457054667,651
"ckd_kidney","AUCell","scran","oxidative_stress",0.563735570283186,0.563735570283186,651
"ckd_kidney","AUCell","scran","ecm_remodeling",0.878460356952729,0.878460356952729,651
"ckd_kidney","AUCell","scran","raas",0.622075498506147,0.622075498506147,651
"ckd_kidney","AUCell","sctransform","interferon_signaling",0.962524381122685,0.962524381122685,651
"ckd_kidney","AUCell","sctransform","jak_stat",0.911671291417406,0.911671291417406,651
"ckd_kidney","AUCell","sctransform","insulin_signaling",0.963945685481989,0.963945685481989,651
"ckd_kidney","AUCell","sctransform","glucose_metabolism",0.979997446190079,0.979997446190079,651
"ckd_kidney","AUCell","sctransform","nfkb_signaling",0.899324383671747,0.899324383671747,651
"ckd_kidney","AUCell","sctransform","toll_like_receptor",0.919517758716383,0.919517758716383,651
"ckd_kidney","AUCell","sctransform","tgfb_signaling",0.966674452272821,0.966674452272821,651
"ckd_kidney","AUCell","sctransform","oxidative_stress",0.959172148108797,0.959172148108797,651
"ckd_kidney","AUCell","sctransform","ecm_remodeling",0.960790964409531,0.960790964409531,651
"ckd_kidney","AUCell","sctransform","raas",0.939869955682283,0.939869955682283,651
"ckd_kidney","UCell","log2CPM","interferon_signaling",0.999941825429511,0.999941825429511,651
"ckd_kidney","UCell","log2CPM","jak_stat",0.99996357293527,0.99996357293527,651
"ckd_kidney","UCell","log2CPM","insulin_signaling",0.999870819811189,0.999870819811189,651
"ckd_kidney","UCell","log2CPM","glucose_metabolism",0.999851491417331,0.999851491417331,651
"ckd_kidney","UCell","log2CPM","nfkb_signaling",0.99980490300433,0.99980490300433,651
"ckd_kidney","UCell","log2CPM","toll_like_receptor",0.999902190584046,0.999902190584046,651
"ckd_kidney","UCell","log2CPM","tgfb_signaling",0.999898971968283,0.999898971968283,651
"ckd_kidney","UCell","log2CPM","oxidative_stress",0.999932059008324,0.999932059008324,651
"ckd_kidney","UCell","log2CPM","ecm_remodeling",0.999973468050684,0.999973468050684,651
"ckd_kidney","UCell","log2CPM","raas",0.999953573288622,0.999953573288622,651
"ckd_kidney","UCell","scran","interferon_signaling",0.996586174770615,0.996586174770615,651
"ckd_kidney","UCell","scran","jak_stat",0.995763575636504,0.995763575636504,651
"ckd_kidney","UCell","scran","insulin_signaling",0.994654321941994,0.994654321941994,651
"ckd_kidney","UCell","scran","glucose_metabolism",0.997371793754503,0.997371793754503,651
"ckd_kidney","UCell","scran","nfkb_signaling",0.995293054116667,0.995293054116667,651
"ckd_kidney","UCell","scran","toll_like_receptor",0.9959078585075,0.9959078585075,651
"ckd_kidney","UCell","scran","tgfb_signaling",0.99456985486923,0.99456985486923,651
"ckd_kidney","UCell","scran","oxidative_stress",0.980501683698621,0.980501683698621,651
"ckd_kidney","UCell","scran","ecm_remodeling",0.993565230044569,0.993565230044569,651
"ckd_kidney","UCell","scran","raas",0.907921557963732,0.907921557963732,651
"ckd_kidney","UCell","sctransform","interferon_signaling",0.964784669976036,0.964784669976036,651
"ckd_kidney","UCell","sctransform","jak_stat",0.935416593314153,0.935416593314153,651
"ckd_kidney","UCell","sctransform","insulin_signaling",0.972943427214565,0.972943427214565,651
"ckd_kidney","UCell","sctransform","glucose_metabolism",0.974162455163827,0.974162455163827,651
"ckd_kidney","UCell","sctransform","nfkb_signaling",0.865778071933764,0.865778071933764,651
"ckd_kidney","UCell","sctransform","toll_like_receptor",0.945884680247279,0.945884680247279,651
"ckd_kidney","UCell","sctransform","tgfb_signaling",0.973008316254114,0.973008316254114,651
"ckd_kidney","UCell","sctransform","oxidative_stress",0.951770921719863,0.951770921719863,651
"ckd_kidney","UCell","sctransform","ecm_remodeling",0.970925440205568,0.970925440205568,651
"ckd_kidney","UCell","sctransform","raas",0.944868830834519,0.944868830834519,651
