"dataset","method","normalization","pathway","threshold_pct","n_genes_total","n_genes_remaining","pct_genes_remaining"
"ckd_kidney","ssGSEA","log2CPM","interferon_signaling",10,271,266,98.1549815498155
"ckd_kidney","ssGSEA","log2CPM","jak_stat",10,473,467,98.7315010570825
"ckd_kidney","ssGSEA","log2CPM","insulin_signaling",10,82,82,100
"ckd_kidney","ssGSEA","log2CPM","glucose_metabolism",10,85,85,100
"ckd_kidney","ssGSEA","log2CPM","nfkb_signaling",10,54,54,100
"ckd_kidney","ssGSEA","log2CPM","toll_like_receptor",10,170,170,100
"ckd_kidney","ssGSEA","log2CPM","tgfb_signaling",10,96,96,100
"ckd_kidney","ssGSEA","log2CPM","oxidative_stress",10,37,35,94.5945945945946
"ckd_kidney","ssGSEA","log2CPM","ecm_remodeling",10,300,300,100
"ckd_kidney","ssGSEA","log2CPM","raas",10,16,16,100
"ckd_kidney","ssGSEA","voom","interferon_signaling",10,271,266,98.1549815498155
"ckd_kidney","ssGSEA","voom","jak_stat",10,473,467,98.7315010570825
"ckd_kidney","ssGSEA","voom","insulin_signaling",10,82,82,100
"ckd_kidney","ssGSEA","voom","glucose_metabolism",10,85,85,100
"ckd_kidney","ssGSEA","voom","nfkb_signaling",10,54,54,100
"ckd_kidney","ssGSEA","voom","toll_like_receptor",10,170,170,100
"ckd_kidney","ssGSEA","voom","tgfb_signaling",10,96,96,100
"ckd_kidney","ssGSEA","voom","oxidative_stress",10,37,35,94.5945945945946
"ckd_kidney","ssGSEA","voom","ecm_remodeling",10,300,300,100
"ckd_kidney","ssGSEA","voom","raas",10,16,16,100
"ckd_kidney","ssGSEA","scran","interferon_signaling",10,271,266,98.1549815498155
"ckd_kidney","ssGSEA","scran","jak_stat",10,473,467,98.7315010570825
"ckd_kidney","ssGSEA","scran","insulin_signaling",10,82,82,100
"ckd_kidney","ssGSEA","scran","glucose_metabolism",10,85,85,100
"ckd_kidney","ssGSEA","scran","nfkb_signaling",10,54,54,100
"ckd_kidney","ssGSEA","scran","toll_like_receptor",10,170,170,100
