"dataset","method","pathway","norm1","norm2","spearman_cor","n_samples"
"ckd_kidney","ssGSEA","interferon_signaling","log2CPM","voom",0.876865663527053,651
"ckd_kidney","ssGSEA","jak_stat","log2CPM","voom",0.708208593306555,651
"ckd_kidney","ssGSEA","insulin_signaling","log2CPM","voom",0.467571783055654,651
"ckd_kidney","ssGSEA","glucose_metabolism","log2CPM","voom",0.655269005682621,651
"ckd_kidney","ssGSEA","nfkb_signaling","log2CPM","voom",0.925267548600222,651
"ckd_kidney","ssGSEA","toll_like_receptor","log2CPM","voom",0.688666943584814,651
"ckd_kidney","ssGSEA","tgfb_signaling","log2CPM","voom",0.913053761991027,651
"ckd_kidney","ssGSEA","oxidative_stress","log2CPM","voom",0.84056273827103,651
"ckd_kidney","ssGSEA","ecm_remodeling","log2CPM","voom",0.7299451310613,651
"ckd_kidney","ssGSEA","raas","log2CPM","voom",0.76042555505053,651
"ckd_kidney","ssGSEA","interferon_signaling","log2CPM","scran",0.876865663527053,651
"ckd_kidney","ssGSEA","jak_stat","log2CPM","scran",0.708208593306555,651
"ckd_kidney","ssGSEA","insulin_signaling","log2CPM","scran",0.467571783055654,651
"ckd_kidney","ssGSEA","glucose_metabolism","log2CPM","scran",0.655269005682621,651
"ckd_kidney","ssGSEA","nfkb_signaling","log2CPM","scran",0.925267548600222,651
"ckd_kidney","ssGSEA","toll_like_receptor","log2CPM","scran",0.688666943584814,651
"ckd_kidney","ssGSEA","tgfb_signaling","log2CPM","scran",0.913053761991027,651
"ckd_kidney","ssGSEA","oxidative_stress","log2CPM","scran",0.84056273827103,651
"ckd_kidney","ssGSEA","ecm_remodeling","log2CPM","scran",0.7299451310613,651
"ckd_kidney","ssGSEA","raas","log2CPM","scran",0.76042555505053,651
"ckd_kidney","ssGSEA","interferon_signaling","log2CPM","sctransform",0.781477003107718,651
"ckd_kidney","ssGSEA","jak_stat","log2CPM","sctransform",0.508249696078709,651
"ckd_kidney","ssGSEA","insulin_signaling","log2CPM","sctransform",0.658097224366767,651
"ckd_kidney","ssGSEA","glucose_metabolism","log2CPM","sctransform",0.623350593597971,651
"ckd_kidney","ssGSEA","nfkb_signaling","log2CPM","sctransform",0.794752720068374,651
"ckd_kidney","ssGSEA","toll_like_receptor","log2CPM","sctransform",0.546873122919036,651
"ckd_kidney","ssGSEA","tgfb_signaling","log2CPM","sctransform",0.811447926702231,651
"ckd_kidney","ssGSEA","oxidative_stress","log2CPM","sctransform",0.814170626523684,651
"ckd_kidney","ssGSEA","ecm_remodeling","log2CPM","sctransform",0.72129328024044,651
"ckd_kidney","ssGSEA","raas","log2CPM","sctransform",0.784882226421906,651
"ckd_kidney","ssGSEA","interferon_signaling","voom","scran",1,651
"ckd_kidney","ssGSEA","jak_stat","voom","scran",1,651
"ckd_kidney","ssGSEA","insulin_signaling","voom","scran",1,651
"ckd_kidney","ssGSEA","glucose_metabolism","voom","scran",1,651
"ckd_kidney","ssGSEA","nfkb_signaling","voom","scran",1,651
"ckd_kidney","ssGSEA","toll_like_receptor","voom","scran",1,651
"ckd_kidney","ssGSEA","tgfb_signaling","voom","scran",1,651
"ckd_kidney","ssGSEA","oxidative_stress","voom","scran",1,651
"ckd_kidney","ssGSEA","ecm_remodeling","voom","scran",1,651
"ckd_kidney","ssGSEA","raas","voom","scran",1,651
"ckd_kidney","ssGSEA","interferon_signaling","voom","sctransform",0.836357424487248,651
"ckd_kidney","ssGSEA","jak_stat","voom","sctransform",0.749371171081046,651
"ckd_kidney","ssGSEA","insulin_signaling","voom","sctransform",0.372482498700587,651
"ckd_kidney","ssGSEA","glucose_metabolism","voom","sctransform",0.540596664368681,651
"ckd_kidney","ssGSEA","nfkb_signaling","voom","sctransform",0.830610821990201,651
"ckd_kidney","ssGSEA","toll_like_receptor","voom","sctransform",0.660334346041846,651
"ckd_kidney","ssGSEA","tgfb_signaling","voom","sctransform",0.790749701515583,651
"ckd_kidney","ssGSEA","oxidative_stress","voom","sctransform",0.85042483738308,651
"ckd_kidney","ssGSEA","ecm_remodeling","voom","sctransform",0.8664620951975,651
"ckd_kidney","ssGSEA","raas","voom","sctransform",0.774854454866329,651
"ckd_kidney","ssGSEA","interferon_signaling","scran","sctransform",0.836357424487248,651
"ckd_kidney","ssGSEA","jak_stat","scran","sctransform",0.749371171081046,651
"ckd_kidney","ssGSEA","insulin_signaling","scran","sctransform",0.372482498700587,651
"ckd_kidney","ssGSEA","glucose_metabolism","scran","sctransform",0.540596664368681,651
"ckd_kidney","ssGSEA","nfkb_signaling","scran","sctransform",0.830610821990201,651
"ckd_kidney","ssGSEA","toll_like_receptor","scran","sctransform",0.660334346041846,651
"ckd_kidney","ssGSEA","tgfb_signaling","scran","sctransform",0.790749701515583,651
"ckd_kidney","ssGSEA","oxidative_stress","scran","sctransform",0.85042483738308,651
"ckd_kidney","ssGSEA","ecm_remodeling","scran","sctransform",0.8664620951975,651
"ckd_kidney","ssGSEA","raas","scran","sctransform",0.774854454866329,651
"ckd_kidney","GSVA","interferon_signaling","log2CPM","voom",0.890294743847089,651
"ckd_kidney","GSVA","jak_stat","log2CPM","voom",0.840358137805199,651
"ckd_kidney","GSVA","insulin_signaling","log2CPM","voom",0.544071218708068,651
"ckd_kidney","GSVA","glucose_metabolism","log2CPM","voom",0.642377567020354,651
"ckd_kidney","GSVA","nfkb_signaling","log2CPM","voom",0.890779452093523,651
"ckd_kidney","GSVA","toll_like_receptor","log2CPM","voom",0.733348658070605,651
"ckd_kidney","GSVA","tgfb_signaling","log2CPM","voom",0.7070021725751,651
"ckd_kidney","GSVA","oxidative_stress","log2CPM","voom",0.91708679209174,651
"ckd_kidney","GSVA","ecm_remodeling","log2CPM","voom",0.924654791082656,651
"ckd_kidney","GSVA","raas","log2CPM","voom",0.762559376107763,651
"ckd_kidney","GSVA","interferon_signaling","log2CPM","scran",0.896498783227459,651
"ckd_kidney","GSVA","jak_stat","log2CPM","scran",0.852792270069135,651
"ckd_kidney","GSVA","insulin_signaling","log2CPM","scran",0.616342766673263,651
"ckd_kidney","GSVA","glucose_metabolism","log2CPM","scran",0.642561855322592,651
"ckd_kidney","GSVA","nfkb_signaling","log2CPM","scran",0.886551825376286,651
"ckd_kidney","GSVA","toll_like_receptor","log2CPM","scran",0.754520891734428,651
"ckd_kidney","GSVA","tgfb_signaling","log2CPM","scran",0.761156792939892,651
"ckd_kidney","GSVA","oxidative_stress","log2CPM","scran",0.915187539553263,651
"ckd_kidney","GSVA","ecm_remodeling","log2CPM","scran",0.920810050823904,651
"ckd_kidney","GSVA","raas","log2CPM","scran",0.778083566937713,651
"ckd_kidney","GSVA","interferon_signaling","log2CPM","sctransform",0.827551992832025,651
"ckd_kidney","GSVA","jak_stat","log2CPM","sctransform",0.602814691740083,651
"ckd_kidney","GSVA","insulin_signaling","log2CPM","sctransform",0.869469817734215,651
"ckd_kidney","GSVA","glucose_metabolism","log2CPM","sctransform",0.954035139608067,651
"ckd_kidney","GSVA","nfkb_signaling","log2CPM","sctransform",0.974438512210133,651
"ckd_kidney","GSVA","toll_like_receptor","log2CPM","sctransform",0.638001404888403,651
"ckd_kidney","GSVA","tgfb_signaling","log2CPM","sctransform",0.834669688119124,651
"ckd_kidney","GSVA","oxidative_stress","log2CPM","sctransform",0.944449277221888,651
"ckd_kidney","GSVA","ecm_remodeling","log2CPM","sctransform",0.81309342942828,651
"ckd_kidney","GSVA","raas","log2CPM","sctransform",0.977222061532372,651
"ckd_kidney","GSVA","interferon_signaling","voom","scran",0.998772440700008,651
"ckd_kidney","GSVA","jak_stat","voom","scran",0.998253414900951,651
"ckd_kidney","GSVA","insulin_signaling","voom","scran",0.983944213316863,651
"ckd_kidney","GSVA","glucose_metabolism","voom","scran",0.992794314333994,651
"ckd_kidney","GSVA","nfkb_signaling","voom","scran",0.998289994193418,651
"ckd_kidney","GSVA","toll_like_receptor","voom","scran",0.995415975277444,651
"ckd_kidney","GSVA","tgfb_signaling","voom","scran",0.987035837702768,651
"ckd_kidney","GSVA","oxidative_stress","voom","scran",0.998048162010165,651
"ckd_kidney","GSVA","ecm_remodeling","voom","scran",0.995785160811878,651
"ckd_kidney","GSVA","raas","voom","scran",0.989463902414625,651
"ckd_kidney","GSVA","interferon_signaling","voom","sctransform",0.858339578489984,651
"ckd_kidney","GSVA","jak_stat","voom","sctransform",0.785084521652897,651
"ckd_kidney","GSVA","insulin_signaling","voom","sctransform",0.703725998916975,651
"ckd_kidney","GSVA","glucose_metabolism","voom","sctransform",0.687413765731597,651
"ckd_kidney","GSVA","nfkb_signaling","voom","sctransform",0.920880425729031,651
"ckd_kidney","GSVA","toll_like_receptor","voom","sctransform",0.703347070503215,651
"ckd_kidney","GSVA","tgfb_signaling","voom","sctransform",0.813632854380925,651
"ckd_kidney","GSVA","oxidative_stress","voom","sctransform",0.928061362741751,651
"ckd_kidney","GSVA","ecm_remodeling","voom","sctransform",0.901697131287474,651
"ckd_kidney","GSVA","raas","voom","sctransform",0.756955437200836,651
"ckd_kidney","GSVA","interferon_signaling","scran","sctransform",0.859087127003216,651
"ckd_kidney","GSVA","jak_stat","scran","sctransform",0.772518295083108,651
"ckd_kidney","GSVA","insulin_signaling","scran","sctransform",0.729077710336369,651
"ckd_kidney","GSVA","glucose_metabolism","scran","sctransform",0.693720888254828,651
