"dataset","method","normalization","pathway","cell_type","p_value","cohens_d","mean_disease","mean_control","expected_direction","observed_direction","direction_correct","n_disease","n_control"
"covid_blood","ssGSEA","log2CPM","interferon_signaling","classical monocyte",0.00946568947602387,-0.904639994274591,2.17535938152756,2.19170287467494,"UP","DOWN",FALSE,17,21
"covid_blood","ssGSEA","log2CPM","interferon_signaling","central memory CD4-positive, alpha-beta T cell",0.0503525626580498,-0.569954572489794,2.13888326217156,2.15029786526702,"UP","DOWN",FALSE,16,18
"covid_blood","ssGSEA","log2CPM","interferon_signaling","naive B cell",0.732960117685518,0.268335143655168,2.15110364908159,2.1459391862141,"UP","UP",TRUE,11,13
"covid_blood","ssGSEA","log2CPM","interferon_signaling","naive thymus-derived CD4-positive, alpha-beta T cell",0.0236930117936983,-0.936158956583038,2.11881171984502,2.13840803390976,"UP","DOWN",FALSE,15,11
"covid_blood","ssGSEA","log2CPM","interferon_signaling","effector memory CD8-positive, alpha-beta T cell",0.411354930203263,0.37828252773839,2.16434148757716,2.15801938646022,"UP","UP",TRUE,17,15
"covid_blood","ssGSEA","log2CPM","interferon_signaling","mucosal invariant T cell",0.0973193473193473,0.977808702405245,2.14773659741012,2.12652983110205,"UP","UP",TRUE,7,7
"covid_blood","ssGSEA","log2CPM","interferon_signaling","natural killer cell",0.215439773939238,0.486910298684844,2.16099731529716,2.15120074595444,"UP","UP",TRUE,18,15
"covid_blood","ssGSEA","log2CPM","interferon_signaling","naive thymus-derived CD8-positive, alpha-beta T cell",0.035964035964036,-0.824814422676929,2.12284755425828,2.1371950920869,"UP","DOWN",FALSE,9,6
"covid_blood","ssGSEA","log2CPM","interferon_signaling","non-classical monocyte",0.0151782250732775,1.0391123826658,2.19581618103507,2.17822626840166,"UP","UP",TRUE,9,20
"covid_blood","ssGSEA","log2CPM","interferon_signaling","memory B cell",0.221052631578947,1.0335011989008,2.17722087216563,2.15267839029721,"UP","UP",TRUE,3,18
"covid_blood","ssGSEA","log2CPM","interferon_signaling","transitional stage B cell",0.0548951048951049,1.04605427614753,2.16815749544857,2.14891665470249,"UP","UP",TRUE,7,9
"covid_blood","ssGSEA","log2CPM","interferon_signaling","gamma-delta T cell",0.177489177489177,1.28410157551484,2.16767361646183,2.13162386960117,"UP","UP",TRUE,6,5
"covid_blood","ssGSEA","log2CPM","interferon_signaling","conventional dendritic cell",0.2,1.56992034910115,2.20971852111238,2.18295780819955,"UP","UP",TRUE,3,2
"covid_blood","ssGSEA","log2CPM","interferon_signaling","regulatory T cell",0.11492673992674,-0.575898809692069,2.15825323422309,2.16572684766945,"UP","DOWN",FALSE,11,5
"covid_blood","ssGSEA","log2CPM","jak_stat","classical monocyte",0.467491147879477,0.0292836163707661,2.14574081306372,2.14533819978067,"UP","UP",TRUE,17,21
"covid_blood","ssGSEA","log2CPM","jak_stat","central memory CD4-positive, alpha-beta T cell",2.44741125074952e-06,-2.21486301255777,2.07205183375404,2.10723173895219,"UP","DOWN",FALSE,16,18
"covid_blood","ssGSEA","log2CPM","jak_stat","naive B cell",0.00482744585248287,-1.33829542283725,2.07072667183775,2.08770956665824,"UP","DOWN",FALSE,11,13
"covid_blood","ssGSEA","log2CPM","jak_stat","naive thymus-derived CD4-positive, alpha-beta T cell",0.00103803182952463,-1.69053107828955,2.04694793866175,2.08475481670741,"UP","DOWN",FALSE,15,11
"covid_blood","ssGSEA","log2CPM","jak_stat","effector memory CD8-positive, alpha-beta T cell",0.000346827152354779,-1.39085801003776,2.08529204975908,2.10511922494726,"UP","DOWN",FALSE,17,15
"covid_blood","ssGSEA","log2CPM","jak_stat","mucosal invariant T cell",0.71037296037296,-0.289938435933118,2.10515804811662,2.10871178724359,"UP","DOWN",FALSE,7,7
"covid_blood","ssGSEA","log2CPM","jak_stat","natural killer cell",0.000134081747519511,-1.55967643473992,2.09044009601479,2.11133881576213,"UP","DOWN",FALSE,18,15
"covid_blood","ssGSEA","log2CPM","jak_stat","naive thymus-derived CD8-positive, alpha-beta T cell",0.181018981018981,-0.968784601632468,2.05959923669834,2.07878381184956,"UP","DOWN",FALSE,9,6
"covid_blood","ssGSEA","log2CPM","jak_stat","non-classical monocyte",0.835146063331971,0.193485910024088,2.12866862702378,2.12626247391612,"UP","UP",TRUE,9,20
"covid_blood","ssGSEA","log2CPM","jak_stat","memory B cell",0.306766917293233,-0.964604449330087,2.09035913709572,2.10035256838101,"UP","DOWN",FALSE,3,18
"covid_blood","ssGSEA","log2CPM","jak_stat","transitional stage B cell",0.141608391608392,-0.807281528421361,2.08268623496002,2.09392452721011,"UP","DOWN",FALSE,7,9
"covid_blood","ssGSEA","log2CPM","jak_stat","gamma-delta T cell",0.930735930735931,0.20646254347584,2.09049293579471,2.08774751800046,"UP","UP",TRUE,6,5
"covid_blood","ssGSEA","log2CPM","jak_stat","conventional dendritic cell",1,0.236036631374435,2.13838033831826,2.13518736670808,"UP","UP",TRUE,3,2
"covid_blood","ssGSEA","log2CPM","jak_stat","regulatory T cell",0.0686813186813187,-1.04695205468777,2.08792404841506,2.10094513803649,"UP","DOWN",FALSE,11,5
"covid_blood","ssGSEA","log2CPM","nfkb_signaling","classical monocyte",1.2481783480834e-06,2.01357615860208,2.50902859560801,2.46802869954266,"UP","UP",TRUE,17,21
"covid_blood","ssGSEA","log2CPM","nfkb_signaling","central memory CD4-positive, alpha-beta T cell",6.49820809250732e-05,1.37983032328447,2.5181688067927,2.47421199914603,"UP","UP",TRUE,16,18
"covid_blood","ssGSEA","log2CPM","nfkb_signaling","naive B cell",0.167410213513323,0.787597082867108,2.49370611255217,2.46053342874906,"UP","UP",TRUE,11,13
"covid_blood","ssGSEA","log2CPM","nfkb_signaling","naive thymus-derived CD4-positive, alpha-beta T cell",0.0687368628141276,0.880997027439189,2.49251521191301,2.46990748665527,"UP","UP",TRUE,15,11
"covid_blood","ssGSEA","log2CPM","nfkb_signaling","effector memory CD8-positive, alpha-beta T cell",0.000413531208362995,1.64474742890441,2.52034821734589,2.47932907335219,"UP","UP",TRUE,17,15
"covid_blood","ssGSEA","log2CPM","nfkb_signaling","mucosal invariant T cell",0.0973193473193473,1.31034252116669,2.51077368459405,2.44204350350842,"UP","UP",TRUE,7,7
"covid_blood","ssGSEA","log2CPM","nfkb_signaling","natural killer cell",0.000274671662470972,1.49467412944078,2.52763866767237,2.49430040954232,"UP","UP",TRUE,18,15
"covid_blood","ssGSEA","log2CPM","nfkb_signaling","naive thymus-derived CD8-positive, alpha-beta T cell",0.688911088911089,0.294734728643214,2.48036635817576,2.47129773535711,"UP","UP",TRUE,9,6
"covid_blood","ssGSEA","log2CPM","nfkb_signaling","non-classical monocyte",0.0201303943432879,1.18118694394388,2.50862335363095,2.47372759388388,"UP","UP",TRUE,9,20
"covid_blood","ssGSEA","log2CPM","nfkb_signaling","memory B cell",0.0796992481203008,1.39672547180271,2.50260099341761,2.45392721823991,"UP","UP",TRUE,3,18
