"dataset","method","normalization","pathway","spearman_cor","rank_correlation","n_samples"
"covid_blood","ssGSEA","log2CPM","interferon_signaling",0.999974279636931,0.999974279636931,360
"covid_blood","ssGSEA","log2CPM","jak_stat",0.999986111003943,0.999986111003943,360
"covid_blood","ssGSEA","log2CPM","insulin_signaling",0.999959619029982,0.999959619029982,360
"covid_blood","ssGSEA","log2CPM","glucose_metabolism",0.99994753045934,0.99994753045934,360
"covid_blood","ssGSEA","log2CPM","nfkb_signaling",0.999946501644817,0.999946501644817,360
"covid_blood","ssGSEA","log2CPM","toll_like_receptor",0.99997762328413,0.99997762328413,360
"covid_blood","ssGSEA","log2CPM","tgfb_signaling",0.999934927481436,0.999934927481436,360
"covid_blood","ssGSEA","log2CPM","oxidative_stress",0.999975565655085,0.999975565655085,360
"covid_blood","ssGSEA","log2CPM","ecm_remodeling",0.99999614194554,0.99999614194554,360
"covid_blood","ssGSEA","log2CPM","raas",0.999983538967636,0.999983538967636,360
"covid_blood","ssGSEA","voom","interferon_signaling",0.292003539121958,0.292003539121958,360
"covid_blood","ssGSEA","scran","interferon_signaling",0.831043192205701,0.831043192205701,360
"covid_blood","ssGSEA","scran","jak_stat",0.585475196567875,0.585475196567875,360
"covid_blood","ssGSEA","scran","insulin_signaling",0.507130713457151,0.507130713457151,360
"covid_blood","ssGSEA","scran","glucose_metabolism",0.660198766965794,0.660198766965794,360
"covid_blood","ssGSEA","scran","nfkb_signaling",0.880948927075055,0.880948927075055,360
"covid_blood","ssGSEA","scran","toll_like_receptor",0.857964439026021,0.857964439026021,360
"covid_blood","ssGSEA","scran","tgfb_signaling",0.507673155914269,0.507673155914269,360
"covid_blood","ssGSEA","scran","oxidative_stress",0.841047899032143,0.841047899032143,360
"covid_blood","ssGSEA","scran","ecm_remodeling",0.278128689264578,0.278128689264578,360
"covid_blood","ssGSEA","sctransform","interferon_signaling",0.767236887115899,0.767236887115899,360
"covid_blood","ssGSEA","sctransform","jak_stat",0.736308150525853,0.736308150525853,360
"covid_blood","ssGSEA","sctransform","insulin_signaling",0.678726430502293,0.678726430502293,360
"covid_blood","ssGSEA","sctransform","glucose_metabolism",0.624773853707719,0.624773853707719,360
"covid_blood","ssGSEA","sctransform","nfkb_signaling",0.725555752745006,0.725555752745006,360
"covid_blood","ssGSEA","sctransform","toll_like_receptor",0.725102045540475,0.725102045540475,360
"covid_blood","ssGSEA","sctransform","tgfb_signaling",0.717304403068954,0.717304403068954,360
"covid_blood","ssGSEA","sctransform","oxidative_stress",0.86333330761297,0.86333330761297,360
"covid_blood","ssGSEA","sctransform","ecm_remodeling",0.886663734545277,0.886663734545277,360
"covid_blood","ssGSEA","sctransform","raas",0.843825698243556,0.843825698243556,360
"covid_blood","GSVA","log2CPM","interferon_signaling",1,1,360
"covid_blood","GSVA","log2CPM","jak_stat",1,1,360
"covid_blood","GSVA","log2CPM","insulin_signaling",1,1,360
"covid_blood","GSVA","log2CPM","glucose_metabolism",1,1,360
"covid_blood","GSVA","log2CPM","nfkb_signaling",1,1,360
"covid_blood","GSVA","log2CPM","toll_like_receptor",1,1,360
"covid_blood","GSVA","log2CPM","tgfb_signaling",0.999999742796369,0.999999742796369,360
"covid_blood","GSVA","log2CPM","oxidative_stress",0.999999742796369,0.999999742796369,360
"covid_blood","GSVA","log2CPM","ecm_remodeling",1,1,360
"covid_blood","GSVA","log2CPM","raas",1,1,360
"covid_blood","GSVA","voom","interferon_signaling",0.331272639145406,0.331272639145406,360
"covid_blood","GSVA","scran","interferon_signaling",0.394575575428823,0.394575575428823,360
"covid_blood","GSVA","scran","jak_stat",0.389487573206583,0.389487573206583,360
"covid_blood","GSVA","scran","insulin_signaling",0.118338876071575,0.118338876071575,360
"covid_blood","GSVA","scran","glucose_metabolism",0.307294809373529,0.307294809373529,360
"covid_blood","GSVA","scran","nfkb_signaling",0.433001540649748,0.433001540649748,360
"covid_blood","GSVA","scran","toll_like_receptor",-0.00579016813401338,-0.00579016813401338,360
"covid_blood","GSVA","scran","tgfb_signaling",0.417153938945002,0.417153938945002,360
"covid_blood","GSVA","scran","oxidative_stress",0.0402307630974519,0.0402307630974519,360
"covid_blood","GSVA","scran","ecm_remodeling",0.449094514618168,0.449094514618168,360
"covid_blood","GSVA","sctransform","interferon_signaling",0.979180137706824,0.979180137706824,360
"covid_blood","GSVA","sctransform","jak_stat",0.965218610225902,0.965218610225902,360
"covid_blood","GSVA","sctransform","insulin_signaling",0.915439162339216,0.915439162339216,360
"covid_blood","GSVA","sctransform","glucose_metabolism",0.978505235379903,0.978505235379903,360
"covid_blood","GSVA","sctransform","nfkb_signaling",0.92537751062894,0.92537751062894,360
"covid_blood","GSVA","sctransform","toll_like_receptor",0.957012785592481,0.957012785592481,360
"covid_blood","GSVA","sctransform","tgfb_signaling",0.949445854777686,0.949445854777686,360
"covid_blood","GSVA","sctransform","oxidative_stress",0.961062971164901,0.961062971164901,360
"covid_blood","GSVA","sctransform","ecm_remodeling",0.821461585351739,0.821461585351739,360
"covid_blood","GSVA","sctransform","raas",0.757162478105541,0.757162478105541,360
"covid_blood","zscore","log2CPM","interferon_signaling",1,1,360
"covid_blood","zscore","log2CPM","jak_stat",1,1,360
"covid_blood","zscore","log2CPM","insulin_signaling",1,1,360
"covid_blood","zscore","log2CPM","glucose_metabolism",1,1,360
"covid_blood","zscore","log2CPM","nfkb_signaling",1,1,360
"covid_blood","zscore","log2CPM","toll_like_receptor",1,1,360
"covid_blood","zscore","log2CPM","tgfb_signaling",1,1,360
"covid_blood","zscore","log2CPM","oxidative_stress",1,1,360
"covid_blood","zscore","log2CPM","ecm_remodeling",1,1,360
"covid_blood","zscore","log2CPM","raas",1,1,360
"covid_blood","zscore","voom","interferon_signaling",0.453511729771577,0.453511729771577,360
"covid_blood","zscore","scran","interferon_signaling",0.720797742780937,0.720797742780937,360
"covid_blood","zscore","scran","jak_stat",0.738440368624243,0.738440368624243,360
"covid_blood","zscore","scran","insulin_signaling",0.253617954871051,0.253617954871051,360
"covid_blood","zscore","scran","glucose_metabolism",0.663221681237252,0.663221681237252,360
"covid_blood","zscore","scran","nfkb_signaling",0.706389709797144,0.706389709797144,360
"covid_blood","zscore","scran","toll_like_receptor",0.52610822614372,0.52610822614372,360
"covid_blood","zscore","scran","tgfb_signaling",0.614495482218227,0.614495482218227,360
"covid_blood","zscore","scran","oxidative_stress",0.809770394318886,0.809770394318886,360
"covid_blood","zscore","scran","ecm_remodeling",-0.171011350396222,-0.171011350396222,360
"covid_blood","zscore","sctransform","interferon_signaling",0.819866151230591,0.819866151230591,360
"covid_blood","zscore","sctransform","jak_stat",0.775272185742174,0.775272185742174,360
"covid_blood","zscore","sctransform","insulin_signaling",0.768420281020687,0.768420281020687,360
"covid_blood","zscore","sctransform","glucose_metabolism",0.726113113012703,0.726113113012703,360
"covid_blood","zscore","sctransform","nfkb_signaling",0.795683865873451,0.795683865873451,360
