"dataset","method","normalization","pathway","cor_with_cell_count","variance_ratio","n_outlier_samples","median_cell_count"
"covid_blood","ssGSEA","log2CPM","interferon_signaling",0.175083317363835,NA,0,116
"covid_blood","ssGSEA","log2CPM","jak_stat",0.00778541039393744,NA,0,116
"covid_blood","ssGSEA","log2CPM","insulin_signaling",-0.191339864372376,NA,0,116
"covid_blood","ssGSEA","log2CPM","glucose_metabolism",-0.117755216373301,NA,0,116
"covid_blood","ssGSEA","log2CPM","nfkb_signaling",0.19369592295501,NA,0,116
"covid_blood","ssGSEA","log2CPM","toll_like_receptor",0.0489826122599489,NA,0,116
"covid_blood","ssGSEA","log2CPM","tgfb_signaling",-0.285851508260283,NA,0,116
"covid_blood","ssGSEA","log2CPM","oxidative_stress",-0.18997278452885,NA,0,116
"covid_blood","ssGSEA","log2CPM","ecm_remodeling",-0.541161835508263,NA,0,116
"covid_blood","ssGSEA","log2CPM","raas",-0.437229429646899,NA,0,116
"covid_blood","ssGSEA","voom","interferon_signaling",0.102184009767973,NA,0,116
"covid_blood","ssGSEA","voom","jak_stat",0.400299626028102,NA,0,116
"covid_blood","ssGSEA","voom","insulin_signaling",0.255219788752227,NA,0,116
"covid_blood","ssGSEA","voom","glucose_metabolism",-0.000427099921011385,NA,0,116
"covid_blood","ssGSEA","voom","nfkb_signaling",0.0899013825303598,NA,0,116
"covid_blood","ssGSEA","voom","toll_like_receptor",0.122744993499264,NA,0,116
"covid_blood","ssGSEA","voom","tgfb_signaling",0.182905894839125,NA,0,116
"covid_blood","ssGSEA","voom","oxidative_stress",-0.00030299530680603,NA,0,116
"covid_blood","ssGSEA","voom","ecm_remodeling",0.269620039386219,NA,0,116
"covid_blood","ssGSEA","scran","interferon_signaling",0.102184009767973,NA,0,116
"covid_blood","ssGSEA","scran","jak_stat",0.400299626028102,NA,0,116
"covid_blood","ssGSEA","scran","insulin_signaling",0.255219788752227,NA,0,116
"covid_blood","ssGSEA","scran","glucose_metabolism",-0.000427099921011385,NA,0,116
"covid_blood","ssGSEA","scran","nfkb_signaling",0.0899013825303598,NA,0,116
"covid_blood","ssGSEA","scran","toll_like_receptor",0.122744993499264,NA,0,116
"covid_blood","ssGSEA","scran","tgfb_signaling",0.182905894839125,NA,0,116
"covid_blood","ssGSEA","scran","oxidative_stress",-0.00030299530680603,NA,0,116
"covid_blood","ssGSEA","scran","ecm_remodeling",0.269620039386219,NA,0,116
"covid_blood","ssGSEA","sctransform","interferon_signaling",-0.280015762064639,NA,0,116
"covid_blood","ssGSEA","sctransform","jak_stat",-0.234048184597883,NA,0,116
"covid_blood","ssGSEA","sctransform","insulin_signaling",-0.179130671056743,NA,0,116
"covid_blood","ssGSEA","sctransform","glucose_metabolism",-0.419202366344301,NA,0,116
"covid_blood","ssGSEA","sctransform","nfkb_signaling",-0.481952231402885,NA,0,116
"covid_blood","ssGSEA","sctransform","toll_like_receptor",-0.221117898461681,NA,0,116
"covid_blood","ssGSEA","sctransform","tgfb_signaling",-0.3285000267805,NA,0,116
"covid_blood","ssGSEA","sctransform","oxidative_stress",-0.211303731291485,NA,0,116
"covid_blood","ssGSEA","sctransform","ecm_remodeling",0.329191797474604,NA,0,116
"covid_blood","ssGSEA","sctransform","raas",0.155946643065004,NA,0,116
"covid_blood","GSVA","log2CPM","interferon_signaling",-0.198874364815728,NA,0,116
"covid_blood","GSVA","log2CPM","jak_stat",-0.0686430980547982,NA,0,116
"covid_blood","GSVA","log2CPM","insulin_signaling",0.0199372455148181,NA,0,116
"covid_blood","GSVA","log2CPM","glucose_metabolism",-0.124605533865801,NA,0,116
"covid_blood","GSVA","log2CPM","nfkb_signaling",-0.290755248094118,NA,0,116
"covid_blood","GSVA","log2CPM","toll_like_receptor",-0.0559437879674178,NA,0,116
"covid_blood","GSVA","log2CPM","tgfb_signaling",-0.207165581891189,NA,0,116
"covid_blood","GSVA","log2CPM","oxidative_stress",-0.216891911287807,NA,0,116
"covid_blood","GSVA","log2CPM","ecm_remodeling",0.121198637145683,NA,0,116
"covid_blood","GSVA","log2CPM","raas",-0.0271058624064459,NA,0,116
"covid_blood","GSVA","voom","interferon_signaling",0.0513800819159243,NA,0,116
"covid_blood","GSVA","voom","jak_stat",0.228132059766095,NA,0,116
"covid_blood","GSVA","voom","insulin_signaling",0.108000079273489,NA,0,116
"covid_blood","GSVA","voom","glucose_metabolism",0.0505004181219713,NA,0,116
"covid_blood","GSVA","voom","nfkb_signaling",0.0285809711369489,NA,0,116
"covid_blood","GSVA","voom","toll_like_receptor",0.103148424795876,NA,0,116
"covid_blood","GSVA","voom","tgfb_signaling",0.275374635310813,NA,0,116
"covid_blood","GSVA","voom","oxidative_stress",-0.0287680926018906,NA,0,116
"covid_blood","GSVA","voom","ecm_remodeling",0.202090667713823,NA,0,116
"covid_blood","GSVA","scran","interferon_signaling",-0.084881125825572,NA,0,116
"covid_blood","GSVA","scran","jak_stat",0.114600129844493,NA,0,116
"covid_blood","GSVA","scran","insulin_signaling",0.0938272037254196,NA,0,116
"covid_blood","GSVA","scran","glucose_metabolism",0.0321256046879624,NA,0,116
"covid_blood","GSVA","scran","nfkb_signaling",-0.0659994768634974,NA,0,116
"covid_blood","GSVA","scran","toll_like_receptor",0.0564937064444563,NA,0,116
"covid_blood","GSVA","scran","tgfb_signaling",0.168195189760893,NA,0,116
"covid_blood","GSVA","scran","oxidative_stress",-0.0948484625248027,NA,0,116
"covid_blood","GSVA","scran","ecm_remodeling",0.169787329785621,NA,0,116
"covid_blood","GSVA","sctransform","interferon_signaling",-0.0321472104653577,NA,0,116
"covid_blood","GSVA","sctransform","jak_stat",0.119536021132785,NA,0,116
"covid_blood","GSVA","sctransform","insulin_signaling",0.0564890766350144,NA,0,116
"covid_blood","GSVA","sctransform","glucose_metabolism",-0.0989822393272927,NA,0,116
"covid_blood","GSVA","sctransform","nfkb_signaling",-0.340857888421543,NA,0,116
"covid_blood","GSVA","sctransform","toll_like_receptor",0.116109704934174,NA,0,116
"covid_blood","GSVA","sctransform","tgfb_signaling",-0.159589788672475,NA,0,116
"covid_blood","GSVA","sctransform","oxidative_stress",-0.0123210803771442,NA,0,116
"covid_blood","GSVA","sctransform","ecm_remodeling",0.452531207063875,NA,0,116
"covid_blood","GSVA","sctransform","raas",0.342494140241786,NA,0,116
"covid_blood","zscore","log2CPM","interferon_signaling",0.291624108999373,NA,0,116
"covid_blood","zscore","log2CPM","jak_stat",0.365665693469195,NA,0,116
"covid_blood","zscore","log2CPM","insulin_signaling",0.486358652539173,NA,0,116
"covid_blood","zscore","log2CPM","glucose_metabolism",0.362971144374034,NA,0,116
"covid_blood","zscore","log2CPM","nfkb_signaling",0.115479150609357,NA,0,116
"covid_blood","zscore","log2CPM","toll_like_receptor",0.407375003701804,NA,0,116
"covid_blood","zscore","log2CPM","tgfb_signaling",0.272248099273562,NA,0,116
"covid_blood","zscore","log2CPM","oxidative_stress",0.235128344861832,NA,0,116
"covid_blood","zscore","log2CPM","ecm_remodeling",0.498761526216457,NA,0,116
"covid_blood","zscore","log2CPM","raas",0.336780440967262,NA,0,116
"covid_blood","zscore","voom","interferon_signaling",0.268046161387623,NA,0,116
"covid_blood","zscore","voom","jak_stat",0.34624197098497,NA,0,116
"covid_blood","zscore","voom","insulin_signaling",0.268585405581782,NA,0,116
"covid_blood","zscore","voom","glucose_metabolism",0.226596377695395,NA,0,116
"covid_blood","zscore","voom","nfkb_signaling",0.120953257245265,NA,0,116
"covid_blood","zscore","voom","toll_like_receptor",0.289770256135363,NA,0,116
"covid_blood","zscore","voom","tgfb_signaling",0.346571587696067,NA,0,116
"covid_blood","zscore","voom","oxidative_stress",0.0202934836302055,NA,0,116
"covid_blood","zscore","voom","ecm_remodeling",0.271093990664362,NA,0,116
"covid_blood","zscore","scran","interferon_signaling",0.412230516353952,NA,0,116
"covid_blood","zscore","scran","jak_stat",0.498281955121771,NA,0,116
"covid_blood","zscore","scran","insulin_signaling",0.514441018920398,NA,0,116
"covid_blood","zscore","scran","glucose_metabolism",0.442901717848082,NA,0,116
"covid_blood","zscore","scran","nfkb_signaling",0.232214008424,NA,0,116
"covid_blood","zscore","scran","toll_like_receptor",0.533828988987267,NA,0,116
"covid_blood","zscore","scran","tgfb_signaling",0.50111411244201,NA,0,116
"covid_blood","zscore","scran","oxidative_stress",0.190500582805221,NA,0,116
"covid_blood","zscore","scran","ecm_remodeling",0.490903710747082,NA,0,116
"covid_blood","zscore","sctransform","interferon_signaling",-0.141481446493009,NA,0,116
"covid_blood","zscore","sctransform","jak_stat",-0.123373747342632,NA,0,116
"covid_blood","zscore","sctransform","insulin_signaling",-0.0508403232984944,NA,0,116
"covid_blood","zscore","sctransform","glucose_metabolism",-0.180774510620238,NA,0,116
"covid_blood","zscore","sctransform","nfkb_signaling",-0.287005231052031,NA,0,116
"covid_blood","zscore","sctransform","toll_like_receptor",-0.0835784774967781,NA,0,116
"covid_blood","zscore","sctransform","tgfb_signaling",-0.182148020754656,NA,0,116
"covid_blood","zscore","sctransform","oxidative_stress",-0.0823776849757052,NA,0,116
"covid_blood","zscore","sctransform","ecm_remodeling",0.044768971244587,NA,0,116
"covid_blood","zscore","sctransform","raas",-0.0232714799478628,NA,0,116
"covid_blood","AUCell","log2CPM","interferon_signaling",0.0430829517431168,NA,0,116
"covid_blood","AUCell","log2CPM","jak_stat",0.36542715317442,NA,0,116
"covid_blood","AUCell","log2CPM","insulin_signaling",0.239133577352524,NA,0,116
"covid_blood","AUCell","log2CPM","glucose_metabolism",-0.0310223676587796,NA,0,116
"covid_blood","AUCell","log2CPM","nfkb_signaling",0.0510661006624847,NA,0,116
"covid_blood","AUCell","log2CPM","toll_like_receptor",0.0850731452521529,NA,0,116
"covid_blood","AUCell","log2CPM","tgfb_signaling",0.119609943630274,NA,0,116
"covid_blood","AUCell","log2CPM","oxidative_stress",-0.00128155697466982,NA,0,116
"covid_blood","AUCell","log2CPM","ecm_remodeling",0.257274316320973,NA,0,116
"covid_blood","AUCell","log2CPM","raas",0.384383829776316,NA,0,116
"covid_blood","AUCell","voom","interferon_signaling",-0.194052867482472,NA,0,116
"covid_blood","AUCell","voom","jak_stat",0.193620806892944,NA,0,116
"covid_blood","AUCell","voom","insulin_signaling",0.0872083016952521,NA,0,116
"covid_blood","AUCell","voom","glucose_metabolism",0.00928813831883858,NA,0,116
"covid_blood","AUCell","voom","nfkb_signaling",0.0378578633868183,NA,0,116
"covid_blood","AUCell","voom","toll_like_receptor",0.187447074504082,NA,0,116
"covid_blood","AUCell","voom","tgfb_signaling",0.0810507819555554,NA,0,116
"covid_blood","AUCell","voom","oxidative_stress",-0.0140749955251827,NA,0,116
"covid_blood","AUCell","voom","ecm_remodeling",0.195135474211034,NA,0,116
"covid_blood","AUCell","scran","interferon_signaling",-0.191455179925518,NA,0,116
"covid_blood","AUCell","scran","jak_stat",0.193912329853965,NA,0,116
"covid_blood","AUCell","scran","insulin_signaling",0.0881109097306053,NA,0,116
"covid_blood","AUCell","scran","glucose_metabolism",0.0109261151476283,NA,0,116
"covid_blood","AUCell","scran","nfkb_signaling",0.0384846804235427,NA,0,116
"covid_blood","AUCell","scran","toll_like_receptor",0.188608387961493,NA,0,116
"covid_blood","AUCell","scran","tgfb_signaling",0.0813877954225604,NA,0,116
"covid_blood","AUCell","scran","oxidative_stress",-0.0135494349592165,NA,0,116
"covid_blood","AUCell","scran","ecm_remodeling",0.196104593357823,NA,0,116
"covid_blood","AUCell","sctransform","interferon_signaling",-0.0712930898182922,NA,0,116
"covid_blood","AUCell","sctransform","jak_stat",0.273516491739264,NA,0,116
"covid_blood","AUCell","sctransform","insulin_signaling",0.245997095556066,NA,0,116
"covid_blood","AUCell","sctransform","glucose_metabolism",-0.117789111580246,NA,0,116
"covid_blood","AUCell","sctransform","nfkb_signaling",-0.357743956732685,NA,0,116
"covid_blood","AUCell","sctransform","toll_like_receptor",-0.0327507596743347,NA,0,116
"covid_blood","AUCell","sctransform","tgfb_signaling",-0.13512639869372,NA,0,116
"covid_blood","AUCell","sctransform","oxidative_stress",0.176306641923747,NA,0,116
"covid_blood","AUCell","sctransform","ecm_remodeling",0.329132745428383,NA,0,116
"covid_blood","AUCell","sctransform","raas",0.150416259996701,NA,0,116
"covid_blood","UCell","log2CPM","interferon_signaling",-0.0488972179969102,NA,0,116
"covid_blood","UCell","log2CPM","jak_stat",0.311676926882621,NA,0,116
"covid_blood","UCell","log2CPM","insulin_signaling",0.228577094686651,NA,0,116
"covid_blood","UCell","log2CPM","glucose_metabolism",0.0944337148344768,NA,0,116
"covid_blood","UCell","log2CPM","nfkb_signaling",-0.0268856961614215,NA,0,116
"covid_blood","UCell","log2CPM","toll_like_receptor",0.153141245601996,NA,0,116
"covid_blood","UCell","log2CPM","tgfb_signaling",0.192946522178162,NA,0,116
"covid_blood","UCell","log2CPM","oxidative_stress",-0.0256411773421918,NA,0,116
"covid_blood","UCell","log2CPM","ecm_remodeling",0.276525482252499,NA,0,116
"covid_blood","UCell","log2CPM","raas",0.389559570038133,NA,0,116
"covid_blood","UCell","voom","interferon_signaling",-0.0603512379502487,NA,0,116
"covid_blood","UCell","voom","jak_stat",0.314516797102783,NA,0,116
"covid_blood","UCell","voom","insulin_signaling",0.205936395874768,NA,0,116
"covid_blood","UCell","voom","glucose_metabolism",0.0795811719355742,NA,0,116
"covid_blood","UCell","voom","nfkb_signaling",-0.0449161634912429,NA,0,116
"covid_blood","UCell","voom","toll_like_receptor",0.134789708640993,NA,0,116
"covid_blood","UCell","voom","tgfb_signaling",0.18325843873685,NA,0,116
"covid_blood","UCell","voom","oxidative_stress",-0.0307391112956026,NA,0,116
"covid_blood","UCell","voom","ecm_remodeling",0.275588220712466,NA,0,116
"covid_blood","UCell","scran","interferon_signaling",-0.0603512379502487,NA,0,116
"covid_blood","UCell","scran","jak_stat",0.314516797102783,NA,0,116
"covid_blood","UCell","scran","insulin_signaling",0.205936395874768,NA,0,116
"covid_blood","UCell","scran","glucose_metabolism",0.0795811719355742,NA,0,116
"covid_blood","UCell","scran","nfkb_signaling",-0.0449161634912429,NA,0,116
"covid_blood","UCell","scran","toll_like_receptor",0.134789708640993,NA,0,116
"covid_blood","UCell","scran","tgfb_signaling",0.18325843873685,NA,0,116
"covid_blood","UCell","scran","oxidative_stress",-0.0307391112956026,NA,0,116
"covid_blood","UCell","scran","ecm_remodeling",0.275588220712466,NA,0,116
"covid_blood","UCell","sctransform","interferon_signaling",0.028697745219538,NA,0,116
"covid_blood","UCell","sctransform","jak_stat",0.417871285565867,NA,0,116
"covid_blood","UCell","sctransform","insulin_signaling",0.321368907599394,NA,0,116
"covid_blood","UCell","sctransform","glucose_metabolism",0.0795827459092636,NA,0,116
"covid_blood","UCell","sctransform","nfkb_signaling",-0.233803402294381,NA,0,116
"covid_blood","UCell","sctransform","toll_like_receptor",0.0773176396850838,NA,0,116
"covid_blood","UCell","sctransform","tgfb_signaling",0.00860315380574981,NA,0,116
"covid_blood","UCell","sctransform","oxidative_stress",0.248013763856886,NA,0,116
"covid_blood","UCell","sctransform","ecm_remodeling",0.228944606044488,NA,0,116
"covid_blood","UCell","sctransform","raas",0.175739496497029,NA,0,116
