"dataset","method","pathway","norm1","norm2","spearman_cor","n_samples"
"covid_blood","ssGSEA","interferon_signaling","log2CPM","voom",0.83088166832563,360
"covid_blood","ssGSEA","jak_stat","log2CPM","voom",0.584931725296234,360
"covid_blood","ssGSEA","insulin_signaling","log2CPM","voom",0.507483596838453,360
"covid_blood","ssGSEA","glucose_metabolism","log2CPM","voom",0.661234783190199,360
"covid_blood","ssGSEA","nfkb_signaling","log2CPM","voom",0.880928093580969,360
"covid_blood","ssGSEA","toll_like_receptor","log2CPM","voom",0.857908111430901,360
"covid_blood","ssGSEA","tgfb_signaling","log2CPM","voom",0.507422125170719,360
"covid_blood","ssGSEA","oxidative_stress","log2CPM","voom",0.841084164744069,360
"covid_blood","ssGSEA","ecm_remodeling","log2CPM","voom",0.278233885549528,360
"covid_blood","ssGSEA","interferon_signaling","log2CPM","scran",0.83088166832563,360
"covid_blood","ssGSEA","jak_stat","log2CPM","scran",0.584931725296234,360
"covid_blood","ssGSEA","insulin_signaling","log2CPM","scran",0.507483596838453,360
"covid_blood","ssGSEA","glucose_metabolism","log2CPM","scran",0.661234783190199,360
"covid_blood","ssGSEA","nfkb_signaling","log2CPM","scran",0.880928093580969,360
"covid_blood","ssGSEA","toll_like_receptor","log2CPM","scran",0.857908111430901,360
"covid_blood","ssGSEA","tgfb_signaling","log2CPM","scran",0.507422125170719,360
"covid_blood","ssGSEA","oxidative_stress","log2CPM","scran",0.841084164744069,360
"covid_blood","ssGSEA","ecm_remodeling","log2CPM","scran",0.278233885549528,360
"covid_blood","ssGSEA","interferon_signaling","log2CPM","sctransform",0.564521588386742,360
"covid_blood","ssGSEA","jak_stat","log2CPM","sctransform",0.348607113738018,360
"covid_blood","ssGSEA","insulin_signaling","log2CPM","sctransform",0.424937178013205,360
"covid_blood","ssGSEA","glucose_metabolism","log2CPM","sctransform",0.378848602226869,360
"covid_blood","ssGSEA","nfkb_signaling","log2CPM","sctransform",0.448879235179284,360
"covid_blood","ssGSEA","toll_like_receptor","log2CPM","sctransform",0.423064992785438,360
"covid_blood","ssGSEA","tgfb_signaling","log2CPM","sctransform",0.616273016509901,360
"covid_blood","ssGSEA","oxidative_stress","log2CPM","sctransform",0.554446150561861,360
"covid_blood","ssGSEA","ecm_remodeling","log2CPM","sctransform",-0.0338783478267579,360
"covid_blood","ssGSEA","raas","log2CPM","sctransform",0.268250783828064,360
"covid_blood","ssGSEA","interferon_signaling","voom","scran",1,360
"covid_blood","ssGSEA","jak_stat","voom","scran",1,360
"covid_blood","ssGSEA","insulin_signaling","voom","scran",1,360
"covid_blood","ssGSEA","glucose_metabolism","voom","scran",1,360
"covid_blood","ssGSEA","nfkb_signaling","voom","scran",1,360
"covid_blood","ssGSEA","toll_like_receptor","voom","scran",1,360
"covid_blood","ssGSEA","tgfb_signaling","voom","scran",1,360
"covid_blood","ssGSEA","oxidative_stress","voom","scran",1,360
"covid_blood","ssGSEA","ecm_remodeling","voom","scran",1,360
"covid_blood","ssGSEA","interferon_signaling","voom","sctransform",0.606630709599097,360
"covid_blood","ssGSEA","jak_stat","voom","sctransform",0.510862738138412,360
