"dataset","method","normalization","pathway","sample_fraction","n_subsampled","n_total","mean_rank_cor","sd_rank_cor","full_effect","mean_sub_effect","sd_sub_effect"
"covid_blood","ssGSEA","log2CPM","interferon_signaling",0.3,108,360,0.977939393939394,0.0205893198394837,-0.0406236834852054,-0.0258538365018491,0.195658246058021
"covid_blood","ssGSEA","log2CPM","jak_stat",0.3,108,360,0.977939393939394,0.0205893198394837,-0.397957377698501,-0.373137136392637,0.151052627062741
"covid_blood","ssGSEA","log2CPM","insulin_signaling",0.3,108,360,0.977939393939394,0.0205893198394837,-0.638718984480013,-0.607843185978337,0.178944900886591
"covid_blood","ssGSEA","log2CPM","glucose_metabolism",0.3,108,360,0.977939393939394,0.0205893198394837,-0.93895834392547,-0.968998958824033,0.206380915691729
"covid_blood","ssGSEA","log2CPM","nfkb_signaling",0.3,108,360,0.977939393939394,0.0205893198394837,0.902123039430747,0.923218703949822,0.157745605346972
"covid_blood","ssGSEA","log2CPM","toll_like_receptor",0.3,108,360,0.977939393939394,0.0205893198394837,-0.385145721655102,-0.360754738672128,0.157329632685499
"covid_blood","ssGSEA","log2CPM","tgfb_signaling",0.3,108,360,0.977939393939394,0.0205893198394837,0.729464219819526,0.740584372320532,0.156132185738949
"covid_blood","ssGSEA","log2CPM","oxidative_stress",0.3,108,360,0.977939393939394,0.0205893198394837,-1.64676787374668,-1.67992331994838,0.260609990799361
"covid_blood","ssGSEA","log2CPM","ecm_remodeling",0.3,108,360,0.977939393939394,0.0205893198394837,-1.16172210198133,-1.2077264776018,0.200951869293524
"covid_blood","ssGSEA","log2CPM","raas",0.3,108,360,0.977939393939394,0.0205893198394837,-0.972365916325048,-0.972393058794435,0.231658048721112
"covid_blood","ssGSEA","log2CPM","interferon_signaling",0.5,180,360,0.983515151515151,0.0150480076068574,-0.0406236834852054,-0.0493521018232568,0.0931795610639634
"covid_blood","ssGSEA","log2CPM","jak_stat",0.5,180,360,0.983515151515151,0.0150480076068574,-0.397957377698501,-0.398286537424578,0.111442580448703
"covid_blood","ssGSEA","log2CPM","insulin_signaling",0.5,180,360,0.983515151515151,0.0150480076068574,-0.638718984480013,-0.600462001257362,0.0885160696580839
"covid_blood","ssGSEA","log2CPM","glucose_metabolism",0.5,180,360,0.983515151515151,0.0150480076068574,-0.93895834392547,-0.945927758435248,0.128963149491865
"covid_blood","ssGSEA","log2CPM","nfkb_signaling",0.5,180,360,0.983515151515151,0.0150480076068574,0.902123039430747,0.912800224267467,0.0976357321197301
"covid_blood","ssGSEA","log2CPM","toll_like_receptor",0.5,180,360,0.983515151515151,0.0150480076068574,-0.385145721655102,-0.396949528626596,0.11001001686836
"covid_blood","ssGSEA","log2CPM","tgfb_signaling",0.5,180,360,0.983515151515151,0.0150480076068574,0.729464219819526,0.734534846675893,0.0962310701242505
"covid_blood","ssGSEA","log2CPM","oxidative_stress",0.5,180,360,0.983515151515151,0.0150480076068574,-1.64676787374668,-1.66348921797488,0.132132858673049
"covid_blood","ssGSEA","log2CPM","ecm_remodeling",0.5,180,360,0.983515151515151,0.0150480076068574,-1.16172210198133,-1.17210340859344,0.122957042971552
"covid_blood","ssGSEA","log2CPM","raas",0.5,180,360,0.983515151515151,0.0150480076068574,-0.972365916325048,-0.994903697498377,0.11677542099424
"covid_blood","ssGSEA","log2CPM","interferon_signaling",0.7,252,360,0.988848484848485,0.0129210445757074,-0.0406236834852054,-0.0439180831044826,0.0728711850361986
"covid_blood","ssGSEA","log2CPM","jak_stat",0.7,252,360,0.988848484848485,0.0129210445757074,-0.397957377698501,-0.399445845507836,0.0692887548496462
"covid_blood","ssGSEA","log2CPM","insulin_signaling",0.7,252,360,0.988848484848485,0.0129210445757074,-0.638718984480013,-0.651842822555321,0.0868099037965927
"covid_blood","ssGSEA","log2CPM","glucose_metabolism",0.7,252,360,0.988848484848485,0.0129210445757074,-0.93895834392547,-0.970177633171995,0.085884872839604
"covid_blood","ssGSEA","log2CPM","nfkb_signaling",0.7,252,360,0.988848484848485,0.0129210445757074,0.902123039430747,0.895994317263307,0.0661770194643766
"covid_blood","ssGSEA","log2CPM","toll_like_receptor",0.7,252,360,0.988848484848485,0.0129210445757074,-0.385145721655102,-0.371038859776075,0.0709452992044718
"covid_blood","ssGSEA","log2CPM","tgfb_signaling",0.7,252,360,0.988848484848485,0.0129210445757074,0.729464219819526,0.726578303787161,0.0654530222615445
"covid_blood","ssGSEA","log2CPM","oxidative_stress",0.7,252,360,0.988848484848485,0.0129210445757074,-1.64676787374668,-1.64226424249266,0.0903618778599469
"covid_blood","ssGSEA","log2CPM","ecm_remodeling",0.7,252,360,0.988848484848485,0.0129210445757074,-1.16172210198133,-1.17497126166022,0.0690670216858195
"covid_blood","ssGSEA","log2CPM","raas",0.7,252,360,0.988848484848485,0.0129210445757074,-0.972365916325048,-0.969065086520416,0.0699479462108002
"covid_blood","ssGSEA","log2CPM","interferon_signaling",0.9,324,360,0.992969696969697,0.0085148334913553,-0.0406236834852054,-0.0330048843837343,0.0308161986304685
"covid_blood","ssGSEA","log2CPM","jak_stat",0.9,324,360,0.992969696969697,0.0085148334913553,-0.397957377698501,-0.397662855443987,0.0416015429790928
"covid_blood","ssGSEA","log2CPM","insulin_signaling",0.9,324,360,0.992969696969697,0.0085148334913553,-0.638718984480013,-0.639848861328897,0.0403460994217285
"covid_blood","ssGSEA","log2CPM","glucose_metabolism",0.9,324,360,0.992969696969697,0.0085148334913553,-0.93895834392547,-0.937796172935563,0.0424941459198089
"covid_blood","ssGSEA","log2CPM","nfkb_signaling",0.9,324,360,0.992969696969697,0.0085148334913553,0.902123039430747,0.911251943702553,0.0300449089039414
