"dataset","method","normalization","pathway","cell_type","p_value","cohens_d","mean_disease","mean_control","expected_direction","observed_direction","direction_correct","n_disease","n_control"
"covid_lung","ssGSEA","log2CPM","interferon_signaling","unknown",0.000151857605042575,1.13630955047579,1.73477835351764,1.65068175458357,"UP","UP",TRUE,18,50
"covid_lung","ssGSEA","log2CPM","interferon_signaling","alveolar macrophage",0.00282094543194092,1.14380980537211,1.75059248554056,1.67893473177189,"UP","UP",TRUE,9,45
"covid_lung","ssGSEA","log2CPM","interferon_signaling","pulmonary alveolar type 2 cell",0.601229253347353,-0.225469848543969,1.61916931691729,1.63366916894149,"UP","DOWN",FALSE,5,36
"covid_lung","ssGSEA","log2CPM","interferon_signaling","capillary endothelial cell",0.284454354019571,-0.5127926483291,1.6872647665682,1.71675880372768,"UP","DOWN",FALSE,5,22
"covid_lung","ssGSEA","log2CPM","interferon_signaling","nasal mucosa goblet cell",0.000141250419337182,2.42256932981661,1.75795372934892,1.68726581376108,"UP","UP",TRUE,6,26
"covid_lung","ssGSEA","log2CPM","interferon_signaling","pulmonary alveolar type 1 cell",0.271908831908832,-0.564365105171175,1.61754533020214,1.65128591340349,"UP","DOWN",FALSE,4,23
"covid_lung","ssGSEA","log2CPM","interferon_signaling","club cell",0.0183908045977011,1.91633752648367,1.72154493958893,1.68228181051609,"UP","UP",TRUE,2,28
"covid_lung","ssGSEA","log2CPM","interferon_signaling","multiciliated columnar cell of tracheobronchial tree",5.88895021922634e-06,1.85512899379587,1.712167896547,1.63029972794423,"UP","UP",TRUE,11,50
"covid_lung","ssGSEA","log2CPM","interferon_signaling","CD8-positive, alpha-beta T cell",6.98568191574475e-05,1.22037795126821,1.77076113079089,1.71055010831813,"UP","UP",TRUE,15,42
"covid_lung","ssGSEA","log2CPM","interferon_signaling","alveolar type 1 fibroblast cell",0.207933370976849,-0.521133228630091,1.61365586027831,1.64001917772086,"UP","DOWN",FALSE,5,19
"covid_lung","ssGSEA","log2CPM","interferon_signaling","alveolar adventitial fibroblast",0.802687747035573,0.558899023259933,1.68381032262016,1.6639372142352,"UP","UP",TRUE,4,21
"covid_lung","ssGSEA","log2CPM","interferon_signaling","elicited macrophage",0.000405283417696566,1.32016793461141,1.76546688920677,1.69422443633715,"UP","UP",TRUE,13,36
"covid_lung","ssGSEA","log2CPM","interferon_signaling","respiratory basal cell",0.00868347338935574,1.62177909911434,1.73150692659747,1.67163852840509,"UP","UP",TRUE,3,33
"covid_lung","ssGSEA","log2CPM","interferon_signaling","B cell",3.6115164035075e-06,2.56153854997146,1.80263838922228,1.70526737140665,"UP","UP",TRUE,6,27
"covid_lung","ssGSEA","log2CPM","interferon_signaling","natural killer cell",0.0540679488047909,1.13728961541235,1.76735434114469,1.70326023290754,"UP","UP",TRUE,5,34
"covid_lung","ssGSEA","log2CPM","interferon_signaling","vein endothelial cell",1,0.273497951657636,1.72610761214931,1.71889169042416,"UP","UP",TRUE,3,18
"covid_lung","ssGSEA","log2CPM","interferon_signaling","lung macrophage",0.294117647058824,0.770843464759879,1.74931331419366,1.72827495845587,"UP","UP",TRUE,2,15
"covid_lung","ssGSEA","log2CPM","interferon_signaling","classical monocyte",5.11288724183761e-05,1.52279822991148,1.78062013228205,1.70410216914871,"UP","UP",TRUE,10,41
"covid_lung","ssGSEA","log2CPM","interferon_signaling","bronchus fibroblast of lung",0.4,-0.982404952309203,1.64061426759944,1.66616931020396,"UP","DOWN",FALSE,4,3
"covid_lung","ssGSEA","log2CPM","interferon_signaling","CD4-positive, alpha-beta T cell",9.4899561637674e-06,1.26737341491631,1.77025850607075,1.71062626792994,"UP","UP",TRUE,15,35
"covid_lung","ssGSEA","log2CPM","interferon_signaling","non-classical monocyte",0.0105763967832933,1.41720189622614,1.77879098615278,1.71499860381245,"UP","UP",TRUE,5,24
"covid_lung","ssGSEA","log2CPM","interferon_signaling","lung pericyte",0.753113553113553,0.525686015819352,1.6705368472044,1.65120568138589,"UP","UP",TRUE,4,11
"covid_lung","ssGSEA","log2CPM","interferon_signaling","endothelial cell of lymphatic vessel",0.6,0.616745264043,1.70475691954333,1.68288502477113,"UP","UP",TRUE,3,18
"covid_lung","ssGSEA","log2CPM","interferon_signaling","plasma cell",0.106074008550789,0.929928305427438,1.73773387173067,1.70187043194186,"UP","UP",TRUE,6,13
"covid_lung","ssGSEA","log2CPM","interferon_signaling","pulmonary artery endothelial cell",0.307017543859649,-0.399363644000308,1.70580149113369,1.72183263523382,"UP","DOWN",FALSE,4,15
"covid_lung","ssGSEA","log2CPM","interferon_signaling","tracheobronchial smooth muscle cell",0.364285714285714,-0.326271044713388,1.66343343633411,1.6746087696697,"UP","DOWN",FALSE,3,13
"covid_lung","ssGSEA","log2CPM","interferon_signaling","CD1c-positive myeloid dendritic cell",0.0108713755772579,1.22638849133985,1.77774603088562,1.72739976056076,"UP","UP",TRUE,4,33
"covid_lung","ssGSEA","log2CPM","interferon_signaling","dendritic cell",1,-0.0299204416978029,1.76333626563349,1.76477304880201,"UP","DOWN",FALSE,2,2
"covid_lung","ssGSEA","log2CPM","interferon_signaling","conventional dendritic cell",0.666666666666667,1.07192687663896,1.78162155011764,1.75887985271632,"UP","UP",TRUE,2,2
"covid_lung","ssGSEA","log2CPM","jak_stat","unknown",0.000223633261469029,1.1605205051598,1.7353991846631,1.66708957118453,"UP","UP",TRUE,18,50
"covid_lung","ssGSEA","log2CPM","jak_stat","alveolar macrophage",0.0160344686041799,0.940767736582133,1.72108966399159,1.67121790190053,"UP","UP",TRUE,9,45
"covid_lung","ssGSEA","log2CPM","jak_stat","pulmonary alveolar type 2 cell",0.0567228628846087,-0.932344973148567,1.58166016868435,1.63892421743654,"UP","DOWN",FALSE,5,36
"covid_lung","ssGSEA","log2CPM","jak_stat","capillary endothelial cell",0.0992196209587514,-0.925897607631164,1.63891938900665,1.69388964827659,"UP","DOWN",FALSE,5,22
"covid_lung","ssGSEA","log2CPM","jak_stat","nasal mucosa goblet cell",4.41407560428695e-06,3.02762855246289,1.72711638498266,1.64918702579397,"UP","UP",TRUE,6,26
"covid_lung","ssGSEA","log2CPM","jak_stat","pulmonary alveolar type 1 cell",0.110883190883191,-0.88680255348722,1.57325064701103,1.62958461292789,"UP","DOWN",FALSE,4,23
"covid_lung","ssGSEA","log2CPM","jak_stat","club cell",0.331034482758621,0.952925671279013,1.6674118458735,1.64379386192892,"UP","UP",TRUE,2,28
