"dataset","method","normalization","pathway","spearman_cor","rank_correlation","n_samples"
"covid_lung","ssGSEA","log2CPM","interferon_signaling",0.999995384569921,0.999995384569921,1014
"covid_lung","ssGSEA","log2CPM","jak_stat",0.999996443471585,0.999996443471585,1014
"covid_lung","ssGSEA","log2CPM","insulin_signaling",0.999980905240645,0.999980905240645,1014
"covid_lung","ssGSEA","log2CPM","glucose_metabolism",0.999983805710421,0.999983805710421,1014
"covid_lung","ssGSEA","log2CPM","nfkb_signaling",0.999982677749952,0.999982677749952,1014
"covid_lung","ssGSEA","log2CPM","toll_like_receptor",0.99999322072739,0.99999322072739,1014
"covid_lung","ssGSEA","log2CPM","tgfb_signaling",0.999977774574856,0.999977774574856,1014
"covid_lung","ssGSEA","log2CPM","oxidative_stress",0.999986637121392,0.999986637121392,1014
"covid_lung","ssGSEA","log2CPM","ecm_remodeling",0.999996581589193,0.999996581589193,1014
"covid_lung","ssGSEA","log2CPM","raas",0.999987316199633,0.999987316199633,1014
"covid_lung","ssGSEA","scran","interferon_signaling",0.874327524787723,0.874327524787723,1014
"covid_lung","ssGSEA","scran","jak_stat",0.817995682731308,0.817995682731308,1014
"covid_lung","ssGSEA","scran","insulin_signaling",0.337393365653046,0.337393365653046,1014
"covid_lung","ssGSEA","scran","glucose_metabolism",0.779486283641025,0.779486283641025,1014
"covid_lung","ssGSEA","scran","nfkb_signaling",0.974990699361675,0.974990699361675,1014
"covid_lung","ssGSEA","scran","toll_like_receptor",0.868625224228902,0.868625224228902,1014
"covid_lung","ssGSEA","scran","tgfb_signaling",0.738246483590434,0.738246483590434,1014
"covid_lung","ssGSEA","scran","oxidative_stress",0.90316451323571,0.90316451323571,1014
"covid_lung","ssGSEA","scran","ecm_remodeling",0.7771028916619,0.7771028916619,1014
"covid_lung","ssGSEA","scran","raas",0.499863870709718,0.499863870709718,1014
"covid_lung","ssGSEA","sctransform","interferon_signaling",0.965212513650983,0.965212513650983,1014
"covid_lung","ssGSEA","sctransform","jak_stat",0.96821822904394,0.96821822904394,1014
"covid_lung","ssGSEA","sctransform","insulin_signaling",0.946115648002786,0.946115648002786,1014
"covid_lung","ssGSEA","sctransform","glucose_metabolism",0.937960724013654,0.937960724013654,1014
"covid_lung","ssGSEA","sctransform","nfkb_signaling",0.968717604766738,0.968717604766738,1014
"covid_lung","ssGSEA","sctransform","toll_like_receptor",0.953865588144629,0.953865588144629,1014
"covid_lung","ssGSEA","sctransform","tgfb_signaling",0.944390133211844,0.944390133211844,1014
"covid_lung","ssGSEA","sctransform","oxidative_stress",0.877233093404824,0.877233093404824,1014
"covid_lung","ssGSEA","sctransform","ecm_remodeling",0.986371636329086,0.986371636329086,1014
"covid_lung","ssGSEA","sctransform","raas",0.945815322773226,0.945815322773226,1014
"covid_lung","GSVA","log2CPM","interferon_signaling",0.999999988490199,0.999999988490199,1014
"covid_lung","GSVA","log2CPM","jak_stat",1,1,1014
"covid_lung","GSVA","log2CPM","insulin_signaling",1,1,1014
"covid_lung","GSVA","log2CPM","glucose_metabolism",0.999999965470598,0.999999965470598,1014
"covid_lung","GSVA","log2CPM","nfkb_signaling",0.999999988490199,0.999999988490199,1014
"covid_lung","GSVA","log2CPM","toll_like_receptor",1,1,1014
"covid_lung","GSVA","log2CPM","tgfb_signaling",1,1,1014
"covid_lung","GSVA","log2CPM","oxidative_stress",1,1,1014
"covid_lung","GSVA","log2CPM","ecm_remodeling",0.999999988490199,0.999999988490199,1014
"covid_lung","GSVA","log2CPM","raas",1,1,1014
"covid_lung","GSVA","scran","interferon_signaling",-0.0499546010298797,-0.0499546010298797,1014
"covid_lung","GSVA","scran","jak_stat",-0.0670766841334606,-0.0670766841334606,1014
"covid_lung","GSVA","scran","insulin_signaling",0.16068628452728,0.16068628452728,1014
"covid_lung","GSVA","scran","glucose_metabolism",0.201527327532758,0.201527327532758,1014
"covid_lung","GSVA","scran","nfkb_signaling",0.23044657652632,0.23044657652632,1014
"covid_lung","GSVA","scran","toll_like_receptor",0.0450973845675614,0.0450973845675614,1014
"covid_lung","GSVA","scran","tgfb_signaling",0.106544366210091,0.106544366210091,1014
"covid_lung","GSVA","scran","oxidative_stress",0.403484218092192,0.403484218092192,1014
"covid_lung","GSVA","scran","ecm_remodeling",0.359059966953636,0.359059966953636,1014
"covid_lung","GSVA","scran","raas",0.0879530915770674,0.0879530915770674,1014
"covid_lung","GSVA","sctransform","interferon_signaling",0.970277608623672,0.970277608623672,1014
"covid_lung","GSVA","sctransform","jak_stat",0.978317918017474,0.978317918017474,1014
"covid_lung","GSVA","sctransform","insulin_signaling",0.965670016718849,0.965670016718849,1014
"covid_lung","GSVA","sctransform","glucose_metabolism",0.984893835468723,0.984893835468723,1014
"covid_lung","GSVA","sctransform","nfkb_signaling",0.964339080915366,0.964339080915366,1014
"covid_lung","GSVA","sctransform","toll_like_receptor",0.977807631003616,0.977807631003616,1014
"covid_lung","GSVA","sctransform","tgfb_signaling",0.947457449058126,0.947457449058126,1014
"covid_lung","GSVA","sctransform","oxidative_stress",0.90697579957938,0.90697579957938,1014
"covid_lung","GSVA","sctransform","ecm_remodeling",0.966816001534947,0.966816001534947,1014
"covid_lung","GSVA","sctransform","raas",0.937774863752015,0.937774863752015,1014
"covid_lung","zscore","log2CPM","interferon_signaling",1,1,1014
"covid_lung","zscore","log2CPM","jak_stat",1,1,1014
"covid_lung","zscore","log2CPM","insulin_signaling",1,1,1014
"covid_lung","zscore","log2CPM","glucose_metabolism",1,1,1014
"covid_lung","zscore","log2CPM","nfkb_signaling",1,1,1014
"covid_lung","zscore","log2CPM","toll_like_receptor",1,1,1014
"covid_lung","zscore","log2CPM","tgfb_signaling",0.999999976980399,0.999999976980399,1014
"covid_lung","zscore","log2CPM","oxidative_stress",1,1,1014
"covid_lung","zscore","log2CPM","ecm_remodeling",1,1,1014
"covid_lung","zscore","log2CPM","raas",1,1,1014
"covid_lung","zscore","scran","interferon_signaling",0.52818862698753,0.52818862698753,1014
"covid_lung","zscore","scran","jak_stat",0.637732648680512,0.637732648680512,1014
"covid_lung","zscore","scran","insulin_signaling",0.513725802766156,0.513725802766156,1014
"covid_lung","zscore","scran","glucose_metabolism",0.540604341076715,0.540604341076715,1014
"covid_lung","zscore","scran","nfkb_signaling",0.769760283366689,0.769760283366689,1014
"covid_lung","zscore","scran","toll_like_receptor",0.597745068906443,0.597745068906443,1014
"covid_lung","zscore","scran","tgfb_signaling",0.582851674550832,0.582851674550832,1014
"covid_lung","zscore","scran","oxidative_stress",0.88938011119676,0.88938011119676,1014
"covid_lung","zscore","scran","ecm_remodeling",0.609637202161966,0.609637202161966,1014
"covid_lung","zscore","scran","raas",0.483098326702297,0.483098326702297,1014
"covid_lung","zscore","sctransform","interferon_signaling",0.96244730705337,0.96244730705337,1014
"covid_lung","zscore","sctransform","jak_stat",0.952909894863438,0.952909894863438,1014
"covid_lung","zscore","sctransform","insulin_signaling",0.954129565423592,0.954129565423592,1014
"covid_lung","zscore","sctransform","glucose_metabolism",0.944736486134388,0.944736486134388,1014
"covid_lung","zscore","sctransform","nfkb_signaling",0.9722228224903,0.9722228224903,1014
"covid_lung","zscore","sctransform","toll_like_receptor",0.956509078599882,0.956509078599882,1014
