"dataset","method","normalization","pathway","cor_with_cell_count","variance_ratio","n_outlier_samples","median_cell_count"
"covid_lung","ssGSEA","log2CPM","interferon_signaling",-0.14201237284222,0.828095997020132,102,169.5
"covid_lung","ssGSEA","log2CPM","jak_stat",-0.182641298321978,0.655876027452898,102,169.5
"covid_lung","ssGSEA","log2CPM","insulin_signaling",-0.406034350273787,0.516967393711967,102,169.5
"covid_lung","ssGSEA","log2CPM","glucose_metabolism",-0.214015842351669,0.897644275543039,102,169.5
"covid_lung","ssGSEA","log2CPM","nfkb_signaling",0.0213766502875958,1.20157967711332,102,169.5
"covid_lung","ssGSEA","log2CPM","toll_like_receptor",-0.0751739988289754,0.947423930393605,102,169.5
"covid_lung","ssGSEA","log2CPM","tgfb_signaling",-0.0725150798600731,0.803496016141879,102,169.5
"covid_lung","ssGSEA","log2CPM","oxidative_stress",-0.104108928219748,0.772613064221777,102,169.5
"covid_lung","ssGSEA","log2CPM","ecm_remodeling",-0.270998959351469,0.741831965233076,102,169.5
"covid_lung","ssGSEA","log2CPM","raas",-0.39085290487294,0.519656072309568,102,169.5
"covid_lung","ssGSEA","voom","interferon_signaling",0.0643980457590615,1.43498925084181,102,169.5
"covid_lung","ssGSEA","voom","jak_stat",0.0759171025187143,0.956267548798747,102,169.5
"covid_lung","ssGSEA","voom","insulin_signaling",0.192251791054358,1.01964660702979,102,169.5
"covid_lung","ssGSEA","voom","glucose_metabolism",-0.000134038815694284,1.2530810246474,102,169.5
"covid_lung","ssGSEA","voom","nfkb_signaling",0.0583404707841812,1.19894563179173,102,169.5
"covid_lung","ssGSEA","voom","toll_like_receptor",0.0623569967557847,1.04468967647583,102,169.5
"covid_lung","ssGSEA","voom","tgfb_signaling",0.187740315346591,0.949105518109927,102,169.5
"covid_lung","ssGSEA","voom","oxidative_stress",0.0683751732620615,0.895868175325432,102,169.5
"covid_lung","ssGSEA","voom","ecm_remodeling",0.0589935898909397,1.11912499134538,102,169.5
"covid_lung","ssGSEA","voom","raas",0.140440123028607,0.775702359126342,102,169.5
"covid_lung","ssGSEA","scran","interferon_signaling",0.0643980457590615,1.43498925084181,102,169.5
"covid_lung","ssGSEA","scran","jak_stat",0.0759171025187143,0.956267548798747,102,169.5
"covid_lung","ssGSEA","scran","insulin_signaling",0.192251791054358,1.01964660702979,102,169.5
"covid_lung","ssGSEA","scran","glucose_metabolism",-0.000134038815694284,1.2530810246474,102,169.5
"covid_lung","ssGSEA","scran","nfkb_signaling",0.0583404707841812,1.19894563179173,102,169.5
"covid_lung","ssGSEA","scran","toll_like_receptor",0.0623569967557847,1.04468967647583,102,169.5
"covid_lung","ssGSEA","scran","tgfb_signaling",0.187740315346591,0.949105518109927,102,169.5
"covid_lung","ssGSEA","scran","oxidative_stress",0.0683751732620615,0.895868175325432,102,169.5
"covid_lung","ssGSEA","scran","ecm_remodeling",0.0589935898909397,1.11912499134538,102,169.5
"covid_lung","ssGSEA","scran","raas",0.140440123028607,0.775702359126342,102,169.5
"covid_lung","ssGSEA","sctransform","interferon_signaling",0.00555255405553649,1.02463892821755,102,169.5
"covid_lung","ssGSEA","sctransform","jak_stat",0.0270396247955271,0.87594506131325,102,169.5
"covid_lung","ssGSEA","sctransform","insulin_signaling",0.103471082781653,0.859710690083668,102,169.5
"covid_lung","ssGSEA","sctransform","glucose_metabolism",-0.0722900666079658,0.978402460395263,102,169.5
"covid_lung","ssGSEA","sctransform","nfkb_signaling",-0.153004591622279,0.867867668817481,102,169.5
"covid_lung","ssGSEA","sctransform","toll_like_receptor",-0.0311591933584751,0.860771124987975,102,169.5
"covid_lung","ssGSEA","sctransform","tgfb_signaling",-0.00798550444866982,0.694569863118607,102,169.5
"covid_lung","ssGSEA","sctransform","oxidative_stress",-0.163754912092257,0.956802403334092,102,169.5
"covid_lung","ssGSEA","sctransform","ecm_remodeling",0.166749235990852,0.845037938951892,102,169.5
"covid_lung","ssGSEA","sctransform","raas",0.325475894069006,0.834371786164123,102,169.5
"covid_lung","GSVA","log2CPM","interferon_signaling",-0.153578741142976,0.782583135216938,102,169.5
"covid_lung","GSVA","log2CPM","jak_stat",-0.148472841184029,0.646745826573233,102,169.5
"covid_lung","GSVA","log2CPM","insulin_signaling",-0.0212123576376263,0.943396897599488,102,169.5
"covid_lung","GSVA","log2CPM","glucose_metabolism",-0.160582771383421,0.925388970855535,102,169.5
"covid_lung","GSVA","log2CPM","nfkb_signaling",-0.155086633218583,0.814727596490746,102,169.5
"covid_lung","GSVA","log2CPM","toll_like_receptor",-0.155940393314151,0.759756182572319,102,169.5
"covid_lung","GSVA","log2CPM","tgfb_signaling",-0.192333045360261,0.66498882531252,102,169.5
"covid_lung","GSVA","log2CPM","oxidative_stress",-0.0990954529475919,0.870678723486616,102,169.5
"covid_lung","GSVA","log2CPM","ecm_remodeling",0.159713472890945,0.927159550790583,102,169.5
"covid_lung","GSVA","log2CPM","raas",0.162193959268692,0.942886981779443,102,169.5
"covid_lung","GSVA","voom","interferon_signaling",0.168245848341296,0.929841430471885,102,169.5
"covid_lung","GSVA","voom","jak_stat",0.0572241981053021,0.692394346488166,102,169.5
"covid_lung","GSVA","voom","insulin_signaling",0.180519817972338,0.699530169249178,102,169.5
"covid_lung","GSVA","voom","glucose_metabolism",0.170184182786052,1.00492275886164,102,169.5
"covid_lung","GSVA","voom","nfkb_signaling",0.173310916846147,0.934642817956083,102,169.5
"covid_lung","GSVA","voom","toll_like_receptor",0.116763807263574,0.709174746093623,102,169.5
"covid_lung","GSVA","voom","tgfb_signaling",0.217295980673974,0.856469307302473,102,169.5
"covid_lung","GSVA","voom","oxidative_stress",0.037125995320606,0.81791805655597,102,169.5
"covid_lung","GSVA","voom","ecm_remodeling",-0.211719319083384,0.829257173155892,102,169.5
"covid_lung","GSVA","voom","raas",0.00814859431161947,0.689632303233326,102,169.5
"covid_lung","GSVA","scran","interferon_signaling",0.000225260715465444,0.973134119703537,102,169.5
"covid_lung","GSVA","scran","jak_stat",-0.0355584645756834,0.742926329018896,102,169.5
"covid_lung","GSVA","scran","insulin_signaling",0.0206797704511761,0.622518069690657,102,169.5
"covid_lung","GSVA","scran","glucose_metabolism",0.0480699414809382,1.03074848933781,102,169.5
"covid_lung","GSVA","scran","nfkb_signaling",-0.00266516885743628,0.849228774308857,102,169.5
"covid_lung","GSVA","scran","toll_like_receptor",0.0153312643218453,0.796903168483413,102,169.5
"covid_lung","GSVA","scran","tgfb_signaling",0.00969544172376957,0.803149016949079,102,169.5
"covid_lung","GSVA","scran","oxidative_stress",-0.0515675195255993,0.775425398321221,102,169.5
"covid_lung","GSVA","scran","ecm_remodeling",0.0158873605273205,1.04596286943559,102,169.5
"covid_lung","GSVA","scran","raas",0.0339276465156523,0.707052367597088,102,169.5
"covid_lung","GSVA","sctransform","interferon_signaling",0.0663296296336052,0.849125664251678,102,169.5
"covid_lung","GSVA","sctransform","jak_stat",0.0299237584402003,0.652745204511528,102,169.5
"covid_lung","GSVA","sctransform","insulin_signaling",0.0734938031965491,0.983496307572059,102,169.5
"covid_lung","GSVA","sctransform","glucose_metabolism",-0.0667653435477793,0.964845202728459,102,169.5
"covid_lung","GSVA","sctransform","nfkb_signaling",-0.0803873554349811,0.821899685451698,102,169.5
"covid_lung","GSVA","sctransform","toll_like_receptor",0.0313549829144725,0.731461375646513,102,169.5
"covid_lung","GSVA","sctransform","tgfb_signaling",0.107096138985537,0.74069269504655,102,169.5
"covid_lung","GSVA","sctransform","oxidative_stress",-0.160158837876087,0.926079599883548,102,169.5
"covid_lung","GSVA","sctransform","ecm_remodeling",0.279348511174798,0.960266561318665,102,169.5
"covid_lung","GSVA","sctransform","raas",0.231458763303331,0.871911095714896,102,169.5
"covid_lung","zscore","log2CPM","interferon_signaling",0.291440106065839,1.85533733415161,102,169.5
"covid_lung","zscore","log2CPM","jak_stat",0.327392238804657,1.56635283273592,102,169.5
"covid_lung","zscore","log2CPM","insulin_signaling",0.3173386773169,1.44365951413684,102,169.5
"covid_lung","zscore","log2CPM","glucose_metabolism",0.331435680732681,1.82574020434353,102,169.5
"covid_lung","zscore","log2CPM","nfkb_signaling",0.106098222851399,2.17382823414028,102,169.5
"covid_lung","zscore","log2CPM","toll_like_receptor",0.312424578725411,1.47638870831367,102,169.5
"covid_lung","zscore","log2CPM","tgfb_signaling",0.273106035031679,1.49407840856453,102,169.5
"covid_lung","zscore","log2CPM","oxidative_stress",0.188644379563407,1.6392865444217,102,169.5
"covid_lung","zscore","log2CPM","ecm_remodeling",0.257263816424856,0.981992941447253,102,169.5
"covid_lung","zscore","log2CPM","raas",0.317724622321275,1.12503179171101,102,169.5
"covid_lung","zscore","voom","interferon_signaling",0.246679181305607,1.9429600098171,102,169.5
"covid_lung","zscore","voom","jak_stat",0.0828908501500749,1.1139761790172,102,169.5
"covid_lung","zscore","voom","insulin_signaling",0.251175089841657,0.905992462027317,102,169.5
"covid_lung","zscore","voom","glucose_metabolism",0.262825538134568,1.73152524556936,102,169.5
"covid_lung","zscore","voom","nfkb_signaling",0.191132986192279,1.45944001744175,102,169.5
"covid_lung","zscore","voom","toll_like_receptor",0.17897493875713,0.981792027585852,102,169.5
"covid_lung","zscore","voom","tgfb_signaling",0.25364964285377,0.985389679650053,102,169.5
"covid_lung","zscore","voom","oxidative_stress",0.0592140049285547,0.924577965878308,102,169.5
"covid_lung","zscore","voom","ecm_remodeling",-0.137456486094107,0.697746112808867,102,169.5
"covid_lung","zscore","voom","raas",0.0540287785759135,0.736973450118999,102,169.5
"covid_lung","zscore","scran","interferon_signaling",0.523115998323587,2.96090565087933,102,169.5
"covid_lung","zscore","scran","jak_stat",0.485019975413811,2.17961827022081,102,169.5
"covid_lung","zscore","scran","insulin_signaling",0.5585686809461,2.17126683186468,102,169.5
"covid_lung","zscore","scran","glucose_metabolism",0.595335906192034,3.00088722607151,102,169.5
"covid_lung","zscore","scran","nfkb_signaling",0.291737246254406,2.40093223958745,102,169.5
"covid_lung","zscore","scran","toll_like_receptor",0.529847859154791,2.15044598798014,102,169.5
"covid_lung","zscore","scran","tgfb_signaling",0.560721807830775,2.16792800230643,102,169.5
"covid_lung","zscore","scran","oxidative_stress",0.266657744189076,1.6289385717255,102,169.5
"covid_lung","zscore","scran","ecm_remodeling",0.383924592665129,1.15368466779174,102,169.5
"covid_lung","zscore","scran","raas",0.378592770170108,1.61255117543646,102,169.5
"covid_lung","zscore","sctransform","interferon_signaling",0.134700009012473,1.80670076957026,102,169.5
"covid_lung","zscore","sctransform","jak_stat",0.117338676154499,1.51515775143009,102,169.5
"covid_lung","zscore","sctransform","insulin_signaling",0.0781656812000964,1.46751956026731,102,169.5
"covid_lung","zscore","sctransform","glucose_metabolism",0.0604119290057023,1.7869417682867,102,169.5
"covid_lung","zscore","sctransform","nfkb_signaling",-0.076596533310903,2.07482887830229,102,169.5
"covid_lung","zscore","sctransform","toll_like_receptor",0.121365336613863,1.46144524524366,102,169.5
"covid_lung","zscore","sctransform","tgfb_signaling",0.11319266929696,1.46107435187062,102,169.5
"covid_lung","zscore","sctransform","oxidative_stress",-0.134516983961787,1.58908668517616,102,169.5
"covid_lung","zscore","sctransform","ecm_remodeling",0.114567339761451,1.00987307839161,102,169.5
"covid_lung","zscore","sctransform","raas",0.101349032690794,1.17257639671066,102,169.5
"covid_lung","AUCell","log2CPM","interferon_signaling",0.0145244360652798,1.35113385602425,102,169.5
"covid_lung","AUCell","log2CPM","jak_stat",0.0370450980355265,0.957240720150318,102,169.5
"covid_lung","AUCell","log2CPM","insulin_signaling",0.106857864433479,0.857191369532697,102,169.5
"covid_lung","AUCell","log2CPM","glucose_metabolism",-0.000977736416792103,0.944382463721946,102,169.5
"covid_lung","AUCell","log2CPM","nfkb_signaling",0.024628414124995,1.05954069072223,102,169.5
"covid_lung","AUCell","log2CPM","toll_like_receptor",0.0269656019871087,0.994442247565373,102,169.5
"covid_lung","AUCell","log2CPM","tgfb_signaling",0.0652431909907863,0.883226984880622,102,169.5
"covid_lung","AUCell","log2CPM","oxidative_stress",0.0559034267008706,0.904778971160173,102,169.5
"covid_lung","AUCell","log2CPM","ecm_remodeling",0.115231416978655,1.42404667864146,102,169.5
"covid_lung","AUCell","log2CPM","raas",0.120471434324634,0.934930208797333,102,169.5
"covid_lung","AUCell","voom","interferon_signaling",-0.0351282541299511,1.51818205459764,102,169.5
"covid_lung","AUCell","voom","jak_stat",0.0198639829654635,0.904173106133595,102,169.5
"covid_lung","AUCell","voom","insulin_signaling",0.0689185943585519,0.909888183593144,102,169.5
"covid_lung","AUCell","voom","glucose_metabolism",-0.0139155328060579,1.12641736810036,102,169.5
"covid_lung","AUCell","voom","nfkb_signaling",0.00503097049637226,0.924048283988157,102,169.5
"covid_lung","AUCell","voom","toll_like_receptor",0.0447504187256451,1.03694206827106,102,169.5
"covid_lung","AUCell","voom","tgfb_signaling",-0.00621276400891208,1.20377736969256,102,169.5
"covid_lung","AUCell","voom","oxidative_stress",0.0760559848143408,0.849949409992924,102,169.5
"covid_lung","AUCell","voom","ecm_remodeling",0.057831615652656,1.32824671237861,102,169.5
"covid_lung","AUCell","voom","raas",0.022725661006386,0.981312493352445,102,169.5
"covid_lung","AUCell","scran","interferon_signaling",-0.0350696256457725,1.51811570565314,102,169.5
"covid_lung","AUCell","scran","jak_stat",0.0203541890579607,0.905494734482218,102,169.5
"covid_lung","AUCell","scran","insulin_signaling",0.0689143653639319,0.907025070751055,102,169.5
"covid_lung","AUCell","scran","glucose_metabolism",-0.0137701413888191,1.12965193994681,102,169.5
"covid_lung","AUCell","scran","nfkb_signaling",0.00495007089907035,0.923821440264234,102,169.5
"covid_lung","AUCell","scran","toll_like_receptor",0.0446390145251783,1.03280952590485,102,169.5
"covid_lung","AUCell","scran","tgfb_signaling",-0.00668424827771321,1.19785758093288,102,169.5
"covid_lung","AUCell","scran","oxidative_stress",0.0764239869056829,0.848007014761551,102,169.5
"covid_lung","AUCell","scran","ecm_remodeling",0.058443254813586,1.32808131137093,102,169.5
"covid_lung","AUCell","scran","raas",0.0210815123312329,0.983023576470653,102,169.5
"covid_lung","AUCell","sctransform","interferon_signaling",0.0779840322584704,0.99931123418023,102,169.5
"covid_lung","AUCell","sctransform","jak_stat",0.129804628807802,0.56860657578803,102,169.5
"covid_lung","AUCell","sctransform","insulin_signaling",0.162886799394748,0.722183209557967,102,169.5
"covid_lung","AUCell","sctransform","glucose_metabolism",-0.0177286429691675,0.927372754159238,102,169.5
