"dataset","method","pathway","norm1","norm2","spearman_cor","n_samples"
"covid_lung","ssGSEA","interferon_signaling","log2CPM","voom",0.874386823280908,1014
"covid_lung","ssGSEA","jak_stat","log2CPM","voom",0.818219617413649,1014
"covid_lung","ssGSEA","insulin_signaling","log2CPM","voom",0.337513102109686,1014
"covid_lung","ssGSEA","glucose_metabolism","log2CPM","voom",0.779811504569492,1014
"covid_lung","ssGSEA","nfkb_signaling","log2CPM","voom",0.975002968809217,1014
"covid_lung","ssGSEA","toll_like_receptor","log2CPM","voom",0.869132161890756,1014
"covid_lung","ssGSEA","tgfb_signaling","log2CPM","voom",0.73898297271737,1014
"covid_lung","ssGSEA","oxidative_stress","log2CPM","voom",0.903397471601797,1014
"covid_lung","ssGSEA","ecm_remodeling","log2CPM","voom",0.777424003591518,1014
"covid_lung","ssGSEA","raas","log2CPM","voom",0.499723796435248,1014
"covid_lung","ssGSEA","interferon_signaling","log2CPM","scran",0.874386823280908,1014
"covid_lung","ssGSEA","jak_stat","log2CPM","scran",0.818219617413649,1014
"covid_lung","ssGSEA","insulin_signaling","log2CPM","scran",0.337513102109686,1014
"covid_lung","ssGSEA","glucose_metabolism","log2CPM","scran",0.779811504569492,1014
"covid_lung","ssGSEA","nfkb_signaling","log2CPM","scran",0.975002968809217,1014
"covid_lung","ssGSEA","toll_like_receptor","log2CPM","scran",0.869132161890756,1014
"covid_lung","ssGSEA","tgfb_signaling","log2CPM","scran",0.73898297271737,1014
"covid_lung","ssGSEA","oxidative_stress","log2CPM","scran",0.903397471601797,1014
"covid_lung","ssGSEA","ecm_remodeling","log2CPM","scran",0.777424003591518,1014
"covid_lung","ssGSEA","raas","log2CPM","scran",0.499723796435248,1014
"covid_lung","ssGSEA","interferon_signaling","log2CPM","sctransform",0.625434127382014,1014
"covid_lung","ssGSEA","jak_stat","log2CPM","sctransform",0.655596757125164,1014
"covid_lung","ssGSEA","insulin_signaling","log2CPM","sctransform",0.0338834087690467,1014
"covid_lung","ssGSEA","glucose_metabolism","log2CPM","sctransform",0.29357024838524,1014
"covid_lung","ssGSEA","nfkb_signaling","log2CPM","sctransform",0.729894362185977,1014
"covid_lung","ssGSEA","toll_like_receptor","log2CPM","sctransform",0.615145125206633,1014
"covid_lung","ssGSEA","tgfb_signaling","log2CPM","sctransform",0.559648883170948,1014
"covid_lung","ssGSEA","oxidative_stress","log2CPM","sctransform",0.745410195053427,1014
"covid_lung","ssGSEA","ecm_remodeling","log2CPM","sctransform",0.464046165120004,1014
"covid_lung","ssGSEA","raas","log2CPM","sctransform",0.213167108408022,1014
"covid_lung","ssGSEA","interferon_signaling","voom","scran",1,1014
"covid_lung","ssGSEA","jak_stat","voom","scran",1,1014
"covid_lung","ssGSEA","insulin_signaling","voom","scran",1,1014
"covid_lung","ssGSEA","glucose_metabolism","voom","scran",1,1014
"covid_lung","ssGSEA","nfkb_signaling","voom","scran",1,1014
"covid_lung","ssGSEA","toll_like_receptor","voom","scran",1,1014
"covid_lung","ssGSEA","tgfb_signaling","voom","scran",1,1014
"covid_lung","ssGSEA","oxidative_stress","voom","scran",1,1014
"covid_lung","ssGSEA","ecm_remodeling","voom","scran",1,1014
"covid_lung","ssGSEA","raas","voom","scran",1,1014
"covid_lung","ssGSEA","interferon_signaling","voom","sctransform",0.669302524205758,1014
"covid_lung","ssGSEA","jak_stat","voom","sctransform",0.756741110427013,1014
"covid_lung","ssGSEA","insulin_signaling","voom","sctransform",0.554945932567358,1014
"covid_lung","ssGSEA","glucose_metabolism","voom","sctransform",0.388676122869539,1014
"covid_lung","ssGSEA","nfkb_signaling","voom","sctransform",0.75262400867885,1014
"covid_lung","ssGSEA","toll_like_receptor","voom","sctransform",0.72911187989546,1014
"covid_lung","ssGSEA","tgfb_signaling","voom","sctransform",0.697292437361722,1014
"covid_lung","ssGSEA","oxidative_stress","voom","sctransform",0.719263691576935,1014
"covid_lung","ssGSEA","ecm_remodeling","voom","sctransform",0.789718438910769,1014
"covid_lung","ssGSEA","raas","voom","sctransform",0.481615427000226,1014
"covid_lung","ssGSEA","interferon_signaling","scran","sctransform",0.669302524205758,1014
"covid_lung","ssGSEA","jak_stat","scran","sctransform",0.756741110427013,1014
"covid_lung","ssGSEA","insulin_signaling","scran","sctransform",0.554945932567358,1014
"covid_lung","ssGSEA","glucose_metabolism","scran","sctransform",0.388676122869539,1014
"covid_lung","ssGSEA","nfkb_signaling","scran","sctransform",0.75262400867885,1014
"covid_lung","ssGSEA","toll_like_receptor","scran","sctransform",0.72911187989546,1014
"covid_lung","ssGSEA","tgfb_signaling","scran","sctransform",0.697292437361722,1014
"covid_lung","ssGSEA","oxidative_stress","scran","sctransform",0.719263691576935,1014
"covid_lung","ssGSEA","ecm_remodeling","scran","sctransform",0.789718438910769,1014
"covid_lung","ssGSEA","raas","scran","sctransform",0.481615427000226,1014
"covid_lung","GSVA","interferon_signaling","log2CPM","voom",0.737916232879063,1014
"covid_lung","GSVA","jak_stat","log2CPM","voom",0.817362574634224,1014
"covid_lung","GSVA","insulin_signaling","log2CPM","voom",0.702315199287451,1014
"covid_lung","GSVA","glucose_metabolism","log2CPM","voom",0.612368719572943,1014
"covid_lung","GSVA","nfkb_signaling","log2CPM","voom",0.728896312838224,1014
"covid_lung","GSVA","toll_like_receptor","log2CPM","voom",0.756772209908494,1014
"covid_lung","GSVA","tgfb_signaling","log2CPM","voom",0.494198021689702,1014
"covid_lung","GSVA","oxidative_stress","log2CPM","voom",0.877154792230689,1014
"covid_lung","GSVA","ecm_remodeling","log2CPM","voom",0.802386482360612,1014
"covid_lung","GSVA","raas","log2CPM","voom",0.600242177716445,1014
"covid_lung","GSVA","interferon_signaling","log2CPM","scran",0.806334861940372,1014
"covid_lung","GSVA","jak_stat","log2CPM","scran",0.840962592255728,1014
"covid_lung","GSVA","insulin_signaling","log2CPM","scran",0.728601339665987,1014
"covid_lung","GSVA","glucose_metabolism","log2CPM","scran",0.661185432931514,1014
"covid_lung","GSVA","nfkb_signaling","log2CPM","scran",0.79500631758573,1014
"covid_lung","GSVA","toll_like_receptor","log2CPM","scran",0.781455944324332,1014
"covid_lung","GSVA","tgfb_signaling","log2CPM","scran",0.581572682477891,1014
"covid_lung","GSVA","oxidative_stress","log2CPM","scran",0.892862458946339,1014
"covid_lung","GSVA","ecm_remodeling","log2CPM","scran",0.892112768078005,1014
"covid_lung","GSVA","raas","log2CPM","scran",0.61681183642582,1014
"covid_lung","GSVA","interferon_signaling","log2CPM","sctransform",0.949851533642097,1014
"covid_lung","GSVA","jak_stat","log2CPM","sctransform",0.964925827535247,1014
"covid_lung","GSVA","insulin_signaling","log2CPM","sctransform",0.963252670827671,1014
"covid_lung","GSVA","glucose_metabolism","log2CPM","sctransform",0.98454436339019,1014
"covid_lung","GSVA","nfkb_signaling","log2CPM","sctransform",0.991432323048108,1014
"covid_lung","GSVA","toll_like_receptor","log2CPM","sctransform",0.965471530205846,1014
"covid_lung","GSVA","tgfb_signaling","log2CPM","sctransform",0.909192943997252,1014
"covid_lung","GSVA","oxidative_stress","log2CPM","sctransform",0.987822274059807,1014
"covid_lung","GSVA","ecm_remodeling","log2CPM","sctransform",0.973397673886544,1014
"covid_lung","GSVA","raas","log2CPM","sctransform",0.967660302965002,1014
"covid_lung","GSVA","interferon_signaling","voom","scran",0.968391117760195,1014
"covid_lung","GSVA","jak_stat","voom","scran",0.984629374778131,1014
"covid_lung","GSVA","insulin_signaling","voom","scran",0.961339028344352,1014
"covid_lung","GSVA","glucose_metabolism","voom","scran",0.97772236640006,1014
"covid_lung","GSVA","nfkb_signaling","voom","scran",0.96706526928862,1014
"covid_lung","GSVA","toll_like_receptor","voom","scran",0.986659623052301,1014
"covid_lung","GSVA","tgfb_signaling","voom","scran",0.946545216784363,1014
"covid_lung","GSVA","oxidative_stress","voom","scran",0.976075636194882,1014
"covid_lung","GSVA","ecm_remodeling","voom","scran",0.941629254299292,1014
"covid_lung","GSVA","raas","voom","scran",0.973658163695896,1014
"covid_lung","GSVA","interferon_signaling","voom","sctransform",0.785280720154418,1014
"covid_lung","GSVA","jak_stat","voom","sctransform",0.845903277792694,1014
"covid_lung","GSVA","insulin_signaling","voom","sctransform",0.700230843440209,1014
"covid_lung","GSVA","glucose_metabolism","voom","sctransform",0.652279989368397,1014
"covid_lung","GSVA","nfkb_signaling","voom","sctransform",0.768213216525737,1014
"covid_lung","GSVA","toll_like_receptor","voom","sctransform",0.808867029603294,1014
"covid_lung","GSVA","tgfb_signaling","voom","sctransform",0.588583566807243,1014
"covid_lung","GSVA","oxidative_stress","voom","sctransform",0.852526189760185,1014
"covid_lung","GSVA","ecm_remodeling","voom","sctransform",0.733994153193893,1014
"covid_lung","GSVA","raas","voom","sctransform",0.582559348632755,1014
"covid_lung","GSVA","interferon_signaling","scran","sctransform",0.792997937932882,1014
"covid_lung","GSVA","jak_stat","scran","sctransform",0.842753275538212,1014
"covid_lung","GSVA","insulin_signaling","scran","sctransform",0.70821904796626,1014
"covid_lung","GSVA","glucose_metabolism","scran","sctransform",0.687030586806183,1014
"covid_lung","GSVA","nfkb_signaling","scran","sctransform",0.81340091274446,1014
"covid_lung","GSVA","toll_like_receptor","scran","sctransform",0.805274061159225,1014
"covid_lung","GSVA","tgfb_signaling","scran","sctransform",0.580331454061033,1014
"covid_lung","GSVA","oxidative_stress","scran","sctransform",0.877325252378997,1014
"covid_lung","GSVA","ecm_remodeling","scran","sctransform",0.872392704271123,1014
"covid_lung","GSVA","raas","scran","sctransform",0.60868919742764,1014
"covid_lung","zscore","interferon_signaling","log2CPM","voom",0.64307042234149,1014
"covid_lung","zscore","jak_stat","log2CPM","voom",0.637107367247901,1014
"covid_lung","zscore","insulin_signaling","log2CPM","voom",0.621897004490923,1014
"covid_lung","zscore","glucose_metabolism","log2CPM","voom",0.623893344892242,1014
"covid_lung","zscore","nfkb_signaling","log2CPM","voom",0.728957452899522,1014
"covid_lung","zscore","toll_like_receptor","log2CPM","voom",0.727812170181266,1014
"covid_lung","zscore","tgfb_signaling","log2CPM","voom",0.696894877335882,1014
