"dataset","method","normalization","pathway","cell_type","p_value","cohens_d","mean_disease","mean_control","expected_direction","observed_direction","direction_correct","n_disease","n_control"
"dcm_heart","ssGSEA","log2CPM","nfkb_signaling","cardiac muscle cell",0.845513498351046,-0.184018344261567,2.076463086559,2.08236838297362,"UP","DOWN",FALSE,52,18
"dcm_heart","ssGSEA","log2CPM","nfkb_signaling","mural cell",0.000725991785534499,-1.11463939202828,2.08792912311958,2.14335506665987,"UP","DOWN",FALSE,52,18
"dcm_heart","ssGSEA","log2CPM","nfkb_signaling","fibroblast of cardiac tissue",3.66952537115002e-06,-1.38320778495863,2.05375027321079,2.1206122946854,"UP","DOWN",FALSE,52,18
"dcm_heart","ssGSEA","log2CPM","nfkb_signaling","endothelial cell",0.000881588717563353,-1.02732694892577,2.13224474424171,2.18314601509307,"UP","DOWN",FALSE,52,18
"dcm_heart","ssGSEA","log2CPM","nfkb_signaling","myeloid cell",0.0254645128798116,-0.737243159867,2.13355055073997,2.15961808055788,"UP","DOWN",FALSE,51,18
"dcm_heart","ssGSEA","log2CPM","nfkb_signaling","unknown",0.0521684243966202,-0.539017096694307,2.08040927865285,2.10157146599682,"UP","DOWN",FALSE,52,18
"dcm_heart","ssGSEA","log2CPM","nfkb_signaling","lymphocyte",0.560695157491977,-0.0327765709188823,2.17943274844053,2.18026043186235,"UP","DOWN",FALSE,46,16
"dcm_heart","ssGSEA","log2CPM","nfkb_signaling","cardiac neuron",3.5059505758218e-05,-1.30614331032829,2.05002969792252,2.10606457923563,"UP","DOWN",FALSE,40,18
"dcm_heart","ssGSEA","log2CPM","nfkb_signaling","mast cell",0.533333333333333,-0.29227063618678,2.09764703932814,2.10739564160966,"UP","DOWN",FALSE,2,8
"dcm_heart","ssGSEA","log2CPM","nfkb_signaling","adipocyte",0.393048128342246,-0.563765606287679,2.08306073569308,2.11005160330719,"UP","DOWN",FALSE,10,10
"dcm_heart","ssGSEA","log2CPM","tgfb_signaling","cardiac muscle cell",0.0261530133179785,0.644477746812616,2.03850211199464,2.02150621377468,"UP","UP",TRUE,52,18
"dcm_heart","ssGSEA","log2CPM","tgfb_signaling","mural cell",0.310323702944182,0.364254225509228,2.11406452057705,2.10641349297396,"UP","UP",TRUE,52,18
"dcm_heart","ssGSEA","log2CPM","tgfb_signaling","fibroblast of cardiac tissue",0.447716434547305,0.271356527148082,2.13781211702838,2.13276266206708,"UP","UP",TRUE,52,18
"dcm_heart","ssGSEA","log2CPM","tgfb_signaling","endothelial cell",0.156286336730869,0.364265694532018,2.12531933400729,2.11830942443791,"UP","UP",TRUE,52,18
