"dataset","method","normalization","pathway","threshold_pct","n_genes_total","n_genes_remaining","pct_genes_remaining"
"dcm_heart","ssGSEA","log2CPM","interferon_signaling",10,271,258,95.2029520295203
"dcm_heart","ssGSEA","log2CPM","jak_stat",10,473,463,97.8858350951374
"dcm_heart","ssGSEA","log2CPM","insulin_signaling",10,82,78,95.1219512195122
"dcm_heart","ssGSEA","log2CPM","glucose_metabolism",10,85,83,97.6470588235294
"dcm_heart","ssGSEA","log2CPM","nfkb_signaling",10,54,54,100
"dcm_heart","ssGSEA","log2CPM","toll_like_receptor",10,170,166,97.6470588235294
"dcm_heart","ssGSEA","log2CPM","tgfb_signaling",10,96,95,98.9583333333333
"dcm_heart","ssGSEA","log2CPM","oxidative_stress",10,37,34,91.8918918918919
"dcm_heart","ssGSEA","log2CPM","ecm_remodeling",10,300,299,99.6666666666667
"dcm_heart","ssGSEA","log2CPM","raas",10,16,16,100
"dcm_heart","ssGSEA","voom","interferon_signaling",10,271,258,95.2029520295203
"dcm_heart","ssGSEA","voom","jak_stat",10,473,463,97.8858350951374
"dcm_heart","ssGSEA","voom","insulin_signaling",10,82,78,95.1219512195122
"dcm_heart","ssGSEA","voom","glucose_metabolism",10,85,83,97.6470588235294
"dcm_heart","ssGSEA","voom","nfkb_signaling",10,54,54,100
"dcm_heart","ssGSEA","voom","toll_like_receptor",10,170,166,97.6470588235294
"dcm_heart","ssGSEA","voom","tgfb_signaling",10,96,95,98.9583333333333
"dcm_heart","ssGSEA","voom","oxidative_stress",10,37,34,91.8918918918919
"dcm_heart","ssGSEA","voom","ecm_remodeling",10,300,299,99.6666666666667
"dcm_heart","ssGSEA","voom","raas",10,16,16,100
"dcm_heart","ssGSEA","scran","interferon_signaling",10,271,258,95.2029520295203
"dcm_heart","ssGSEA","scran","jak_stat",10,473,463,97.8858350951374
"dcm_heart","ssGSEA","scran","insulin_signaling",10,82,78,95.1219512195122
"dcm_heart","ssGSEA","scran","glucose_metabolism",10,85,83,97.6470588235294
"dcm_heart","ssGSEA","scran","nfkb_signaling",10,54,54,100
"dcm_heart","ssGSEA","scran","toll_like_receptor",10,170,166,97.6470588235294
"dcm_heart","ssGSEA","scran","tgfb_signaling",10,96,95,98.9583333333333
"dcm_heart","ssGSEA","scran","oxidative_stress",10,37,34,91.8918918918919
"dcm_heart","ssGSEA","scran","ecm_remodeling",10,300,299,99.6666666666667
"dcm_heart","ssGSEA","scran","raas",10,16,16,100
"dcm_heart","ssGSEA","sctransform","interferon_signaling",10,271,258,95.2029520295203
"dcm_heart","ssGSEA","sctransform","jak_stat",10,473,463,97.8858350951374
"dcm_heart","ssGSEA","sctransform","insulin_signaling",10,82,78,95.1219512195122
"dcm_heart","ssGSEA","sctransform","glucose_metabolism",10,85,83,97.6470588235294
"dcm_heart","ssGSEA","sctransform","nfkb_signaling",10,54,54,100
"dcm_heart","ssGSEA","sctransform","toll_like_receptor",10,170,166,97.6470588235294
"dcm_heart","ssGSEA","sctransform","tgfb_signaling",10,96,95,98.9583333333333
"dcm_heart","ssGSEA","sctransform","oxidative_stress",10,37,34,91.8918918918919
"dcm_heart","ssGSEA","sctransform","ecm_remodeling",10,300,299,99.6666666666667
"dcm_heart","ssGSEA","sctransform","raas",10,16,16,100
"dcm_heart","GSVA","log2CPM","interferon_signaling",10,271,258,95.2029520295203
"dcm_heart","GSVA","log2CPM","jak_stat",10,473,463,97.8858350951374
"dcm_heart","GSVA","log2CPM","insulin_signaling",10,82,78,95.1219512195122
"dcm_heart","GSVA","log2CPM","glucose_metabolism",10,85,83,97.6470588235294
"dcm_heart","GSVA","log2CPM","nfkb_signaling",10,54,54,100
