"dataset","method","normalization","pathway","cor_with_cell_count","variance_ratio","n_outlier_samples","median_cell_count"
"dcm_heart","ssGSEA","log2CPM","interferon_signaling",-0.492864773994575,0.371864704958528,119,661
"dcm_heart","ssGSEA","log2CPM","jak_stat",-0.707068672603494,0.511094614784989,119,661
"dcm_heart","ssGSEA","log2CPM","insulin_signaling",-0.861890283485636,1.16895221586272,119,661
"dcm_heart","ssGSEA","log2CPM","glucose_metabolism",-0.684403026635101,0.704033725070141,119,661
"dcm_heart","ssGSEA","log2CPM","nfkb_signaling",-0.145775571910621,1.49490508909186,119,661
"dcm_heart","ssGSEA","log2CPM","toll_like_receptor",-0.6288657174809,0.453610034049275,119,661
"dcm_heart","ssGSEA","log2CPM","tgfb_signaling",-0.356038801477036,0.473894780867133,119,661
"dcm_heart","ssGSEA","log2CPM","oxidative_stress",-0.620637607294698,0.77653389589915,119,661
"dcm_heart","ssGSEA","log2CPM","ecm_remodeling",-0.353549741881147,0.833956180954693,119,661
"dcm_heart","ssGSEA","log2CPM","raas",-0.261032235052073,0.455209235779207,119,661
"dcm_heart","ssGSEA","voom","interferon_signaling",-0.197475621566911,0.564476973876198,119,661
"dcm_heart","ssGSEA","voom","jak_stat",-0.276845459761683,0.874264924938721,119,661
"dcm_heart","ssGSEA","voom","insulin_signaling",-0.0753152395185702,1.92282712359202,119,661
"dcm_heart","ssGSEA","voom","glucose_metabolism",-0.151550091160481,1.32317455017517,119,661
"dcm_heart","ssGSEA","voom","nfkb_signaling",-0.0446604489793079,1.2982411984144,119,661
"dcm_heart","ssGSEA","voom","toll_like_receptor",-0.267435875172287,0.843995464247879,119,661
"dcm_heart","ssGSEA","voom","tgfb_signaling",0.0319539075487784,0.557014964293959,119,661
"dcm_heart","ssGSEA","voom","oxidative_stress",-0.269061929192396,0.875662539667321,119,661
"dcm_heart","ssGSEA","voom","ecm_remodeling",0.0258264604799518,1.06543183408039,119,661
"dcm_heart","ssGSEA","voom","raas",0.0413471420306513,0.326266139212224,119,661
"dcm_heart","ssGSEA","scran","interferon_signaling",-0.197475621566911,0.564476973876198,119,661
"dcm_heart","ssGSEA","scran","jak_stat",-0.276845459761683,0.874264924938721,119,661
"dcm_heart","ssGSEA","scran","insulin_signaling",-0.0753152395185702,1.92282712359202,119,661
"dcm_heart","ssGSEA","scran","glucose_metabolism",-0.151550091160481,1.32317455017517,119,661
"dcm_heart","ssGSEA","scran","nfkb_signaling",-0.0446604489793079,1.2982411984144,119,661
"dcm_heart","ssGSEA","scran","toll_like_receptor",-0.267435875172287,0.843995464247879,119,661
"dcm_heart","ssGSEA","scran","tgfb_signaling",0.0319539075487784,0.557014964293959,119,661
"dcm_heart","ssGSEA","scran","oxidative_stress",-0.269061929192396,0.875662539667321,119,661
"dcm_heart","ssGSEA","scran","ecm_remodeling",0.0258264604799518,1.06543183408039,119,661
"dcm_heart","ssGSEA","scran","raas",0.0413471420306513,0.326266139212224,119,661
"dcm_heart","ssGSEA","sctransform","interferon_signaling",0.0667026086761555,0.397982658458626,119,661
"dcm_heart","ssGSEA","sctransform","jak_stat",0.0119983733271898,0.650632802589544,119,661
"dcm_heart","ssGSEA","sctransform","insulin_signaling",-0.0574985078085995,0.482725241524707,119,661
"dcm_heart","ssGSEA","sctransform","glucose_metabolism",-0.113075975693031,0.547162732952903,119,661
"dcm_heart","ssGSEA","sctransform","nfkb_signaling",-0.100705165155627,0.453622677249769,119,661
"dcm_heart","ssGSEA","sctransform","toll_like_receptor",-0.0726065934188535,0.492020533613766,119,661
"dcm_heart","ssGSEA","sctransform","tgfb_signaling",0.115607832183912,0.242741915838178,119,661
"dcm_heart","ssGSEA","sctransform","oxidative_stress",-0.108321449107122,0.453928087745875,119,661
"dcm_heart","ssGSEA","sctransform","ecm_remodeling",-0.064381968215729,0.786916394558412,119,661
"dcm_heart","ssGSEA","sctransform","raas",0.096380985124905,0.730126187907608,119,661
"dcm_heart","GSVA","log2CPM","interferon_signaling",-0.395045663376272,0.383274373434049,119,661
"dcm_heart","GSVA","log2CPM","jak_stat",-0.484897614130038,0.555732899570812,119,661
"dcm_heart","GSVA","log2CPM","insulin_signaling",-0.52628595712885,0.661406933651687,119,661
"dcm_heart","GSVA","log2CPM","glucose_metabolism",-0.568736470857834,0.451708955512446,119,661
"dcm_heart","GSVA","log2CPM","nfkb_signaling",-0.29057104932804,0.511250732979917,119,661
"dcm_heart","GSVA","log2CPM","toll_like_receptor",-0.494757575784833,0.488417542464257,119,661
"dcm_heart","GSVA","log2CPM","tgfb_signaling",-0.513658658350918,0.376911812653263,119,661
"dcm_heart","GSVA","log2CPM","oxidative_stress",-0.301167352080214,0.747402515454907,119,661
"dcm_heart","GSVA","log2CPM","ecm_remodeling",-0.136811837165617,1.0313909018684,119,661
"dcm_heart","GSVA","log2CPM","raas",0.0145951742690686,0.817707352013112,119,661
"dcm_heart","GSVA","voom","interferon_signaling",-0.136732887642437,0.406079445257537,119,661
"dcm_heart","GSVA","voom","jak_stat",-0.244655941300907,0.657385311341212,119,661
"dcm_heart","GSVA","voom","insulin_signaling",-0.040384863292061,0.924229001427638,119,661
"dcm_heart","GSVA","voom","glucose_metabolism",-0.0866061938509324,0.545392728167184,119,661
"dcm_heart","GSVA","voom","nfkb_signaling",0.218750238168358,0.506090177877036,119,661
"dcm_heart","GSVA","voom","toll_like_receptor",-0.224452354452035,0.740756345979769,119,661
"dcm_heart","GSVA","voom","tgfb_signaling",0.113892047992037,0.581575495951143,119,661
"dcm_heart","GSVA","voom","oxidative_stress",-0.122185591178267,0.805996302996653,119,661
"dcm_heart","GSVA","voom","ecm_remodeling",-0.0205132943636891,0.665940359442738,119,661
"dcm_heart","GSVA","voom","raas",0.027546446193481,0.498360032597992,119,661
"dcm_heart","GSVA","scran","interferon_signaling",-0.209015019365781,0.418195456264491,119,661
"dcm_heart","GSVA","scran","jak_stat",-0.302210469398231,0.745127282104291,119,661
"dcm_heart","GSVA","scran","insulin_signaling",-0.191040746878739,0.793098324434913,119,661
"dcm_heart","GSVA","scran","glucose_metabolism",-0.203356351375801,0.510752216354994,119,661
"dcm_heart","GSVA","scran","nfkb_signaling",0.116718825247105,0.527214579143658,119,661
"dcm_heart","GSVA","scran","toll_like_receptor",-0.312132248790236,0.770534474727106,119,661
"dcm_heart","GSVA","scran","tgfb_signaling",-0.111951466106686,0.52976404294452,119,661
"dcm_heart","GSVA","scran","oxidative_stress",-0.125444766894447,0.75156711871193,119,661
"dcm_heart","GSVA","scran","ecm_remodeling",-0.049115267020539,0.729166615491877,119,661
"dcm_heart","GSVA","scran","raas",0.116183440650559,0.549951353936117,119,661
"dcm_heart","GSVA","sctransform","interferon_signaling",0.0752060650954273,0.524864724161835,119,661
"dcm_heart","GSVA","sctransform","jak_stat",0.146273566221437,0.976730830162685,119,661
"dcm_heart","GSVA","sctransform","insulin_signaling",-0.229579448527899,0.919134432477918,119,661
"dcm_heart","GSVA","sctransform","glucose_metabolism",-0.124361393136392,0.630176578741936,119,661
"dcm_heart","GSVA","sctransform","nfkb_signaling",-0.0349464657745499,0.633850618038536,119,661
"dcm_heart","GSVA","sctransform","toll_like_receptor",-0.0380396976703497,0.757229868297077,119,661
"dcm_heart","GSVA","sctransform","tgfb_signaling",0.0138312464364866,0.395625841602598,119,661
"dcm_heart","GSVA","sctransform","oxidative_stress",-0.019477081871956,0.788100903506535,119,661
"dcm_heart","GSVA","sctransform","ecm_remodeling",0.0121325940305823,1.03208508890879,119,661
"dcm_heart","GSVA","sctransform","raas",0.149853099821277,0.753748992310382,119,661
"dcm_heart","zscore","log2CPM","interferon_signaling",-0.0113353471541831,0.924700645124188,119,661
"dcm_heart","zscore","log2CPM","jak_stat",-0.0778944201254489,1.2350248087229,119,661
"dcm_heart","zscore","log2CPM","insulin_signaling",0.0667035532042794,3.17103459529301,119,661
"dcm_heart","zscore","log2CPM","glucose_metabolism",-0.048350492369639,2.46652381101591,119,661
"dcm_heart","zscore","log2CPM","nfkb_signaling",0.0355386849082033,2.16449952551689,119,661
"dcm_heart","zscore","log2CPM","toll_like_receptor",-0.0918419412309748,1.2613711707665,119,661
"dcm_heart","zscore","log2CPM","tgfb_signaling",0.0679088688001167,1.12193858063851,119,661
"dcm_heart","zscore","log2CPM","oxidative_stress",0.0907503924191584,2.62933159056112,119,661
"dcm_heart","zscore","log2CPM","ecm_remodeling",0.193196192627298,1.52030946274915,119,661
"dcm_heart","zscore","log2CPM","raas",0.253554275615818,1.64208159519858,119,661
"dcm_heart","zscore","voom","interferon_signaling",-0.0461543016320134,0.370957439709693,119,661
"dcm_heart","zscore","voom","jak_stat",-0.145566310076285,0.581418687927447,119,661
"dcm_heart","zscore","voom","insulin_signaling",0.110303915929276,2.18612646660402,119,661
"dcm_heart","zscore","voom","glucose_metabolism",0.143170889044398,1.66442794536355,119,661
"dcm_heart","zscore","voom","nfkb_signaling",0.352246423349976,0.852257735085819,119,661
"dcm_heart","zscore","voom","toll_like_receptor",-0.128019908829347,0.832703117930859,119,661
