"dataset","method","pathway","norm1","norm2","spearman_cor","n_samples"
"dcm_heart","ssGSEA","interferon_signaling","log2CPM","voom",0.926973179377812,569
"dcm_heart","ssGSEA","jak_stat","log2CPM","voom",0.830873288942796,569
"dcm_heart","ssGSEA","insulin_signaling","log2CPM","voom",0.29637432401271,569
"dcm_heart","ssGSEA","glucose_metabolism","log2CPM","voom",0.749969905456232,569
"dcm_heart","ssGSEA","nfkb_signaling","log2CPM","voom",0.980673375187765,569
"dcm_heart","ssGSEA","toll_like_receptor","log2CPM","voom",0.872906572726527,569
"dcm_heart","ssGSEA","tgfb_signaling","log2CPM","voom",0.867794082969745,569
"dcm_heart","ssGSEA","oxidative_stress","log2CPM","voom",0.83990849174224,569
"dcm_heart","ssGSEA","ecm_remodeling","log2CPM","voom",0.906751925855382,569
"dcm_heart","ssGSEA","raas","log2CPM","voom",0.849298119677272,569
"dcm_heart","ssGSEA","interferon_signaling","log2CPM","scran",0.926973179377812,569
"dcm_heart","ssGSEA","jak_stat","log2CPM","scran",0.830873288942796,569
"dcm_heart","ssGSEA","insulin_signaling","log2CPM","scran",0.29637432401271,569
"dcm_heart","ssGSEA","glucose_metabolism","log2CPM","scran",0.749969905456232,569
"dcm_heart","ssGSEA","nfkb_signaling","log2CPM","scran",0.980673375187765,569
"dcm_heart","ssGSEA","toll_like_receptor","log2CPM","scran",0.872906572726527,569
"dcm_heart","ssGSEA","tgfb_signaling","log2CPM","scran",0.867794082969745,569
"dcm_heart","ssGSEA","oxidative_stress","log2CPM","scran",0.83990849174224,569
"dcm_heart","ssGSEA","ecm_remodeling","log2CPM","scran",0.906751925855382,569
"dcm_heart","ssGSEA","raas","log2CPM","scran",0.849298119677272,569
"dcm_heart","ssGSEA","interferon_signaling","log2CPM","sctransform",0.70949482855881,569
"dcm_heart","ssGSEA","jak_stat","log2CPM","sctransform",0.558019674796536,569
"dcm_heart","ssGSEA","insulin_signaling","log2CPM","sctransform",0.245604828676062,569
"dcm_heart","ssGSEA","glucose_metabolism","log2CPM","sctransform",0.356731211429152,569
"dcm_heart","ssGSEA","nfkb_signaling","log2CPM","sctransform",0.783994327634478,569
