"dataset","method","normalization","pathway","sample_fraction","n_subsampled","n_total","mean_rank_cor","sd_rank_cor","full_effect","mean_sub_effect","sd_sub_effect"
"dcm_heart","ssGSEA","log2CPM","interferon_signaling",0.3,171,569,0.897939393939394,0.0679127929665029,0.0257484620734349,0.00847461068266953,0.159272289549553
"dcm_heart","ssGSEA","log2CPM","jak_stat",0.3,171,569,0.897939393939394,0.0679127929665029,-0.145128694993393,-0.138523433244395,0.166224742378876
"dcm_heart","ssGSEA","log2CPM","insulin_signaling",0.3,171,569,0.897939393939394,0.0679127929665029,-0.130959927259686,-0.15322700689881,0.147105162095071
"dcm_heart","ssGSEA","log2CPM","glucose_metabolism",0.3,171,569,0.897939393939394,0.0679127929665029,-0.299675399351653,-0.284432703978925,0.135543187854036
"dcm_heart","ssGSEA","log2CPM","nfkb_signaling",0.3,171,569,0.897939393939394,0.0679127929665029,-0.582146958411241,-0.599801886704584,0.139771312949461
"dcm_heart","ssGSEA","log2CPM","toll_like_receptor",0.3,171,569,0.897939393939394,0.0679127929665029,-0.0041786362807919,0.0259896919668028,0.152583778119184
"dcm_heart","ssGSEA","log2CPM","tgfb_signaling",0.3,171,569,0.897939393939394,0.0679127929665029,0.190218974014978,0.179012573582783,0.111527957069903
"dcm_heart","ssGSEA","log2CPM","oxidative_stress",0.3,171,569,0.897939393939394,0.0679127929665029,-0.355802865051714,-0.33066835562123,0.129977165194653
"dcm_heart","ssGSEA","log2CPM","ecm_remodeling",0.3,171,569,0.897939393939394,0.0679127929665029,-0.0909579959625135,-0.107021011877548,0.136590881604726
"dcm_heart","ssGSEA","log2CPM","raas",0.3,171,569,0.897939393939394,0.0679127929665029,-0.295350970715431,-0.30837414213926,0.145499816312969
"dcm_heart","ssGSEA","log2CPM","interferon_signaling",0.5,284,569,0.952727272727273,0.0357608249836595,0.0257484620734349,0.0426706150868313,0.0835674946689792
"dcm_heart","ssGSEA","log2CPM","jak_stat",0.5,284,569,0.952727272727273,0.0357608249836595,-0.145128694993393,-0.179274014524251,0.101339828786504
"dcm_heart","ssGSEA","log2CPM","insulin_signaling",0.5,284,569,0.952727272727273,0.0357608249836595,-0.130959927259686,-0.123290267915137,0.0723763672100432
"dcm_heart","ssGSEA","log2CPM","glucose_metabolism",0.5,284,569,0.952727272727273,0.0357608249836595,-0.299675399351653,-0.271545192338962,0.0985535866632206
"dcm_heart","ssGSEA","log2CPM","nfkb_signaling",0.5,284,569,0.952727272727273,0.0357608249836595,-0.582146958411241,-0.587475377121912,0.0978949687895766
"dcm_heart","ssGSEA","log2CPM","toll_like_receptor",0.5,284,569,0.952727272727273,0.0357608249836595,-0.0041786362807919,-0.00847406741220584,0.0797384795377453
"dcm_heart","ssGSEA","log2CPM","tgfb_signaling",0.5,284,569,0.952727272727273,0.0357608249836595,0.190218974014978,0.203272920339395,0.104981414477824
"dcm_heart","ssGSEA","log2CPM","oxidative_stress",0.5,284,569,0.952727272727273,0.0357608249836595,-0.355802865051714,-0.358295546154474,0.082887677948954
"dcm_heart","ssGSEA","log2CPM","ecm_remodeling",0.5,284,569,0.952727272727273,0.0357608249836595,-0.0909579959625135,-0.07727684557285,0.0972274803819333
"dcm_heart","ssGSEA","log2CPM","raas",0.5,284,569,0.952727272727273,0.0357608249836595,-0.295350970715431,-0.303304011217388,0.10104338635703
"dcm_heart","ssGSEA","log2CPM","interferon_signaling",0.7,398,569,0.96969696969697,0.027296766702051,0.0257484620734349,0.0273099882021642,0.0443384805020062
"dcm_heart","ssGSEA","log2CPM","jak_stat",0.7,398,569,0.96969696969697,0.027296766702051,-0.145128694993393,-0.141162027260078,0.0601497768133307
"dcm_heart","ssGSEA","log2CPM","insulin_signaling",0.7,398,569,0.96969696969697,0.027296766702051,-0.130959927259686,-0.128457863514417,0.0660416125092385
"dcm_heart","ssGSEA","log2CPM","glucose_metabolism",0.7,398,569,0.96969696969697,0.027296766702051,-0.299675399351653,-0.28460214199447,0.0612957599312649
"dcm_heart","ssGSEA","log2CPM","nfkb_signaling",0.7,398,569,0.96969696969697,0.027296766702051,-0.582146958411241,-0.585017579117988,0.0618841534513495
"dcm_heart","ssGSEA","log2CPM","toll_like_receptor",0.7,398,569,0.96969696969697,0.027296766702051,-0.0041786362807919,0.0079409226608219,0.0629503690540874
"dcm_heart","ssGSEA","log2CPM","tgfb_signaling",0.7,398,569,0.96969696969697,0.027296766702051,0.190218974014978,0.172819819298964,0.0590248152717941
"dcm_heart","ssGSEA","log2CPM","oxidative_stress",0.7,398,569,0.96969696969697,0.027296766702051,-0.355802865051714,-0.349987827942385,0.0592083415072858
"dcm_heart","ssGSEA","log2CPM","ecm_remodeling",0.7,398,569,0.96969696969697,0.027296766702051,-0.0909579959625135,-0.0912088355930997,0.0647420549295169
"dcm_heart","ssGSEA","log2CPM","raas",0.7,398,569,0.96969696969697,0.027296766702051,-0.295350970715431,-0.296020642356208,0.0639490532052945
"dcm_heart","ssGSEA","log2CPM","interferon_signaling",0.9,512,569,0.985212121212121,0.0141292759403119,0.0257484620734349,0.0219017254392402,0.0343242462983872
"dcm_heart","ssGSEA","log2CPM","jak_stat",0.9,512,569,0.985212121212121,0.0141292759403119,-0.145128694993393,-0.143611264034482,0.0381151759288025
"dcm_heart","ssGSEA","log2CPM","insulin_signaling",0.9,512,569,0.985212121212121,0.0141292759403119,-0.130959927259686,-0.133547291774203,0.0266421428959557
"dcm_heart","ssGSEA","log2CPM","glucose_metabolism",0.9,512,569,0.985212121212121,0.0141292759403119,-0.299675399351653,-0.303515009769723,0.0357088835177607
"dcm_heart","ssGSEA","log2CPM","nfkb_signaling",0.9,512,569,0.985212121212121,0.0141292759403119,-0.582146958411241,-0.574549690739031,0.0308232757129629
"dcm_heart","ssGSEA","log2CPM","toll_like_receptor",0.9,512,569,0.985212121212121,0.0141292759403119,-0.0041786362807919,-0.00810511081603219,0.037080870735243
"dcm_heart","ssGSEA","log2CPM","tgfb_signaling",0.9,512,569,0.985212121212121,0.0141292759403119,0.190218974014978,0.190721798222169,0.0269892008658222
"dcm_heart","ssGSEA","log2CPM","oxidative_stress",0.9,512,569,0.985212121212121,0.0141292759403119,-0.355802865051714,-0.35935717398506,0.0271857821595903
"dcm_heart","ssGSEA","log2CPM","ecm_remodeling",0.9,512,569,0.985212121212121,0.0141292759403119,-0.0909579959625135,-0.0939213736901192,0.0267965613932018
"dcm_heart","ssGSEA","log2CPM","raas",0.9,512,569,0.985212121212121,0.0141292759403119,-0.295350970715431,-0.292158603061241,0.0285037050873122
"dcm_heart","ssGSEA","voom","interferon_signaling",0.3,171,569,0.900848484848485,0.0764140756745044,0.0131204873631226,0.0160001148610695,0.153531586515877
"dcm_heart","ssGSEA","voom","jak_stat",0.3,171,569,0.900848484848485,0.0764140756745044,-0.0945723578704324,-0.0794483690297337,0.115241652932936
