"dataset","method","normalization","pathway","cell_type","p_value","cohens_d","mean_disease","mean_control","expected_direction","observed_direction","direction_correct","n_disease","n_control"
"ipf_lung","ssGSEA","log2CPM","nfkb_signaling","alveolar macrophage",0.982929043074191,0.0873671576131931,1.91431287479318,1.91035935466844,"UP","UP",TRUE,18,48
"ipf_lung","ssGSEA","log2CPM","nfkb_signaling","unknown",0.62515242581853,0.396495171300397,1.91112510081983,1.89162986132996,"UP","UP",TRUE,20,53
"ipf_lung","ssGSEA","log2CPM","nfkb_signaling","pulmonary alveolar type 2 cell",0.793018971084201,0.267116547196004,1.88967744335232,1.87127827364549,"UP","UP",TRUE,10,38
"ipf_lung","ssGSEA","log2CPM","nfkb_signaling","capillary endothelial cell",0.93319860216412,0.286924402579985,1.91246726259629,1.89164746824456,"UP","UP",TRUE,5,24
"ipf_lung","ssGSEA","log2CPM","nfkb_signaling","alveolar type 1 fibroblast cell",0.153675889328063,1.13836841289385,1.92554128390637,1.83908940059799,"UP","UP",TRUE,4,21
"ipf_lung","ssGSEA","log2CPM","nfkb_signaling","multiciliated columnar cell of tracheobronchial tree",0.00601263719808288,-0.624914206011188,1.8003084682835,1.84346053610991,"UP","DOWN",FALSE,19,50
"ipf_lung","ssGSEA","log2CPM","nfkb_signaling","pulmonary alveolar type 1 cell",0.77960927960928,0.307393560526159,1.87336979558468,1.85153155092041,"UP","UP",TRUE,3,25
"ipf_lung","ssGSEA","log2CPM","nfkb_signaling","CD8-positive, alpha-beta T cell",0.245573996205007,-0.150901440688453,1.91640463266472,1.92410230985685,"UP","DOWN",FALSE,16,43
"ipf_lung","ssGSEA","log2CPM","nfkb_signaling","alveolar adventitial fibroblast",0.617007532214042,0.254924303804768,1.89690205426086,1.87823779668276,"UP","UP",TRUE,10,22
"ipf_lung","ssGSEA","log2CPM","nfkb_signaling","respiratory basal cell",0.48124346576359,-0.107563961507524,1.90648475628428,1.91122812459336,"UP","DOWN",FALSE,6,33
"ipf_lung","ssGSEA","log2CPM","nfkb_signaling","B cell",0.549049017198957,-0.266621894768139,1.89498089999757,1.9134043559944,"UP","DOWN",FALSE,13,27
"ipf_lung","ssGSEA","log2CPM","nfkb_signaling","natural killer cell",0.194533271040626,-0.207273716247193,1.91902532887722,1.92951738955777,"UP","DOWN",FALSE,12,35
"ipf_lung","ssGSEA","log2CPM","nfkb_signaling","elicited macrophage",0.204284140661094,-0.282141682095902,1.92641101848724,1.93810709663424,"UP","DOWN",FALSE,18,36
"ipf_lung","ssGSEA","log2CPM","nfkb_signaling","mast cell",0.756524050574394,0.352960149395799,1.92480865209788,1.90147049012403,"UP","UP",TRUE,7,17
"ipf_lung","ssGSEA","log2CPM","nfkb_signaling","vein endothelial cell",0.0711755674115102,-0.434824350015486,1.90929934610822,1.92792439875658,"UP","DOWN",FALSE,14,20
"ipf_lung","ssGSEA","log2CPM","nfkb_signaling","lung macrophage",0.73202614379085,0.614866238694823,1.96347148021329,1.93281604535667,"UP","UP",TRUE,2,16
"ipf_lung","ssGSEA","log2CPM","nfkb_signaling","classical monocyte",0.648622874358983,-0.0613247810228233,1.91125157927084,1.91458341487475,"UP","DOWN",FALSE,18,42
"ipf_lung","ssGSEA","log2CPM","nfkb_signaling","CD4-positive, alpha-beta T cell",0.100688801410177,-0.465706406101568,1.90834127500384,1.93529616374801,"UP","DOWN",FALSE,15,36
"ipf_lung","ssGSEA","log2CPM","nfkb_signaling","non-classical monocyte",0.28486592471085,-0.387629717674012,1.91364537844922,1.93552103975425,"UP","DOWN",FALSE,11,26
