"dataset","method","normalization","pathway","spearman_cor","rank_correlation","n_samples"
"ipf_lung","ssGSEA","log2CPM","interferon_signaling",0.999994991400153,0.999994991400153,1141
"ipf_lung","ssGSEA","log2CPM","jak_stat",0.9999967444101,0.9999967444101,1141
"ipf_lung","ssGSEA","log2CPM","insulin_signaling",0.999983503934053,0.999983503934053,1141
"ipf_lung","ssGSEA","log2CPM","glucose_metabolism",0.999984497575636,0.999984497575636,1141
"ipf_lung","ssGSEA","log2CPM","nfkb_signaling",0.999982978838908,0.999982978838908,1141
"ipf_lung","ssGSEA","log2CPM","toll_like_receptor",0.999991978161858,0.999991978161858,1141
"ipf_lung","ssGSEA","log2CPM","tgfb_signaling",0.999979238545797,0.999979238545797,1141
"ipf_lung","ssGSEA","log2CPM","oxidative_stress",0.99999043518997,0.99999043518997,1141
"ipf_lung","ssGSEA","log2CPM","ecm_remodeling",0.999996954448158,0.999996954448158,1141
"ipf_lung","ssGSEA","log2CPM","raas",0.99998748657877,0.99998748657877,1141
"ipf_lung","ssGSEA","scran","interferon_signaling",0.878145919740096,0.878145919740096,1141
"ipf_lung","ssGSEA","scran","jak_stat",0.770694617669742,0.770694617669742,1141
"ipf_lung","ssGSEA","scran","insulin_signaling",0.196807607319956,0.196807607319956,1141
"ipf_lung","ssGSEA","scran","glucose_metabolism",0.765469072744177,0.765469072744177,1141
"ipf_lung","ssGSEA","scran","nfkb_signaling",0.962264190878063,0.962264190878063,1141
"ipf_lung","ssGSEA","scran","toll_like_receptor",0.838156224530361,0.838156224530361,1141
"ipf_lung","ssGSEA","scran","tgfb_signaling",0.72619753804698,0.72619753804698,1141
"ipf_lung","ssGSEA","scran","oxidative_stress",0.901267700856366,0.901267700856366,1141
"ipf_lung","ssGSEA","scran","ecm_remodeling",0.79071228671746,0.79071228671746,1141
"ipf_lung","ssGSEA","scran","raas",0.452154719850026,0.452154719850026,1141
"ipf_lung","ssGSEA","sctransform","interferon_signaling",0.9510354108817,0.9510354108817,1141
"ipf_lung","ssGSEA","sctransform","jak_stat",0.966757123057017,0.966757123057017,1141
"ipf_lung","ssGSEA","sctransform","insulin_signaling",0.945621243701585,0.945621243701585,1141
"ipf_lung","ssGSEA","sctransform","glucose_metabolism",0.914046351683362,0.914046351683362,1141
"ipf_lung","ssGSEA","sctransform","nfkb_signaling",0.985348698317409,0.985348698317409,1141
"ipf_lung","ssGSEA","sctransform","toll_like_receptor",0.958915990350852,0.958915990350852,1141
"ipf_lung","ssGSEA","sctransform","tgfb_signaling",0.957398901614053,0.957398901614053,1141
"ipf_lung","ssGSEA","sctransform","oxidative_stress",0.902868950227362,0.902868950227362,1141
"ipf_lung","ssGSEA","sctransform","ecm_remodeling",0.990677816240773,0.990677816240773,1141
"ipf_lung","ssGSEA","sctransform","raas",0.942689233586475,0.942689233586475,1141
"ipf_lung","GSVA","log2CPM","interferon_signaling",0.999999991921613,0.999999991921613,1141
"ipf_lung","GSVA","log2CPM","jak_stat",0.999999975764839,0.999999975764839,1141
"ipf_lung","GSVA","log2CPM","insulin_signaling",0.999999975764839,0.999999975764839,1141
"ipf_lung","GSVA","log2CPM","glucose_metabolism",0.999999975764839,0.999999975764839,1141
"ipf_lung","GSVA","log2CPM","nfkb_signaling",0.999999991921613,0.999999991921613,1141
"ipf_lung","GSVA","log2CPM","toll_like_receptor",0.999999991921613,0.999999991921613,1141
"ipf_lung","GSVA","log2CPM","tgfb_signaling",1,1,1141
"ipf_lung","GSVA","log2CPM","oxidative_stress",1,1,1141
"ipf_lung","GSVA","log2CPM","ecm_remodeling",0.999999991921613,0.999999991921613,1141
"ipf_lung","GSVA","log2CPM","raas",1,1,1141
"ipf_lung","GSVA","scran","interferon_signaling",-0.135737563585993,-0.135737563585993,1141
"ipf_lung","GSVA","scran","jak_stat",-0.0467060337229028,-0.0467060337229028,1141
"ipf_lung","GSVA","scran","insulin_signaling",0.318462749225303,0.318462749225303,1141
"ipf_lung","GSVA","scran","glucose_metabolism",0.207741784704689,0.207741784704689,1141
"ipf_lung","GSVA","scran","nfkb_signaling",0.157111529158655,0.157111529158655,1141
"ipf_lung","GSVA","scran","toll_like_receptor",0.0767848812020704,0.0767848812020704,1141
"ipf_lung","GSVA","scran","tgfb_signaling",0.144161568060126,0.144161568060126,1141
"ipf_lung","GSVA","scran","oxidative_stress",0.400400599125482,0.400400599125482,1141
"ipf_lung","GSVA","scran","ecm_remodeling",0.418807082386378,0.418807082386378,1141
"ipf_lung","GSVA","scran","raas",0.160512958176818,0.160512958176818,1141
"ipf_lung","GSVA","sctransform","interferon_signaling",0.954406150108222,0.954406150108222,1141
"ipf_lung","GSVA","sctransform","jak_stat",0.967500795115226,0.967500795115226,1141
"ipf_lung","GSVA","sctransform","insulin_signaling",0.975124756547714,0.975124756547714,1141
"ipf_lung","GSVA","sctransform","glucose_metabolism",0.985510540719553,0.985510540719553,1141
"ipf_lung","GSVA","sctransform","nfkb_signaling",0.987790988543312,0.987790988543312,1141
"ipf_lung","GSVA","sctransform","toll_like_receptor",0.971559917920358,0.971559917920358,1141
"ipf_lung","GSVA","sctransform","tgfb_signaling",0.942126565864017,0.942126565864017,1141
"ipf_lung","GSVA","sctransform","oxidative_stress",0.964990832242684,0.964990832242684,1141
"ipf_lung","GSVA","sctransform","ecm_remodeling",0.979154328613751,0.979154328613751,1141
"ipf_lung","GSVA","sctransform","raas",0.941134644977921,0.941134644977921,1141
"ipf_lung","zscore","log2CPM","interferon_signaling",1,1,1141
"ipf_lung","zscore","log2CPM","jak_stat",1,1,1141
"ipf_lung","zscore","log2CPM","insulin_signaling",1,1,1141
"ipf_lung","zscore","log2CPM","glucose_metabolism",1,1,1141
"ipf_lung","zscore","log2CPM","nfkb_signaling",1,1,1141
"ipf_lung","zscore","log2CPM","toll_like_receptor",1,1,1141
"ipf_lung","zscore","log2CPM","tgfb_signaling",0.999999991921613,0.999999991921613,1141
"ipf_lung","zscore","log2CPM","oxidative_stress",1,1,1141
