"dataset","method","normalization","pathway","threshold_pct","n_genes_total","n_genes_remaining","pct_genes_remaining"
"ipf_lung","ssGSEA","log2CPM","interferon_signaling",10,271,254,93.7269372693727
"ipf_lung","ssGSEA","log2CPM","jak_stat",10,473,457,96.6173361522199
"ipf_lung","ssGSEA","log2CPM","insulin_signaling",10,82,79,96.3414634146341
"ipf_lung","ssGSEA","log2CPM","glucose_metabolism",10,85,84,98.8235294117647
"ipf_lung","ssGSEA","log2CPM","nfkb_signaling",10,54,53,98.1481481481482
"ipf_lung","ssGSEA","log2CPM","toll_like_receptor",10,170,169,99.4117647058823
"ipf_lung","ssGSEA","log2CPM","tgfb_signaling",10,96,94,97.9166666666667
"ipf_lung","ssGSEA","log2CPM","oxidative_stress",10,37,37,100
"ipf_lung","ssGSEA","log2CPM","ecm_remodeling",10,300,297,99
"ipf_lung","ssGSEA","log2CPM","raas",10,16,16,100
"ipf_lung","ssGSEA","voom","interferon_signaling",10,271,254,93.7269372693727
"ipf_lung","ssGSEA","voom","jak_stat",10,473,457,96.6173361522199
"ipf_lung","ssGSEA","voom","insulin_signaling",10,82,79,96.3414634146341
"ipf_lung","ssGSEA","voom","glucose_metabolism",10,85,84,98.8235294117647
"ipf_lung","ssGSEA","voom","nfkb_signaling",10,54,53,98.1481481481482
"ipf_lung","ssGSEA","voom","toll_like_receptor",10,170,169,99.4117647058823
"ipf_lung","ssGSEA","voom","tgfb_signaling",10,96,94,97.9166666666667
"ipf_lung","ssGSEA","voom","oxidative_stress",10,37,37,100
"ipf_lung","ssGSEA","voom","ecm_remodeling",10,300,297,99
"ipf_lung","ssGSEA","voom","raas",10,16,16,100
"ipf_lung","ssGSEA","scran","interferon_signaling",10,271,254,93.7269372693727
"ipf_lung","ssGSEA","scran","jak_stat",10,473,457,96.6173361522199
"ipf_lung","ssGSEA","scran","insulin_signaling",10,82,79,96.3414634146341
"ipf_lung","ssGSEA","scran","glucose_metabolism",10,85,84,98.8235294117647
"ipf_lung","ssGSEA","scran","nfkb_signaling",10,54,53,98.1481481481482
"ipf_lung","ssGSEA","scran","toll_like_receptor",10,170,169,99.4117647058823
"ipf_lung","ssGSEA","scran","tgfb_signaling",10,96,94,97.9166666666667
"ipf_lung","ssGSEA","scran","oxidative_stress",10,37,37,100
"ipf_lung","ssGSEA","scran","ecm_remodeling",10,300,297,99
"ipf_lung","ssGSEA","scran","raas",10,16,16,100
"ipf_lung","ssGSEA","sctransform","interferon_signaling",10,271,254,93.7269372693727
