"dataset","method","normalization","pathway","cor_with_cell_count","variance_ratio","n_outlier_samples","median_cell_count"
"ipf_lung","ssGSEA","log2CPM","interferon_signaling",-0.108774176135743,0.690982555490324,88,155
"ipf_lung","ssGSEA","log2CPM","jak_stat",-0.175422719961031,0.659419853707431,88,155
"ipf_lung","ssGSEA","log2CPM","insulin_signaling",-0.360885375840071,0.488566916808358,88,155
"ipf_lung","ssGSEA","log2CPM","glucose_metabolism",-0.163932176847541,0.808428549269601,88,155
"ipf_lung","ssGSEA","log2CPM","nfkb_signaling",0.063409406855049,1.26930183913975,88,155
"ipf_lung","ssGSEA","log2CPM","toll_like_receptor",-0.0416594114418435,0.875007693021351,88,155
"ipf_lung","ssGSEA","log2CPM","tgfb_signaling",-0.077697287297924,0.892925744216796,88,155
"ipf_lung","ssGSEA","log2CPM","oxidative_stress",-0.0704137187269704,0.663720136774722,88,155
"ipf_lung","ssGSEA","log2CPM","ecm_remodeling",-0.253344047586259,0.647876810408921,88,155
"ipf_lung","ssGSEA","log2CPM","raas",-0.343219909534687,0.54020487725314,88,155
"ipf_lung","ssGSEA","voom","interferon_signaling",0.112162328642615,0.873490911215043,88,155
"ipf_lung","ssGSEA","voom","jak_stat",0.0803069697481778,0.89657401676534,88,155
"ipf_lung","ssGSEA","voom","insulin_signaling",0.187503787426933,1.03777151724466,88,155
"ipf_lung","ssGSEA","voom","glucose_metabolism",0.0385350897873593,1.06734672589377,88,155
"ipf_lung","ssGSEA","voom","nfkb_signaling",0.0926328190241074,1.31570575448775,88,155
"ipf_lung","ssGSEA","voom","toll_like_receptor",0.0636896168140465,1.00605196574498,88,155
"ipf_lung","ssGSEA","voom","tgfb_signaling",0.135869758570899,1.23639967637035,88,155
"ipf_lung","ssGSEA","voom","oxidative_stress",0.0819199865906531,0.793345172193306,88,155
"ipf_lung","ssGSEA","voom","ecm_remodeling",0.0370401640819602,1.06828560217257,88,155
"ipf_lung","ssGSEA","voom","raas",0.174146422005166,0.788701099986093,88,155
"ipf_lung","ssGSEA","scran","interferon_signaling",0.112162328642615,0.873490911215043,88,155
"ipf_lung","ssGSEA","scran","jak_stat",0.0803069697481778,0.89657401676534,88,155
"ipf_lung","ssGSEA","scran","insulin_signaling",0.187503787426933,1.03777151724466,88,155
"ipf_lung","ssGSEA","scran","glucose_metabolism",0.0385350897873593,1.06734672589377,88,155
"ipf_lung","ssGSEA","scran","nfkb_signaling",0.0926328190241074,1.31570575448775,88,155
"ipf_lung","ssGSEA","scran","toll_like_receptor",0.0636896168140465,1.00605196574498,88,155
"ipf_lung","ssGSEA","scran","tgfb_signaling",0.135869758570899,1.23639967637035,88,155
"ipf_lung","ssGSEA","scran","oxidative_stress",0.0819199865906531,0.793345172193306,88,155
"ipf_lung","ssGSEA","scran","ecm_remodeling",0.0370401640819602,1.06828560217257,88,155
"ipf_lung","ssGSEA","scran","raas",0.174146422005166,0.788701099986093,88,155
"ipf_lung","ssGSEA","sctransform","interferon_signaling",0.0366315548527007,0.672853070390003,88,155
"ipf_lung","ssGSEA","sctransform","jak_stat",0.0421983224220588,0.707731247858518,88,155
"ipf_lung","ssGSEA","sctransform","insulin_signaling",0.0662698693824855,0.876965789915313,88,155
"ipf_lung","ssGSEA","sctransform","glucose_metabolism",-0.0813867668955706,0.884345709313995,88,155
"ipf_lung","ssGSEA","sctransform","nfkb_signaling",-0.076990489465149,0.920911946439444,88,155
"ipf_lung","ssGSEA","sctransform","toll_like_receptor",-0.0221810951148702,0.723552800695104,88,155
"ipf_lung","ssGSEA","sctransform","tgfb_signaling",-0.0401245821127211,0.670972221003932,88,155
"ipf_lung","ssGSEA","sctransform","oxidative_stress",-0.110785792977841,0.70753441757561,88,155
"ipf_lung","ssGSEA","sctransform","ecm_remodeling",0.125932770689921,0.802423533448683,88,155
"ipf_lung","ssGSEA","sctransform","raas",0.304864202268793,1.03801050276876,88,155
"ipf_lung","GSVA","log2CPM","interferon_signaling",-0.0934121211635768,0.513439710633872,88,155
"ipf_lung","GSVA","log2CPM","jak_stat",-0.137678565316109,0.55579916431448,88,155
"ipf_lung","GSVA","log2CPM","insulin_signaling",0.0200086439282624,0.898538043252829,88,155
"ipf_lung","GSVA","log2CPM","glucose_metabolism",-0.0886119927252487,0.816216238773272,88,155
"ipf_lung","GSVA","log2CPM","nfkb_signaling",-0.118567613567941,0.823115736419423,88,155
"ipf_lung","GSVA","log2CPM","toll_like_receptor",-0.156578135706175,0.661191872865812,88,155
"ipf_lung","GSVA","log2CPM","tgfb_signaling",-0.215497231690143,0.614491915482374,88,155
"ipf_lung","GSVA","log2CPM","oxidative_stress",-0.0449277480573798,0.721781960842749,88,155
"ipf_lung","GSVA","log2CPM","ecm_remodeling",0.130826197427749,0.797961917909726,88,155
"ipf_lung","GSVA","log2CPM","raas",0.189116800230171,0.883897692982843,88,155
"ipf_lung","GSVA","voom","interferon_signaling",0.201519596973651,0.495038563915905,88,155
"ipf_lung","GSVA","voom","jak_stat",0.0844233240054388,0.695373664901794,88,155
"ipf_lung","GSVA","voom","insulin_signaling",0.198531256237544,0.806975953766029,88,155
