"dataset","method","pathway","norm1","norm2","spearman_cor","n_samples"
"ipf_lung","ssGSEA","interferon_signaling","log2CPM","voom",0.878198073805596,1141
"ipf_lung","ssGSEA","jak_stat","log2CPM","voom",0.770964419633744,1141
"ipf_lung","ssGSEA","insulin_signaling","log2CPM","voom",0.197117639650468,1141
"ipf_lung","ssGSEA","glucose_metabolism","log2CPM","voom",0.765820579512775,1141
"ipf_lung","ssGSEA","nfkb_signaling","log2CPM","voom",0.96222222365838,1141
"ipf_lung","ssGSEA","toll_like_receptor","log2CPM","voom",0.838739484060898,1141
"ipf_lung","ssGSEA","tgfb_signaling","log2CPM","voom",0.726878368333887,1141
"ipf_lung","ssGSEA","oxidative_stress","log2CPM","voom",0.901379449181655,1141
"ipf_lung","ssGSEA","ecm_remodeling","log2CPM","voom",0.790969567181844,1141
"ipf_lung","ssGSEA","raas","log2CPM","voom",0.452056042354659,1141
"ipf_lung","ssGSEA","interferon_signaling","log2CPM","scran",0.878198073805596,1141
"ipf_lung","ssGSEA","jak_stat","log2CPM","scran",0.770964419633744,1141
"ipf_lung","ssGSEA","insulin_signaling","log2CPM","scran",0.197117639650468,1141
"ipf_lung","ssGSEA","glucose_metabolism","log2CPM","scran",0.765820579512775,1141
"ipf_lung","ssGSEA","nfkb_signaling","log2CPM","scran",0.96222222365838,1141
"ipf_lung","ssGSEA","toll_like_receptor","log2CPM","scran",0.838739484060898,1141
"ipf_lung","ssGSEA","tgfb_signaling","log2CPM","scran",0.726878368333887,1141
"ipf_lung","ssGSEA","oxidative_stress","log2CPM","scran",0.901379449181655,1141
"ipf_lung","ssGSEA","ecm_remodeling","log2CPM","scran",0.790969567181844,1141
"ipf_lung","ssGSEA","raas","log2CPM","scran",0.452056042354659,1141
"ipf_lung","ssGSEA","interferon_signaling","log2CPM","sctransform",0.610794857525126,1141
"ipf_lung","ssGSEA","jak_stat","log2CPM","sctransform",0.611948499637563,1141
"ipf_lung","ssGSEA","insulin_signaling","log2CPM","sctransform",0.0182136036964759,1141
"ipf_lung","ssGSEA","glucose_metabolism","log2CPM","sctransform",0.298462844550268,1141
"ipf_lung","ssGSEA","nfkb_signaling","log2CPM","sctransform",0.711436855006447,1141
"ipf_lung","ssGSEA","toll_like_receptor","log2CPM","sctransform",0.602658395152516,1141
"ipf_lung","ssGSEA","tgfb_signaling","log2CPM","sctransform",0.539932144781819,1141
"ipf_lung","ssGSEA","oxidative_stress","log2CPM","sctransform",0.789164459718699,1141
"ipf_lung","ssGSEA","ecm_remodeling","log2CPM","sctransform",0.450933033485156,1141
"ipf_lung","ssGSEA","raas","log2CPM","sctransform",0.241183414199332,1141
"ipf_lung","ssGSEA","interferon_signaling","voom","scran",1,1141
"ipf_lung","ssGSEA","jak_stat","voom","scran",1,1141
"ipf_lung","ssGSEA","insulin_signaling","voom","scran",1,1141
