"dataset","method","normalization","pathway","cell_type","p_value","cohens_d","mean_disease","mean_control","expected_direction","observed_direction","direction_correct","n_disease","n_control"
"pd_brain","ssGSEA","log2CPM","nfkb_signaling","oligodendrocyte",0.197752682100508,0.623976702232677,2.8719583480536,2.86089713538511,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","log2CPM","nfkb_signaling","glutamatergic neuron",0.40042913608131,0.550812838401274,2.79342587286107,2.77423787520364,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","log2CPM","nfkb_signaling","astrocyte",0.121151891586674,0.843329554152333,2.76700883683625,2.7520033698203,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","log2CPM","nfkb_signaling","central nervous system macrophage",0.0504573687182383,0.933868799314898,2.91053850322366,2.89832910553559,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","log2CPM","nfkb_signaling","GABAergic neuron",0.733258046301525,0.0966055763877425,2.77041626246481,2.76787542241024,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","log2CPM","nfkb_signaling","oligodendrocyte precursor cell",0.40042913608131,0.268287859828471,2.78833765671551,2.78373213842967,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","log2CPM","nfkb_signaling","central nervous system neuron",0.837457279562543,0.0689203572406563,2.76882890548407,2.76777503162466,"UP","UP",TRUE,18,4
"pd_brain","ssGSEA","log2CPM","nfkb_signaling","ependymal cell",0.0790849673202614,-0.897681957900482,2.69706952018988,2.71472056143848,"UP","DOWN",FALSE,14,4
"pd_brain","ssGSEA","log2CPM","nfkb_signaling","mural cell",0.555313382269904,0.282598258147466,2.85901208314522,2.84804596145617,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","log2CPM","nfkb_signaling","endothelial cell",0.555313382269904,-0.259656273654929,2.94430450751863,2.95113916920144,"UP","DOWN",FALSE,19,6
"pd_brain","ssGSEA","log2CPM","nfkb_signaling","leukocyte",0.635364635364635,-0.583929552171779,2.93014991416627,2.94900663526667,"UP","DOWN",FALSE,10,4
"pd_brain","ssGSEA","log2CPM","toll_like_receptor","oligodendrocyte",0.197752682100508,0.71447140899998,2.59064931720986,2.58373505579606,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","log2CPM","toll_like_receptor","glutamatergic neuron",0.333314511575381,0.286313561595106,2.54635184610129,2.54312359671726,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","log2CPM","toll_like_receptor","astrocyte",0.436691134952005,0.279217842730091,2.59642772844724,2.59238889000248,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","log2CPM","toll_like_receptor","central nervous system macrophage",0.687046866177301,-0.0363264926810441,2.82268637641798,2.82321817948413,"UP","DOWN",FALSE,19,6
"pd_brain","ssGSEA","log2CPM","toll_like_receptor","GABAergic neuron",0.780474308300395,0.0465232902764183,2.55241967316598,2.55184258069014,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","log2CPM","toll_like_receptor","oligodendrocyte precursor cell",0.877018633540373,-0.3974622804145,2.5805099785774,2.58452801968511,"UP","DOWN",FALSE,19,6
"pd_brain","ssGSEA","log2CPM","toll_like_receptor","central nervous system neuron",0.484483937115516,0.251813581792025,2.56011955908762,2.55586612517387,"UP","UP",TRUE,18,4
"pd_brain","ssGSEA","log2CPM","toll_like_receptor","ependymal cell",0.441830065359477,-0.461756655560831,2.59553306663317,2.601665421352,"UP","DOWN",FALSE,14,4
"pd_brain","ssGSEA","log2CPM","toll_like_receptor","mural cell",0.333314511575381,0.657343452401461,2.66900742905836,2.65821328256026,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","log2CPM","toll_like_receptor","endothelial cell",0.273551665725579,0.613569616041439,2.73732349996623,2.73061828782736,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","log2CPM","toll_like_receptor","leukocyte",0.035964035964036,-1.43564700652294,2.77319532433737,2.79077158734656,"UP","DOWN",FALSE,10,4
"pd_brain","ssGSEA","log2CPM","oxidative_stress","oligodendrocyte",0.733258046301525,-0.246834292306519,2.45486762206016,2.45908649480089,"UP","DOWN",FALSE,19,6
"pd_brain","ssGSEA","log2CPM","oxidative_stress","glutamatergic neuron",0.555313382269904,-0.14053107005038,2.35304568964749,2.35701351705491,"UP","DOWN",FALSE,19,6
"pd_brain","ssGSEA","log2CPM","oxidative_stress","astrocyte",0.733258046301525,0.358924345882289,2.43491959129398,2.42571469954241,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","log2CPM","oxidative_stress","central nervous system macrophage",0.641852060982496,-0.322029653234729,2.53406066564696,2.54038114027241,"UP","DOWN",FALSE,19,6
"pd_brain","ssGSEA","log2CPM","oxidative_stress","GABAergic neuron",0.302540937323546,-0.667946934937642,2.34283548545921,2.35446045922338,"UP","DOWN",FALSE,19,6
"pd_brain","ssGSEA","log2CPM","oxidative_stress","oligodendrocyte precursor cell",0.555313382269904,0.271822859606727,2.36119738439133,2.3560067215178,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","log2CPM","oxidative_stress","central nervous system neuron",0.342036910457963,-0.734898218456305,2.36057034883689,2.3785585923825,"UP","DOWN",FALSE,18,4
"pd_brain","ssGSEA","log2CPM","oxidative_stress","ependymal cell",0.232679738562091,-1.02055612122463,2.40658361872625,2.4364353238014,"UP","DOWN",FALSE,14,4
"pd_brain","ssGSEA","log2CPM","oxidative_stress","mural cell",0.925996612083569,-0.463382747576244,2.54425176565953,2.56136605331053,"UP","DOWN",FALSE,19,6
"pd_brain","ssGSEA","log2CPM","oxidative_stress","endothelial cell",0.121151891586674,-0.773475829340695,2.51945013507382,2.55073953927099,"UP","DOWN",FALSE,19,6
"pd_brain","ssGSEA","log2CPM","oxidative_stress","leukocyte",0.839160839160839,-0.196554295606321,2.49579821644212,2.50408578174209,"UP","DOWN",FALSE,10,4
"pd_brain","ssGSEA","voom","nfkb_signaling","oligodendrocyte",0.176036137775268,0.626205821164771,0.395663206262408,0.381029187136027,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","voom","nfkb_signaling","glutamatergic neuron",0.40042913608131,0.552678323396714,0.295177531289674,0.269790153300417,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","voom","nfkb_signaling","astrocyte",0.0689779785431959,0.977947359584872,0.259282447772806,0.237084804031926,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","voom","nfkb_signaling","central nervous system macrophage",0.0504573687182383,1.08688178702362,0.441115413997142,0.4226933828475,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","voom","nfkb_signaling","GABAergic neuron",0.780474308300395,0.104352976844699,0.262851664189851,0.259308461052007,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","voom","nfkb_signaling","oligodendrocyte precursor cell",0.36600790513834,0.331608093038858,0.282156739709291,0.274821311300781,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","voom","nfkb_signaling","central nervous system neuron",0.774299384825701,0.0891949356132183,0.264805232746789,0.263001035143219,"UP","UP",TRUE,18,4
"pd_brain","ssGSEA","voom","nfkb_signaling","ependymal cell",0.157516339869281,-0.870436472095792,0.169174701645524,0.190458209609819,"UP","DOWN",FALSE,14,4
"pd_brain","ssGSEA","voom","nfkb_signaling","mural cell",0.555313382269904,0.239738624972611,0.371631609745697,0.359886252417218,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","voom","nfkb_signaling","endothelial cell",0.828390739695088,-0.178486237567649,0.480490698415508,0.486567658912535,"UP","DOWN",FALSE,19,6
"pd_brain","ssGSEA","voom","nfkb_signaling","leukocyte",0.733266733266733,-0.509233758517314,0.464316033645846,0.484718379163408,"UP","DOWN",FALSE,10,4
"pd_brain","ssGSEA","voom","toll_like_receptor","oligodendrocyte",0.05914172783738,1.10777094513753,0.221473496235905,0.209180345607489,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","voom","toll_like_receptor","glutamatergic neuron",0.302540937323546,0.596098807883021,0.168649414362787,0.161407214149122,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","voom","toll_like_receptor","astrocyte",0.221174477696217,0.676674918176002,0.207036984563074,0.196400541677877,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","voom","toll_like_receptor","central nervous system macrophage",0.121151891586674,0.755914178245214,0.486839359181136,0.479606268934636,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","voom","toll_like_receptor","GABAergic neuron",0.877018633540373,0.119362869153136,0.166127318224032,0.164775089482664,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","voom","toll_like_receptor","oligodendrocyte precursor cell",0.555313382269904,0.124002366292356,0.181246776713747,0.179977807523395,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","voom","toll_like_receptor","central nervous system neuron",0.195215311004785,0.663119443888372,0.160215887721937,0.153068862322311,"UP","UP",TRUE,18,4
"pd_brain","ssGSEA","voom","toll_like_receptor","ependymal cell",0.958823529411765,0.0972454396453431,0.194015227051754,0.19270784781622,"UP","UP",TRUE,14,4
"pd_brain","ssGSEA","voom","toll_like_receptor","mural cell",0.156115189158667,0.765424797352298,0.269770483662337,0.256730532299107,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","voom","toll_like_receptor","endothelial cell",0.121151891586674,0.858870013395734,0.361383187497074,0.351912243740157,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","voom","toll_like_receptor","leukocyte",0.001998001998002,-2.49874740888585,0.369722508301731,0.398570354383958,"UP","DOWN",FALSE,10,4
"pd_brain","ssGSEA","voom","oxidative_stress","oligodendrocyte",0.828390739695088,-0.15488961044161,0.0516068721055605,0.0561227717581995,"UP","DOWN",FALSE,19,6
"pd_brain","ssGSEA","voom","oxidative_stress","glutamatergic neuron",0.877018633540373,-0.0442260647450238,-0.113467788655688,-0.111242954944862,"UP","DOWN",FALSE,19,6
"pd_brain","ssGSEA","voom","oxidative_stress","astrocyte",0.687046866177301,0.310967287384533,0.0195681290240239,0.00689673399667174,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","voom","oxidative_stress","central nervous system macrophage",0.780474308300395,-0.00868468987956808,0.11648956966431,0.11674390903988,"UP","DOWN",FALSE,19,6
"pd_brain","ssGSEA","voom","oxidative_stress","GABAergic neuron",0.877018633540373,-0.0446120478533909,-0.119554962248713,-0.118103828837502,"UP","DOWN",FALSE,19,6
"pd_brain","ssGSEA","voom","oxidative_stress","oligodendrocyte precursor cell",0.597955957086392,0.272968729275529,-0.101943289324108,-0.109495438438541,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","voom","oxidative_stress","central nervous system neuron",0.902255639097744,0.0537215431906998,-0.102907074801187,-0.104743655158898,"UP","UP",TRUE,18,4
"pd_brain","ssGSEA","voom","oxidative_stress","ependymal cell",0.0117647058823529,-2.14285882868912,-0.070360012463896,0.00341734365517917,"UP","DOWN",FALSE,14,4
"pd_brain","ssGSEA","voom","oxidative_stress","mural cell",1,-0.202582079680988,0.147596704655648,0.157289515244282,"UP","DOWN",FALSE,19,6
"pd_brain","ssGSEA","voom","oxidative_stress","endothelial cell",0.0302089215132693,-1.05881610061151,0.120467591451038,0.173006069320684,"UP","DOWN",FALSE,19,6
"pd_brain","ssGSEA","voom","oxidative_stress","leukocyte",0.733266733266733,0.14317141604411,0.0756145977459023,0.0685734242117535,"UP","UP",TRUE,10,4
"pd_brain","ssGSEA","scran","nfkb_signaling","oligodendrocyte",0.176036137775268,0.626205821164771,0.395663206262408,0.381029187136027,"UP","UP",TRUE,19,6
"pd_brain","ssGSEA","scran","nfkb_signaling","glutamatergic neuron",0.40042913608131,0.552678323396714,0.295177531289674,0.269790153300417,"UP","UP",TRUE,19,6
