"dataset","method","normalization","pathway","spearman_cor","rank_correlation","n_samples"
"pd_brain","ssGSEA","log2CPM","interferon_signaling",0.999976566519048,0.999976566519048,254
"pd_brain","ssGSEA","log2CPM","jak_stat",0.999978031111607,0.999978031111607,254
"pd_brain","ssGSEA","log2CPM","insulin_signaling",0.999865989780805,0.999865989780805,254
"pd_brain","ssGSEA","log2CPM","glucose_metabolism",0.999850611558931,0.999850611558931,254
"pd_brain","ssGSEA","log2CPM","nfkb_signaling",0.999981692593006,0.999981692593006,254
"pd_brain","ssGSEA","log2CPM","toll_like_receptor",0.999972905037649,0.999972905037649,254
"pd_brain","ssGSEA","log2CPM","tgfb_signaling",0.999981692593006,0.999981692593006,254
"pd_brain","ssGSEA","log2CPM","oxidative_stress",0.999960456000893,0.999960456000893,254
"pd_brain","ssGSEA","log2CPM","ecm_remodeling",0.999972905037649,0.999972905037649,254
"pd_brain","ssGSEA","log2CPM","raas",0.999900407705954,0.999900407705954,254
"pd_brain","ssGSEA","scran","interferon_signaling",0.982164191810365,0.982164191810365,254
"pd_brain","ssGSEA","scran","jak_stat",0.95895552581619,0.95895552581619,254
"pd_brain","ssGSEA","scran","insulin_signaling",0.748761595453905,0.748761595453905,254
"pd_brain","ssGSEA","scran","glucose_metabolism",0.874958945639816,0.874958945639816,254
"pd_brain","ssGSEA","scran","nfkb_signaling",0.998096761968925,0.998096761968925,254
"pd_brain","ssGSEA","scran","toll_like_receptor",0.957634463327518,0.957634463327518,254
"pd_brain","ssGSEA","scran","tgfb_signaling",0.990328563033318,0.990328563033318,254
"pd_brain","ssGSEA","scran","oxidative_stress",0.972212285368537,0.972212285368537,254
"pd_brain","ssGSEA","scran","ecm_remodeling",0.980931004875262,0.980931004875262,254
"pd_brain","ssGSEA","scran","raas",0.789844149044262,0.789844149044262,254
"pd_brain","ssGSEA","sctransform","interferon_signaling",0.558223229536438,0.558223229536438,254
"pd_brain","ssGSEA","sctransform","jak_stat",0.541911329904966,0.541911329904966,254
"pd_brain","ssGSEA","sctransform","insulin_signaling",0.903741118619182,0.903741118619182,254
"pd_brain","ssGSEA","sctransform","glucose_metabolism",0.870955481878413,0.870955481878413,254
"pd_brain","ssGSEA","sctransform","nfkb_signaling",0.73824289169155,0.73824289169155,254
"pd_brain","ssGSEA","sctransform","toll_like_receptor",0.597647132053157,0.597647132053157,254
"pd_brain","ssGSEA","sctransform","tgfb_signaling",0.49961682597162,0.49961682597162,254
"pd_brain","ssGSEA","sctransform","oxidative_stress",0.703759792174316,0.703759792174316,254
"pd_brain","ssGSEA","sctransform","ecm_remodeling",0.949828184985363,0.949828184985363,254
"pd_brain","ssGSEA","sctransform","raas",0.872192330294914,0.872192330294914,254
"pd_brain","GSVA","log2CPM","interferon_signaling",1,1,254
"pd_brain","GSVA","log2CPM","jak_stat",1,1,254
"pd_brain","GSVA","log2CPM","insulin_signaling",0.99999926770372,0.99999926770372,254
"pd_brain","GSVA","log2CPM","glucose_metabolism",1,1,254
"pd_brain","GSVA","log2CPM","nfkb_signaling",1,1,254
"pd_brain","GSVA","log2CPM","toll_like_receptor",1,1,254
"pd_brain","GSVA","log2CPM","tgfb_signaling",1,1,254
"pd_brain","GSVA","log2CPM","oxidative_stress",1,1,254
"pd_brain","GSVA","log2CPM","ecm_remodeling",1,1,254
"pd_brain","GSVA","log2CPM","raas",1,1,254
"pd_brain","GSVA","scran","interferon_signaling",-0.22522760683745,-0.22522760683745,254
"pd_brain","GSVA","scran","jak_stat",-0.132822068480687,-0.132822068480687,254
"pd_brain","GSVA","scran","insulin_signaling",0.453598595455735,0.453598595455735,254
"pd_brain","GSVA","scran","glucose_metabolism",0.131164149703328,0.131164149703328,254
"pd_brain","GSVA","scran","nfkb_signaling",0.129098341898149,0.129098341898149,254
"pd_brain","GSVA","scran","toll_like_receptor",-0.18020017318807,-0.18020017318807,254
"pd_brain","GSVA","scran","tgfb_signaling",-0.173367116601706,-0.173367116601706,254
"pd_brain","GSVA","scran","oxidative_stress",0.076996193890086,0.076996193890086,254
"pd_brain","GSVA","scran","ecm_remodeling",0.267738870469603,0.267738870469603,254
"pd_brain","GSVA","scran","raas",0.699428991975864,0.699428991975864,254
"pd_brain","GSVA","sctransform","interferon_signaling",0.332943995811265,0.332943995811265,254
"pd_brain","GSVA","sctransform","jak_stat",0.331644902210986,0.331644902210986,254
"pd_brain","GSVA","sctransform","insulin_signaling",0.898965082282641,0.898965082282641,254
"pd_brain","GSVA","sctransform","glucose_metabolism",0.886332239160642,0.886332239160642,254
"pd_brain","GSVA","sctransform","nfkb_signaling",0.752961314618281,0.752961314618281,254
"pd_brain","GSVA","sctransform","toll_like_receptor",0.438582127943144,0.438582127943144,254
"pd_brain","GSVA","sctransform","tgfb_signaling",0.294456700236349,0.294456700236349,254
"pd_brain","GSVA","sctransform","oxidative_stress",0.65798175483819,0.65798175483819,254
"pd_brain","GSVA","sctransform","ecm_remodeling",0.961863474343084,0.961863474343084,254
"pd_brain","GSVA","sctransform","raas",0.932472030858965,0.932472030858965,254
"pd_brain","zscore","log2CPM","interferon_signaling",1,1,254
"pd_brain","zscore","log2CPM","jak_stat",1,1,254
"pd_brain","zscore","log2CPM","insulin_signaling",1,1,254
"pd_brain","zscore","log2CPM","glucose_metabolism",1,1,254
"pd_brain","zscore","log2CPM","nfkb_signaling",1,1,254
"pd_brain","zscore","log2CPM","toll_like_receptor",1,1,254
"pd_brain","zscore","log2CPM","tgfb_signaling",1,1,254
"pd_brain","zscore","log2CPM","oxidative_stress",1,1,254
"pd_brain","zscore","log2CPM","ecm_remodeling",1,1,254
"pd_brain","zscore","log2CPM","raas",1,1,254
"pd_brain","zscore","scran","interferon_signaling",0.749654264618922,0.749654264618922,254
"pd_brain","zscore","scran","jak_stat",0.662508078143336,0.662508078143336,254
"pd_brain","zscore","scran","insulin_signaling",0.435428127866253,0.435428127866253,254
"pd_brain","zscore","scran","glucose_metabolism",0.57530330796537,0.57530330796537,254
"pd_brain","zscore","scran","nfkb_signaling",0.651260007286348,0.651260007286348,254
"pd_brain","zscore","scran","toll_like_receptor",0.682995531161953,0.682995531161953,254
"pd_brain","zscore","scran","tgfb_signaling",0.558048210725578,0.558048210725578,254
"pd_brain","zscore","scran","oxidative_stress",0.731446449919173,0.731446449919173,254
"pd_brain","zscore","scran","ecm_remodeling",0.431904318168088,0.431904318168088,254
"pd_brain","zscore","scran","raas",0.060749468627512,0.060749468627512,254
"pd_brain","zscore","sctransform","interferon_signaling",0.61732173620125,0.61732173620125,254
"pd_brain","zscore","sctransform","jak_stat",0.672190499554215,0.672190499554215,254
"pd_brain","zscore","sctransform","insulin_signaling",0.959613860171687,0.959613860171687,254
"pd_brain","zscore","sctransform","glucose_metabolism",0.960080332901889,0.960080332901889,254
"pd_brain","zscore","sctransform","nfkb_signaling",0.815908770529468,0.815908770529468,254
"pd_brain","zscore","sctransform","toll_like_receptor",0.672478291992157,0.672478291992157,254
"pd_brain","zscore","sctransform","tgfb_signaling",0.573985174661816,0.573985174661816,254
"pd_brain","zscore","sctransform","oxidative_stress",0.84573666259632,0.84573666259632,254
"pd_brain","zscore","sctransform","ecm_remodeling",0.992744408460219,0.992744408460219,254
"pd_brain","zscore","sctransform","raas",0.970267306449516,0.970267306449516,254
"pd_brain","AUCell","log2CPM","interferon_signaling",0.999977115737085,0.999977115737085,254
"pd_brain","AUCell","log2CPM","jak_stat",0.999982424889286,0.999982424889286,254
"pd_brain","AUCell","log2CPM","insulin_signaling",0.999761088207532,0.999761088207532,254
"pd_brain","AUCell","log2CPM","glucose_metabolism",0.999739302238046,0.999739302238046,254
"pd_brain","AUCell","log2CPM","nfkb_signaling",0.999906266041871,0.999906266041871,254
"pd_brain","AUCell","log2CPM","toll_like_receptor",0.999944162378018,0.999944162378018,254
"pd_brain","AUCell","log2CPM","tgfb_signaling",0.999971257365775,0.999971257365775,254
"pd_brain","AUCell","log2CPM","oxidative_stress",0.999676006080028,0.999676006080028,254
"pd_brain","AUCell","log2CPM","ecm_remodeling",0.999965765130136,0.999965765130136,254
"pd_brain","AUCell","log2CPM","raas",0.999880818322421,0.999880818322421,254
"pd_brain","AUCell","scran","interferon_signaling",0.873577763341079,0.873577763341079,254
"pd_brain","AUCell","scran","jak_stat",0.91362372818359,0.91362372818359,254
"pd_brain","AUCell","scran","insulin_signaling",0.453827735124099,0.453827735124099,254
"pd_brain","AUCell","scran","glucose_metabolism",0.192423647378605,0.192423647378605,254
"pd_brain","AUCell","scran","nfkb_signaling",0.611280059586263,0.611280059586263,254
"pd_brain","AUCell","scran","toll_like_receptor",0.351065849447434,0.351065849447434,254
"pd_brain","AUCell","scran","tgfb_signaling",0.929537943917374,0.929537943917374,254
"pd_brain","AUCell","scran","oxidative_stress",0.558719280869502,0.558719280869502,254
"pd_brain","AUCell","scran","ecm_remodeling",0.844980030258572,0.844980030258572,254
"pd_brain","AUCell","scran","raas",0.408095573871527,0.408095573871527,254
"pd_brain","AUCell","sctransform","interferon_signaling",0.552098404527505,0.552098404527505,254
"pd_brain","AUCell","sctransform","jak_stat",0.518359949251868,0.518359949251868,254
"pd_brain","AUCell","sctransform","insulin_signaling",0.812931483014613,0.812931483014613,254
"pd_brain","AUCell","sctransform","glucose_metabolism",0.886883250693668,0.886883250693668,254
"pd_brain","AUCell","sctransform","nfkb_signaling",0.633811691316949,0.633811691316949,254
"pd_brain","AUCell","sctransform","toll_like_receptor",0.429726469032106,0.429726469032106,254
"pd_brain","AUCell","sctransform","tgfb_signaling",0.373783700757183,0.373783700757183,254
"pd_brain","AUCell","sctransform","oxidative_stress",0.648845715876934,0.648845715876934,254
"pd_brain","AUCell","sctransform","ecm_remodeling",0.938282801838796,0.938282801838796,254
"pd_brain","AUCell","sctransform","raas",0.955255368319733,0.955255368319733,254
"pd_brain","UCell","log2CPM","interferon_signaling",0.999985537140682,0.999985537140682,254
"pd_brain","UCell","log2CPM","jak_stat",0.999988283259524,0.999988283259524,254
"pd_brain","UCell","log2CPM","insulin_signaling",0.999967595859976,0.999967595859976,254
"pd_brain","UCell","log2CPM","glucose_metabolism",0.999866904249616,0.999866904249616,254
"pd_brain","UCell","log2CPM","nfkb_signaling",0.999971440424243,0.999971440424243,254
"pd_brain","UCell","log2CPM","toll_like_receptor",0.999968145100234,0.999968145100234,254
"pd_brain","UCell","log2CPM","tgfb_signaling",0.999983706393012,0.999983706393012,254
"pd_brain","UCell","log2CPM","oxidative_stress",0.999947895870022,0.999947895870022,254
"pd_brain","UCell","log2CPM","ecm_remodeling",0.999973637333929,0.999973637333929,254
"pd_brain","UCell","log2CPM","raas",0.99997002475905,0.99997002475905,254
"pd_brain","UCell","scran","interferon_signaling",0.999968145100234,0.999968145100234,254
"pd_brain","UCell","scran","jak_stat",0.999872580447323,0.999872580447323,254
"pd_brain","UCell","scran","insulin_signaling",0.999971257344726,0.999971257344726,254
"pd_brain","UCell","scran","glucose_metabolism",0.999836330702853,0.999836330702853,254
"pd_brain","UCell","scran","nfkb_signaling",0.999966314346531,0.999966314346531,254
"pd_brain","UCell","scran","toll_like_receptor",0.999930981063015,0.999930981063015,254
"pd_brain","UCell","scran","tgfb_signaling",0.999971074265244,0.999971074265244,254
"pd_brain","UCell","scran","oxidative_stress",0.99994614237904,0.99994614237904,254
"pd_brain","UCell","scran","ecm_remodeling",0.999959540623153,0.999959540623153,254
"pd_brain","UCell","scran","raas",0.999967883679111,0.999967883679111,254
"pd_brain","UCell","sctransform","interferon_signaling",0.624157812893037,0.624157812893037,254
"pd_brain","UCell","sctransform","jak_stat",0.590822971186526,0.590822971186526,254
"pd_brain","UCell","sctransform","insulin_signaling",0.816346930328059,0.816346930328059,254
"pd_brain","UCell","sctransform","glucose_metabolism",0.836527557910767,0.836527557910767,254
"pd_brain","UCell","sctransform","nfkb_signaling",0.70528047729898,0.70528047729898,254
"pd_brain","UCell","sctransform","toll_like_receptor",0.411988357945219,0.411988357945219,254
"pd_brain","UCell","sctransform","tgfb_signaling",0.565358454061743,0.565358454061743,254
"pd_brain","UCell","sctransform","oxidative_stress",0.710108380762056,0.710108380762056,254
"pd_brain","UCell","sctransform","ecm_remodeling",0.911198091635895,0.911198091635895,254
"pd_brain","UCell","sctransform","raas",0.95648665923444,0.95648665923444,254
