"dataset","method","normalization","pathway","threshold_pct","n_genes_total","n_genes_remaining","pct_genes_remaining"
"pd_brain","ssGSEA","log2CPM","interferon_signaling",10,271,249,91.8819188191882
"pd_brain","ssGSEA","log2CPM","jak_stat",10,473,425,89.8520084566596
"pd_brain","ssGSEA","log2CPM","insulin_signaling",10,82,74,90.2439024390244
"pd_brain","ssGSEA","log2CPM","glucose_metabolism",10,85,78,91.7647058823529
"pd_brain","ssGSEA","log2CPM","nfkb_signaling",10,54,51,94.4444444444444
"pd_brain","ssGSEA","log2CPM","toll_like_receptor",10,170,155,91.1764705882353
"pd_brain","ssGSEA","log2CPM","tgfb_signaling",10,96,91,94.7916666666667
"pd_brain","ssGSEA","log2CPM","oxidative_stress",10,37,34,91.8918918918919
"pd_brain","ssGSEA","log2CPM","ecm_remodeling",10,300,286,95.3333333333333
"pd_brain","ssGSEA","log2CPM","raas",10,16,11,68.75
"pd_brain","ssGSEA","voom","interferon_signaling",10,271,249,91.8819188191882
"pd_brain","ssGSEA","voom","jak_stat",10,473,425,89.8520084566596
"pd_brain","ssGSEA","voom","insulin_signaling",10,82,74,90.2439024390244
"pd_brain","ssGSEA","voom","glucose_metabolism",10,85,78,91.7647058823529
"pd_brain","ssGSEA","voom","nfkb_signaling",10,54,51,94.4444444444444
"pd_brain","ssGSEA","voom","toll_like_receptor",10,170,155,91.1764705882353
"pd_brain","ssGSEA","voom","tgfb_signaling",10,96,91,94.7916666666667
"pd_brain","ssGSEA","voom","oxidative_stress",10,37,34,91.8918918918919
"pd_brain","ssGSEA","voom","ecm_remodeling",10,300,286,95.3333333333333
"pd_brain","ssGSEA","voom","raas",10,16,11,68.75
"pd_brain","ssGSEA","scran","interferon_signaling",10,271,249,91.8819188191882
"pd_brain","ssGSEA","scran","jak_stat",10,473,425,89.8520084566596
"pd_brain","ssGSEA","scran","insulin_signaling",10,82,74,90.2439024390244
"pd_brain","ssGSEA","scran","glucose_metabolism",10,85,78,91.7647058823529
"pd_brain","ssGSEA","scran","nfkb_signaling",10,54,51,94.4444444444444
"pd_brain","ssGSEA","scran","toll_like_receptor",10,170,155,91.1764705882353
"pd_brain","ssGSEA","scran","tgfb_signaling",10,96,91,94.7916666666667
"pd_brain","ssGSEA","scran","oxidative_stress",10,37,34,91.8918918918919
"pd_brain","ssGSEA","scran","ecm_remodeling",10,300,286,95.3333333333333
"pd_brain","ssGSEA","scran","raas",10,16,11,68.75
"pd_brain","ssGSEA","sctransform","interferon_signaling",10,271,249,91.8819188191882
"pd_brain","ssGSEA","sctransform","jak_stat",10,473,425,89.8520084566596
"pd_brain","ssGSEA","sctransform","insulin_signaling",10,82,74,90.2439024390244
"pd_brain","ssGSEA","sctransform","glucose_metabolism",10,85,78,91.7647058823529
"pd_brain","ssGSEA","sctransform","nfkb_signaling",10,54,51,94.4444444444444
"pd_brain","ssGSEA","sctransform","toll_like_receptor",10,170,155,91.1764705882353
"pd_brain","ssGSEA","sctransform","tgfb_signaling",10,96,91,94.7916666666667
"pd_brain","ssGSEA","sctransform","oxidative_stress",10,37,34,91.8918918918919
"pd_brain","ssGSEA","sctransform","ecm_remodeling",10,300,286,95.3333333333333
"pd_brain","ssGSEA","sctransform","raas",10,16,11,68.75
"pd_brain","GSVA","log2CPM","interferon_signaling",10,271,249,91.8819188191882
"pd_brain","GSVA","log2CPM","jak_stat",10,473,425,89.8520084566596
"pd_brain","GSVA","log2CPM","insulin_signaling",10,82,74,90.2439024390244
"pd_brain","GSVA","log2CPM","glucose_metabolism",10,85,78,91.7647058823529
"pd_brain","GSVA","log2CPM","nfkb_signaling",10,54,51,94.4444444444444
"pd_brain","GSVA","log2CPM","toll_like_receptor",10,170,155,91.1764705882353
"pd_brain","GSVA","log2CPM","tgfb_signaling",10,96,91,94.7916666666667
"pd_brain","GSVA","log2CPM","oxidative_stress",10,37,34,91.8918918918919
"pd_brain","GSVA","log2CPM","ecm_remodeling",10,300,286,95.3333333333333
"pd_brain","GSVA","log2CPM","raas",10,16,11,68.75
