"dataset","method","normalization","pathway","cor_with_cell_count","variance_ratio","n_outlier_samples","median_cell_count"
"pd_brain","ssGSEA","log2CPM","interferon_signaling",-0.361572082462009,1.43459839272299,91,1076
"pd_brain","ssGSEA","log2CPM","jak_stat",-0.409278360708226,1.34791197197358,91,1076
"pd_brain","ssGSEA","log2CPM","insulin_signaling",0.170920890225664,1.61798065238457,91,1076
"pd_brain","ssGSEA","log2CPM","glucose_metabolism",-0.191696547472222,0.72024168844328,91,1076
"pd_brain","ssGSEA","log2CPM","nfkb_signaling",-0.141047164012,2.51966920310732,91,1076
"pd_brain","ssGSEA","log2CPM","toll_like_receptor",-0.39846158859674,0.792307386919873,91,1076
"pd_brain","ssGSEA","log2CPM","tgfb_signaling",-0.480004423080405,1.92874621238888,91,1076
"pd_brain","ssGSEA","log2CPM","oxidative_stress",-0.274009759334622,1.08035659858386,91,1076
"pd_brain","ssGSEA","log2CPM","ecm_remodeling",-0.383185122344102,2.55535786081511,91,1076
"pd_brain","ssGSEA","log2CPM","raas",-0.608339628045402,3.03800517381029,91,1076
"pd_brain","ssGSEA","voom","interferon_signaling",-0.267177420034631,1.58348187273083,91,1076
"pd_brain","ssGSEA","voom","jak_stat",-0.222290122510312,1.19424163828098,91,1076
"pd_brain","ssGSEA","voom","insulin_signaling",0.570000904389268,2.72337955264015,91,1076
"pd_brain","ssGSEA","voom","glucose_metabolism",0.102120405151376,0.631187696955814,91,1076
"pd_brain","ssGSEA","voom","nfkb_signaling",-0.129309893454631,2.39758019874445,91,1076
"pd_brain","ssGSEA","voom","toll_like_receptor",-0.22889471716697,0.690566940710527,91,1076
"pd_brain","ssGSEA","voom","tgfb_signaling",-0.410261104474634,1.93769673248373,91,1076
"pd_brain","ssGSEA","voom","oxidative_stress",-0.215362950633756,1.15049043476208,91,1076
"pd_brain","ssGSEA","voom","ecm_remodeling",-0.272512210152576,2.44334724416405,91,1076
"pd_brain","ssGSEA","voom","raas",-0.214228987353366,3.57941239992052,91,1076
"pd_brain","ssGSEA","scran","interferon_signaling",-0.267177420034631,1.58348187273083,91,1076
"pd_brain","ssGSEA","scran","jak_stat",-0.222290122510312,1.19424163828098,91,1076
"pd_brain","ssGSEA","scran","insulin_signaling",0.570000904389268,2.72337955264015,91,1076
"pd_brain","ssGSEA","scran","glucose_metabolism",0.102120405151376,0.631187696955814,91,1076
"pd_brain","ssGSEA","scran","nfkb_signaling",-0.129309893454631,2.39758019874445,91,1076
"pd_brain","ssGSEA","scran","toll_like_receptor",-0.22889471716697,0.690566940710527,91,1076
"pd_brain","ssGSEA","scran","tgfb_signaling",-0.410261104474634,1.93769673248373,91,1076
"pd_brain","ssGSEA","scran","oxidative_stress",-0.215362950633756,1.15049043476208,91,1076
"pd_brain","ssGSEA","scran","ecm_remodeling",-0.272512210152576,2.44334724416405,91,1076
"pd_brain","ssGSEA","scran","raas",-0.214228987353366,3.57941239992052,91,1076
"pd_brain","ssGSEA","sctransform","interferon_signaling",0.0172382922960115,0.766686583610319,91,1076
"pd_brain","ssGSEA","sctransform","jak_stat",0.0803557796063568,0.85636696395966,91,1076
"pd_brain","ssGSEA","sctransform","insulin_signaling",-0.193916508521303,0.616180350956092,91,1076
"pd_brain","ssGSEA","sctransform","glucose_metabolism",0.00606965104908629,0.48807984150434,91,1076
"pd_brain","ssGSEA","sctransform","nfkb_signaling",0.105641659548376,0.870661203415361,91,1076
"pd_brain","ssGSEA","sctransform","toll_like_receptor",-0.0450436431235203,0.74600158884868,91,1076
"pd_brain","ssGSEA","sctransform","tgfb_signaling",0.0622427574824954,0.960885647246833,91,1076
