"dataset","method","pathway","norm1","norm2","spearman_cor","n_samples"
"pd_brain","ssGSEA","interferon_signaling","log2CPM","voom",0.982096820552627,254
"pd_brain","ssGSEA","jak_stat","log2CPM","voom",0.95871972641411,254
"pd_brain","ssGSEA","insulin_signaling","log2CPM","voom",0.748519205385307,254
"pd_brain","ssGSEA","glucose_metabolism","log2CPM","voom",0.874696783571665,254
"pd_brain","ssGSEA","nfkb_signaling","log2CPM","voom",0.998148755004787,254
"pd_brain","ssGSEA","toll_like_receptor","log2CPM","voom",0.957448460072461,254
"pd_brain","ssGSEA","tgfb_signaling","log2CPM","voom",0.990222380072754,254
"pd_brain","ssGSEA","oxidative_stress","log2CPM","voom",0.972288444181632,254
"pd_brain","ssGSEA","ecm_remodeling","log2CPM","voom",0.981051833761422,254
"pd_brain","ssGSEA","raas","log2CPM","voom",0.788702499144129,254
"pd_brain","ssGSEA","interferon_signaling","log2CPM","scran",0.982096820552627,254
"pd_brain","ssGSEA","jak_stat","log2CPM","scran",0.95871972641411,254
"pd_brain","ssGSEA","insulin_signaling","log2CPM","scran",0.748519205385307,254
"pd_brain","ssGSEA","glucose_metabolism","log2CPM","scran",0.874696783571665,254
"pd_brain","ssGSEA","nfkb_signaling","log2CPM","scran",0.998148755004787,254
"pd_brain","ssGSEA","toll_like_receptor","log2CPM","scran",0.957448460072461,254
"pd_brain","ssGSEA","tgfb_signaling","log2CPM","scran",0.990222380072754,254
"pd_brain","ssGSEA","oxidative_stress","log2CPM","scran",0.972288444181632,254
"pd_brain","ssGSEA","ecm_remodeling","log2CPM","scran",0.981051833761422,254
"pd_brain","ssGSEA","raas","log2CPM","scran",0.788702499144129,254
"pd_brain","ssGSEA","interferon_signaling","log2CPM","sctransform",0.810339657321956,254
"pd_brain","ssGSEA","jak_stat","log2CPM","sctransform",0.696148304642575,254
"pd_brain","ssGSEA","insulin_signaling","log2CPM","sctransform",0.404436617010876,254
"pd_brain","ssGSEA","glucose_metabolism","log2CPM","sctransform",0.716261554262239,254
"pd_brain","ssGSEA","nfkb_signaling","log2CPM","sctransform",0.841035320480313,254
"pd_brain","ssGSEA","toll_like_receptor","log2CPM","sctransform",0.751258725767858,254
"pd_brain","ssGSEA","tgfb_signaling","log2CPM","sctransform",0.715983281675933,254
"pd_brain","ssGSEA","oxidative_stress","log2CPM","sctransform",0.803314739110297,254
"pd_brain","ssGSEA","ecm_remodeling","log2CPM","sctransform",0.738200418507324,254
"pd_brain","ssGSEA","raas","log2CPM","sctransform",0.68548314162427,254
"pd_brain","ssGSEA","interferon_signaling","voom","scran",1,254
"pd_brain","ssGSEA","jak_stat","voom","scran",1,254
"pd_brain","ssGSEA","insulin_signaling","voom","scran",1,254
"pd_brain","ssGSEA","glucose_metabolism","voom","scran",1,254
"pd_brain","ssGSEA","nfkb_signaling","voom","scran",1,254
"pd_brain","ssGSEA","toll_like_receptor","voom","scran",1,254
"pd_brain","ssGSEA","tgfb_signaling","voom","scran",1,254
"pd_brain","ssGSEA","oxidative_stress","voom","scran",1,254
"pd_brain","ssGSEA","ecm_remodeling","voom","scran",1,254
"pd_brain","ssGSEA","raas","voom","scran",1,254
"pd_brain","ssGSEA","interferon_signaling","voom","sctransform",0.860508543151474,254
"pd_brain","ssGSEA","jak_stat","voom","sctransform",0.805055407367267,254
"pd_brain","ssGSEA","insulin_signaling","voom","sctransform",0.105010920368272,254
"pd_brain","ssGSEA","glucose_metabolism","voom","sctransform",0.707330468834386,254
"pd_brain","ssGSEA","nfkb_signaling","voom","sctransform",0.852497954147268,254
"pd_brain","ssGSEA","toll_like_receptor","voom","sctransform",0.841168598403228,254
"pd_brain","ssGSEA","tgfb_signaling","voom","sctransform",0.761193057098972,254
"pd_brain","ssGSEA","oxidative_stress","voom","sctransform",0.819603205260817,254
"pd_brain","ssGSEA","ecm_remodeling","voom","sctransform",0.764049744886284,254
"pd_brain","ssGSEA","raas","voom","sctransform",0.635559575048469,254
"pd_brain","ssGSEA","interferon_signaling","scran","sctransform",0.860508543151474,254
"pd_brain","ssGSEA","jak_stat","scran","sctransform",0.805055407367267,254
"pd_brain","ssGSEA","insulin_signaling","scran","sctransform",0.105010920368272,254
"pd_brain","ssGSEA","glucose_metabolism","scran","sctransform",0.707330468834386,254
"pd_brain","ssGSEA","nfkb_signaling","scran","sctransform",0.852497954147268,254
"pd_brain","ssGSEA","toll_like_receptor","scran","sctransform",0.841168598403228,254
"pd_brain","ssGSEA","tgfb_signaling","scran","sctransform",0.761193057098972,254
"pd_brain","ssGSEA","oxidative_stress","scran","sctransform",0.819603205260817,254
"pd_brain","ssGSEA","ecm_remodeling","scran","sctransform",0.764049744886284,254
"pd_brain","ssGSEA","raas","scran","sctransform",0.635559575048469,254
"pd_brain","GSVA","interferon_signaling","log2CPM","voom",0.984025688953494,254
"pd_brain","GSVA","jak_stat","log2CPM","voom",0.975910381581284,254
"pd_brain","GSVA","insulin_signaling","log2CPM","voom",0.880139941819061,254
"pd_brain","GSVA","glucose_metabolism","log2CPM","voom",0.770065558824445,254
"pd_brain","GSVA","nfkb_signaling","log2CPM","voom",0.913923698389131,254
"pd_brain","GSVA","toll_like_receptor","log2CPM","voom",0.973263130529981,254
"pd_brain","GSVA","tgfb_signaling","log2CPM","voom",0.917809262449494,254
"pd_brain","GSVA","oxidative_stress","log2CPM","voom",0.962660944991734,254
"pd_brain","GSVA","ecm_remodeling","log2CPM","voom",0.898601863327884,254
"pd_brain","GSVA","raas","log2CPM","voom",0.809524611562592,254
"pd_brain","GSVA","interferon_signaling","log2CPM","scran",0.990046628965613,254
"pd_brain","GSVA","jak_stat","log2CPM","scran",0.977498732212066,254
"pd_brain","GSVA","insulin_signaling","log2CPM","scran",0.921488318958968,254
"pd_brain","GSVA","glucose_metabolism","log2CPM","scran",0.852815770732681,254
"pd_brain","GSVA","nfkb_signaling","log2CPM","scran",0.94812486383866,254
"pd_brain","GSVA","toll_like_receptor","log2CPM","scran",0.982038969146527,254
"pd_brain","GSVA","tgfb_signaling","log2CPM","scran",0.971198787317361,254
