"dataset","method","normalization","pathway","cell_type","p_value","cohens_d","mean_disease","mean_control","expected_direction","observed_direction","direction_correct","n_disease","n_control"
"sle_blood","ssGSEA","log2CPM","interferon_signaling","CD4-positive, alpha-beta T cell",1.42333063804425e-29,1.95265254778548,2.33417150892503,2.30904249993123,"UP","UP",TRUE,162,99
"sle_blood","ssGSEA","log2CPM","interferon_signaling","classical monocyte",4.26450635960523e-25,1.75403509461497,2.37859881746641,2.35323154828367,"UP","UP",TRUE,162,99
"sle_blood","ssGSEA","log2CPM","interferon_signaling","CD8-positive, alpha-beta T cell",7.50373819738181e-29,1.92437477598513,2.33896924136597,2.3112424033197,"UP","UP",TRUE,162,99
"sle_blood","ssGSEA","log2CPM","interferon_signaling","B cell",3.87656114414475e-17,1.2629903880591,2.3422737518834,2.32139573488171,"UP","UP",TRUE,157,99
"sle_blood","ssGSEA","log2CPM","interferon_signaling","natural killer cell",5.92830834979863e-23,1.56810249146276,2.34221226080103,2.31675032423211,"UP","UP",TRUE,155,98
"sle_blood","ssGSEA","log2CPM","interferon_signaling","non-classical monocyte",1.24091324304627e-20,1.46299778004076,2.37110868044333,2.34800496690989,"UP","UP",TRUE,157,97
"sle_blood","ssGSEA","log2CPM","interferon_signaling","conventional dendritic cell",2.4328863599619e-15,1.33399085483707,2.36350185678503,2.34028302876966,"UP","UP",TRUE,125,88
"sle_blood","ssGSEA","log2CPM","interferon_signaling","lymphocyte",1.17469113374768e-06,1.76359415454436,2.36838769547202,2.34403738979017,"UP","UP",TRUE,74,16
"sle_blood","ssGSEA","log2CPM","interferon_signaling","plasmacytoid dendritic cell",0.164298949845011,0.661806797967904,2.31960223910609,2.30820668948301,"UP","UP",TRUE,11,37
"sle_blood","ssGSEA","log2CPM","jak_stat","CD4-positive, alpha-beta T cell",1.43615446484379e-15,1.18034290485911,2.23968223541515,2.22442381206564,"UP","UP",TRUE,162,99
"sle_blood","ssGSEA","log2CPM","jak_stat","classical monocyte",0.899812134724305,-0.0396573405272365,2.30051152295836,2.30093421386152,"UP","DOWN",FALSE,162,99
"sle_blood","ssGSEA","log2CPM","jak_stat","CD8-positive, alpha-beta T cell",0.0134547266994614,0.346436266173122,2.24295960665673,2.23836666869696,"UP","UP",TRUE,162,99
"sle_blood","ssGSEA","log2CPM","jak_stat","B cell",0.232401041163241,0.184056967014443,2.23855365876141,2.23644573338013,"UP","UP",TRUE,157,99
"sle_blood","ssGSEA","log2CPM","jak_stat","natural killer cell",2.41796222146544e-06,0.634179303581734,2.26243606694631,2.25603792195428,"UP","UP",TRUE,155,98
"sle_blood","ssGSEA","log2CPM","jak_stat","non-classical monocyte",0.0103783060428432,0.34566107752853,2.29223175549108,2.28892680315196,"UP","UP",TRUE,157,97
"sle_blood","ssGSEA","log2CPM","jak_stat","conventional dendritic cell",0.00118135451816511,0.492946201617514,2.30144123362755,2.29723178894546,"UP","UP",TRUE,125,88
"sle_blood","ssGSEA","log2CPM","jak_stat","lymphocyte",0.437939195332941,0.213138551846816,2.25892496488084,2.25701669204612,"UP","UP",TRUE,74,16
"sle_blood","ssGSEA","log2CPM","jak_stat","plasmacytoid dendritic cell",0.395943505624769,0.324859860326822,2.24629890168639,2.24416060765344,"UP","UP",TRUE,11,37
"sle_blood","ssGSEA","log2CPM","nfkb_signaling","CD4-positive, alpha-beta T cell",2.91780293644741e-11,0.905623013644738,2.66576833999624,2.65849217238676,"UP","UP",TRUE,162,99
