"dataset","method","normalization","pathway","spearman_cor","rank_correlation","n_samples"
"sle_blood","ssGSEA","log2CPM","interferon_signaling",0.999991721168184,0.999991721168184,1902
"sle_blood","ssGSEA","log2CPM","jak_stat",0.999994176739113,0.999994176739113,1902
"sle_blood","ssGSEA","log2CPM","insulin_signaling",0.999978733500071,0.999978733500071,1902
"sle_blood","ssGSEA","log2CPM","glucose_metabolism",0.999967671222799,0.999967671222799,1902
"sle_blood","ssGSEA","log2CPM","nfkb_signaling",0.999894701700326,0.999894701700326,1902
"sle_blood","ssGSEA","log2CPM","toll_like_receptor",0.999991018330767,0.999991018330767,1902
"sle_blood","ssGSEA","log2CPM","tgfb_signaling",0.999955271287217,0.999955271287217,1902
"sle_blood","ssGSEA","log2CPM","oxidative_stress",0.99998088038062,0.99998088038062,1902
"sle_blood","ssGSEA","log2CPM","ecm_remodeling",0.999998630949447,0.999998630949447,1902
"sle_blood","ssGSEA","log2CPM","raas",0.999988859242124,0.999988859242124,1902
"sle_blood","ssGSEA","scran","interferon_signaling",0.945415509724845,0.945415509724845,1902
"sle_blood","ssGSEA","scran","jak_stat",0.85929193851211,0.85929193851211,1902
"sle_blood","ssGSEA","scran","insulin_signaling",0.57474859015065,0.57474859015065,1902
"sle_blood","ssGSEA","scran","glucose_metabolism",0.820640233596091,0.820640233596091,1902
"sle_blood","ssGSEA","scran","nfkb_signaling",0.838388535205821,0.838388535205821,1902
"sle_blood","ssGSEA","scran","toll_like_receptor",0.955862073514386,0.955862073514386,1902
"sle_blood","ssGSEA","scran","tgfb_signaling",0.442776098415397,0.442776098415397,1902
"sle_blood","ssGSEA","scran","oxidative_stress",0.874452844449346,0.874452844449346,1902
"sle_blood","ssGSEA","scran","ecm_remodeling",0.300521850416994,0.300521850416994,1902
"sle_blood","ssGSEA","sctransform","interferon_signaling",0.922035945667497,0.922035945667497,1902
"sle_blood","ssGSEA","sctransform","jak_stat",0.904158295812708,0.904158295812708,1902
"sle_blood","ssGSEA","sctransform","insulin_signaling",0.850062117093619,0.850062117093619,1902
"sle_blood","ssGSEA","sctransform","glucose_metabolism",0.775933226803818,0.775933226803818,1902
"sle_blood","ssGSEA","sctransform","nfkb_signaling",0.837749537400216,0.837749537400216,1902
"sle_blood","ssGSEA","sctransform","toll_like_receptor",0.922954112937032,0.922954112937032,1902
"sle_blood","ssGSEA","sctransform","tgfb_signaling",0.94436183958681,0.94436183958681,1902
"sle_blood","ssGSEA","sctransform","oxidative_stress",0.884894882524,0.884894882524,1902
"sle_blood","ssGSEA","sctransform","ecm_remodeling",0.781726260450422,0.781726260450422,1902
"sle_blood","ssGSEA","sctransform","raas",0.666524357204365,0.666524357204365,1902
"sle_blood","GSVA","log2CPM","interferon_signaling",0.999999991279933,0.999999991279933,1902
"sle_blood","GSVA","log2CPM","jak_stat",0.999999977327826,0.999999977327826,1902
"sle_blood","GSVA","log2CPM","insulin_signaling",0.999999996511973,0.999999996511973,1902
"sle_blood","GSVA","log2CPM","glucose_metabolism",0.99999998953592,0.99999998953592,1902
"sle_blood","GSVA","log2CPM","nfkb_signaling",0.999999970351772,0.999999970351772,1902
"sle_blood","GSVA","log2CPM","toll_like_receptor",0.99999999476796,0.99999999476796,1902
"sle_blood","GSVA","log2CPM","tgfb_signaling",0.999999980815852,0.999999980815852,1902
"sle_blood","GSVA","log2CPM","oxidative_stress",0.999999987791906,0.999999987791906,1902
"sle_blood","GSVA","log2CPM","ecm_remodeling",0.999999993023946,0.999999993023946,1902
"sle_blood","GSVA","log2CPM","raas",0.999999977327826,0.999999977327826,1902
"sle_blood","GSVA","scran","interferon_signaling",0.612684646126213,0.612684646126213,1902
"sle_blood","GSVA","scran","jak_stat",0.749551552885223,0.749551552885223,1902
"sle_blood","GSVA","scran","insulin_signaling",0.644792074884805,0.644792074884805,1902
"sle_blood","GSVA","scran","glucose_metabolism",0.804735825079693,0.804735825079693,1902
"sle_blood","GSVA","scran","nfkb_signaling",0.472146250986167,0.472146250986167,1902
"sle_blood","GSVA","scran","toll_like_receptor",0.578088738649611,0.578088738649611,1902
"sle_blood","GSVA","scran","tgfb_signaling",-0.0923206831821072,-0.0923206831821072,1902
"sle_blood","GSVA","scran","oxidative_stress",0.660339921596707,0.660339921596707,1902
"sle_blood","GSVA","scran","ecm_remodeling",0.713917064474898,0.713917064474898,1902
"sle_blood","GSVA","sctransform","interferon_signaling",0.864139894761747,0.864139894761747,1902
"sle_blood","GSVA","sctransform","jak_stat",0.878245287138738,0.878245287138738,1902
"sle_blood","GSVA","sctransform","insulin_signaling",0.961349344980074,0.961349344980074,1902
"sle_blood","GSVA","sctransform","glucose_metabolism",0.766682794634453,0.766682794634453,1902
"sle_blood","GSVA","sctransform","nfkb_signaling",0.754135090536634,0.754135090536634,1902
"sle_blood","GSVA","sctransform","toll_like_receptor",0.906631015625244,0.906631015625244,1902
"sle_blood","GSVA","sctransform","tgfb_signaling",0.895152278407372,0.895152278407372,1902
"sle_blood","GSVA","sctransform","oxidative_stress",0.837917907946072,0.837917907946072,1902
"sle_blood","GSVA","sctransform","ecm_remodeling",0.963024466404459,0.963024466404459,1902
"sle_blood","GSVA","sctransform","raas",0.946312159356515,0.946312159356515,1902
"sle_blood","zscore","log2CPM","interferon_signaling",0.999999996511973,0.999999996511973,1902
"sle_blood","zscore","log2CPM","jak_stat",0.999999991279933,0.999999991279933,1902
"sle_blood","zscore","log2CPM","insulin_signaling",0.999999996511973,0.999999996511973,1902
"sle_blood","zscore","log2CPM","glucose_metabolism",1,1,1902
"sle_blood","zscore","log2CPM","nfkb_signaling",0.99999999476796,0.99999999476796,1902
"sle_blood","zscore","log2CPM","toll_like_receptor",0.99999999476796,0.99999999476796,1902
"sle_blood","zscore","log2CPM","tgfb_signaling",0.999999998255987,0.999999998255987,1902
"sle_blood","zscore","log2CPM","oxidative_stress",0.99999999476796,0.99999999476796,1902
"sle_blood","zscore","log2CPM","ecm_remodeling",1,1,1902
"sle_blood","zscore","log2CPM","raas",0.999999998255987,0.999999998255987,1902
"sle_blood","zscore","scran","interferon_signaling",0.654625401691314,0.654625401691314,1902
