"dataset","method","normalization","pathway","threshold_pct","n_genes_total","n_genes_remaining","pct_genes_remaining"
"sle_blood","ssGSEA","log2CPM","interferon_signaling",10,271,253,93.3579335793358
"sle_blood","ssGSEA","log2CPM","jak_stat",10,473,447,94.5031712473573
"sle_blood","ssGSEA","log2CPM","insulin_signaling",10,82,76,92.6829268292683
"sle_blood","ssGSEA","log2CPM","glucose_metabolism",10,85,83,97.6470588235294
"sle_blood","ssGSEA","log2CPM","nfkb_signaling",10,54,52,96.2962962962963
"sle_blood","ssGSEA","log2CPM","toll_like_receptor",10,170,166,97.6470588235294
"sle_blood","ssGSEA","log2CPM","tgfb_signaling",10,96,96,100
"sle_blood","ssGSEA","log2CPM","oxidative_stress",10,37,36,97.2972972972973
"sle_blood","ssGSEA","log2CPM","ecm_remodeling",10,300,285,95
"sle_blood","ssGSEA","log2CPM","raas",10,16,14,87.5
"sle_blood","ssGSEA","voom","interferon_signaling",10,271,253,93.3579335793358
"sle_blood","ssGSEA","voom","jak_stat",10,473,447,94.5031712473573
"sle_blood","ssGSEA","voom","insulin_signaling",10,82,76,92.6829268292683
"sle_blood","ssGSEA","voom","glucose_metabolism",10,85,83,97.6470588235294
"sle_blood","ssGSEA","voom","nfkb_signaling",10,54,52,96.2962962962963
"sle_blood","ssGSEA","voom","toll_like_receptor",10,170,166,97.6470588235294
"sle_blood","ssGSEA","voom","tgfb_signaling",10,96,96,100
"sle_blood","ssGSEA","voom","oxidative_stress",10,37,36,97.2972972972973
"sle_blood","ssGSEA","voom","ecm_remodeling",10,300,285,95
"sle_blood","ssGSEA","scran","interferon_signaling",10,271,253,93.3579335793358
"sle_blood","ssGSEA","scran","jak_stat",10,473,447,94.5031712473573
"sle_blood","ssGSEA","scran","insulin_signaling",10,82,76,92.6829268292683
"sle_blood","ssGSEA","scran","glucose_metabolism",10,85,83,97.6470588235294
"sle_blood","ssGSEA","scran","nfkb_signaling",10,54,52,96.2962962962963
"sle_blood","ssGSEA","scran","toll_like_receptor",10,170,166,97.6470588235294
"sle_blood","ssGSEA","scran","tgfb_signaling",10,96,96,100
"sle_blood","ssGSEA","scran","oxidative_stress",10,37,36,97.2972972972973
"sle_blood","ssGSEA","scran","ecm_remodeling",10,300,285,95
"sle_blood","ssGSEA","sctransform","interferon_signaling",10,271,253,93.3579335793358
"sle_blood","ssGSEA","sctransform","jak_stat",10,473,447,94.5031712473573
"sle_blood","ssGSEA","sctransform","insulin_signaling",10,82,76,92.6829268292683
"sle_blood","ssGSEA","sctransform","glucose_metabolism",10,85,83,97.6470588235294
"sle_blood","ssGSEA","sctransform","nfkb_signaling",10,54,52,96.2962962962963
"sle_blood","ssGSEA","sctransform","toll_like_receptor",10,170,166,97.6470588235294
