"dataset","method","normalization","pathway","cor_with_cell_count","variance_ratio","n_outlier_samples","median_cell_count"
"sle_blood","ssGSEA","log2CPM","interferon_signaling",-0.13764044152563,1.06390563209994,408,417.5
"sle_blood","ssGSEA","log2CPM","jak_stat",-0.448915984734749,0.684235514413575,408,417.5
"sle_blood","ssGSEA","log2CPM","insulin_signaling",-0.605114409211829,0.80306858999671,408,417.5
"sle_blood","ssGSEA","log2CPM","glucose_metabolism",-0.460432747179308,1.41072207708246,408,417.5
"sle_blood","ssGSEA","log2CPM","nfkb_signaling",-0.205357851415584,4.03762501658889,408,417.5
"sle_blood","ssGSEA","log2CPM","toll_like_receptor",-0.209005899661684,0.664070590469175,408,417.5
"sle_blood","ssGSEA","log2CPM","tgfb_signaling",-0.259536448935059,1.05956096831615,408,417.5
"sle_blood","ssGSEA","log2CPM","oxidative_stress",-0.480034836058309,0.759359018992559,408,417.5
"sle_blood","ssGSEA","log2CPM","ecm_remodeling",-0.85248738514619,0.484035429244809,408,417.5
"sle_blood","ssGSEA","log2CPM","raas",-0.830964624348768,0.448550423854407,408,417.5
"sle_blood","ssGSEA","voom","interferon_signaling",-0.156944554508792,0.756999753612057,408,417.5
"sle_blood","ssGSEA","voom","jak_stat",-0.115666958526208,0.7975509099193,408,417.5
"sle_blood","ssGSEA","voom","insulin_signaling",0.0056063796116962,0.635759813885368,408,417.5
"sle_blood","ssGSEA","voom","glucose_metabolism",-0.364857223623092,0.92814990882874,408,417.5
"sle_blood","ssGSEA","voom","nfkb_signaling",-0.412697736269928,2.36471443154509,408,417.5
"sle_blood","ssGSEA","voom","toll_like_receptor",-0.113298755086252,0.646888642327805,408,417.5
"sle_blood","ssGSEA","voom","tgfb_signaling",0.253661645808212,1.34956630048934,408,417.5
"sle_blood","ssGSEA","voom","oxidative_stress",-0.148415440958912,0.615223166976786,408,417.5
"sle_blood","ssGSEA","voom","ecm_remodeling",-0.0734553956967145,0.810435396549708,408,417.5
"sle_blood","ssGSEA","scran","interferon_signaling",-0.156944554508792,0.756999753612057,408,417.5
"sle_blood","ssGSEA","scran","jak_stat",-0.115666958526208,0.7975509099193,408,417.5
"sle_blood","ssGSEA","scran","insulin_signaling",0.0056063796116962,0.635759813885368,408,417.5
"sle_blood","ssGSEA","scran","glucose_metabolism",-0.364857223623092,0.92814990882874,408,417.5
"sle_blood","ssGSEA","scran","nfkb_signaling",-0.412697736269928,2.36471443154509,408,417.5
"sle_blood","ssGSEA","scran","toll_like_receptor",-0.113298755086252,0.646888642327805,408,417.5
"sle_blood","ssGSEA","scran","tgfb_signaling",0.253661645808212,1.34956630048934,408,417.5
"sle_blood","ssGSEA","scran","oxidative_stress",-0.148415440958912,0.615223166976786,408,417.5
"sle_blood","ssGSEA","scran","ecm_remodeling",-0.0734553956967145,0.810435396549708,408,417.5
"sle_blood","ssGSEA","sctransform","interferon_signaling",-0.287493317606133,0.404233581830062,408,417.5
"sle_blood","ssGSEA","sctransform","jak_stat",-0.23617586927023,0.246786772750313,408,417.5
"sle_blood","ssGSEA","sctransform","insulin_signaling",-0.213278174587154,0.269169097684352,408,417.5
"sle_blood","ssGSEA","sctransform","glucose_metabolism",-0.484521753351719,0.413044495653529,408,417.5
