"dataset","method","pathway","norm1","norm2","spearman_cor","n_samples"
"sle_blood","ssGSEA","interferon_signaling","log2CPM","voom",0.945417717645865,1902
"sle_blood","ssGSEA","jak_stat","log2CPM","voom",0.859260624750733,1902
"sle_blood","ssGSEA","insulin_signaling","log2CPM","voom",0.57490920855675,1902
"sle_blood","ssGSEA","glucose_metabolism","log2CPM","voom",0.820674254066332,1902
"sle_blood","ssGSEA","nfkb_signaling","log2CPM","voom",0.83832092503666,1902
"sle_blood","ssGSEA","toll_like_receptor","log2CPM","voom",0.955891948464672,1902
"sle_blood","ssGSEA","tgfb_signaling","log2CPM","voom",0.442515584663272,1902
"sle_blood","ssGSEA","oxidative_stress","log2CPM","voom",0.874532797001646,1902
"sle_blood","ssGSEA","ecm_remodeling","log2CPM","voom",0.300675579969992,1902
"sle_blood","ssGSEA","interferon_signaling","log2CPM","scran",0.945417717645865,1902
"sle_blood","ssGSEA","jak_stat","log2CPM","scran",0.859260624750733,1902
"sle_blood","ssGSEA","insulin_signaling","log2CPM","scran",0.57490920855675,1902
"sle_blood","ssGSEA","glucose_metabolism","log2CPM","scran",0.820674254066332,1902
"sle_blood","ssGSEA","nfkb_signaling","log2CPM","scran",0.83832092503666,1902
"sle_blood","ssGSEA","toll_like_receptor","log2CPM","scran",0.955891948464672,1902
"sle_blood","ssGSEA","tgfb_signaling","log2CPM","scran",0.442515584663272,1902
"sle_blood","ssGSEA","oxidative_stress","log2CPM","scran",0.874532797001646,1902
"sle_blood","ssGSEA","ecm_remodeling","log2CPM","scran",0.300675579969992,1902
"sle_blood","ssGSEA","interferon_signaling","log2CPM","sctransform",0.789018177730912,1902
"sle_blood","ssGSEA","jak_stat","log2CPM","sctransform",0.767135831774612,1902
"sle_blood","ssGSEA","insulin_signaling","log2CPM","sctransform",0.616261415393124,1902
"sle_blood","ssGSEA","glucose_metabolism","log2CPM","sctransform",0.689378191897219,1902
"sle_blood","ssGSEA","nfkb_signaling","log2CPM","sctransform",0.606761690454128,1902
"sle_blood","ssGSEA","toll_like_receptor","log2CPM","sctransform",0.802488613181447,1902
"sle_blood","ssGSEA","tgfb_signaling","log2CPM","sctransform",0.277450211117231,1902
"sle_blood","ssGSEA","oxidative_stress","log2CPM","sctransform",0.729454754052505,1902
"sle_blood","ssGSEA","ecm_remodeling","log2CPM","sctransform",0.145582093354527,1902
"sle_blood","ssGSEA","raas","log2CPM","sctransform",0.681532893919089,1902
"sle_blood","ssGSEA","interferon_signaling","voom","scran",1,1902
"sle_blood","ssGSEA","jak_stat","voom","scran",1,1902
"sle_blood","ssGSEA","insulin_signaling","voom","scran",1,1902
"sle_blood","ssGSEA","glucose_metabolism","voom","scran",1,1902
"sle_blood","ssGSEA","nfkb_signaling","voom","scran",1,1902
"sle_blood","ssGSEA","toll_like_receptor","voom","scran",1,1902
"sle_blood","ssGSEA","tgfb_signaling","voom","scran",1,1902
"sle_blood","ssGSEA","oxidative_stress","voom","scran",1,1902
"sle_blood","ssGSEA","ecm_remodeling","voom","scran",1,1902
"sle_blood","ssGSEA","interferon_signaling","voom","sctransform",0.74551303861903,1902
"sle_blood","ssGSEA","jak_stat","voom","sctransform",0.853696276610913,1902
"sle_blood","ssGSEA","insulin_signaling","voom","sctransform",0.71813600041984,1902
"sle_blood","ssGSEA","glucose_metabolism","voom","sctransform",0.734054962728423,1902
"sle_blood","ssGSEA","nfkb_signaling","voom","sctransform",0.702056620266704,1902
"sle_blood","ssGSEA","toll_like_receptor","voom","sctransform",0.798831572207775,1902
"sle_blood","ssGSEA","tgfb_signaling","voom","sctransform",0.45724691916123,1902
