"dataset","method","direction_correct","auroc","abs_d"
"ad_brain","AUCell",0.708333333333333,0.703776041666667,0.596314362015528
"ckd_kidney","AUCell",0.345588235294118,0.529192199593988,0.517503805618446
"covid_blood","AUCell",0.669642857142857,0.607147262929967,1.12450419387419
"covid_lung","AUCell",0.508620689655172,0.506681422075176,0.726840698713739
"dcm_heart","AUCell",0.6,0.521108403283275,0.618899009758678
"ipf_lung","AUCell",0.462053571428571,0.472394792865653,0.44700155390494
"pd_brain","AUCell",0.613636363636364,0.634612414875573,0.553123587396886
"sle_blood","AUCell",0.930555555555556,0.717400928855302,0.889603692366708
"ad_brain","GSVA",0.875,0.607421875,0.494634468118215
"ckd_kidney","GSVA",0.647058823529412,0.538543569345054,0.517373103289675
"covid_blood","GSVA",0.5625,0.547369782208796,0.802410780446317
"covid_lung","GSVA",0.61551724137931,0.576644205965423,0.812241133761232
"dcm_heart","GSVA",0.875,0.669796740769887,1.09658102991233
"ipf_lung","GSVA",0.462053571428571,0.499817787149371,0.435874479835266
"pd_brain","GSVA",0.643939393939394,0.509880920736184,0.468024162835279
"sle_blood","GSVA",0.958333333333333,0.72453238134764,0.936671789956876
"ad_brain","ssGSEA",0.916666666666667,0.682291666666667,0.761723177137842
"ckd_kidney","ssGSEA",0.676470588235294,0.562763733323008,0.513363351668981
"covid_blood","ssGSEA",0.709821428571429,0.609032013796889,0.861249211672184
"covid_lung","ssGSEA",0.613793103448276,0.55017559152061,0.748285254428474
"dcm_heart","ssGSEA",0.875,0.59070077887621,0.77258211527835
"ipf_lung","ssGSEA",0.529017857142857,0.493975303308266,0.410212429996494
"pd_brain","ssGSEA",0.636363636363636,0.528557663097137,0.511860242317473
"sle_blood","ssGSEA",0.909722222222222,0.66257097180542,0.721890631936544
"ad_brain","UCell",0.916666666666667,0.748046875,0.662074906562737
"ckd_kidney","UCell",0.363970588235294,0.485874262089134,0.52486987279764
"covid_blood","UCell",0.803571428571429,0.606611198737737,0.865693448362607
"covid_lung","UCell",0.491379310344828,0.516535459244263,0.731660208261763
"dcm_heart","UCell",0.75,0.58422239891869,0.474950951790101
"ipf_lung","UCell",0.466517857142857,0.499648558051116,0.481779701077737
"pd_brain","UCell",0.606060606060606,0.650676248702564,0.576456108550397
"sle_blood","UCell",0.895833333333333,0.695776127039467,0.815462881741053
"ad_brain","zscore",0.916666666666667,0.631510416666667,0.542141593557949
"ckd_kidney","zscore",0.665441176470588,0.566198683519643,0.51285588143376
"covid_blood","zscore",0.910714285714286,0.72007442450354,1.10898129755289
"covid_lung","zscore",0.605172413793103,0.553569741369254,0.660151448308248
"dcm_heart","zscore",0.875,0.61895756802814,0.940128439901254
"ipf_lung","zscore",0.625,0.517346562330116,0.426901760807707
"pd_brain","zscore",0.674242424242424,0.552593605225184,0.460585548380281
"sle_blood","zscore",0.909722222222222,0.638338412637674,0.683662971799753
