"scenario","method","d","rep"
"A","ssGSEA",9.85902913388649,1
"A","GSVA",12.2841920800267,1
"A","zscore",10.0987757370573,1
"A","AUCell",8.21436823573966,1
"A","UCell",9.87123758482626,1
"A","ssGSEA",9.24361557918724,2
"A","GSVA",14.8369148662063,2
"A","zscore",10.2844841596682,2
"A","AUCell",8.24156395536247,2
"A","UCell",9.21279334571225,2
"A","ssGSEA",9.18175652866388,3
"A","GSVA",14.2277757268416,3
"A","zscore",9.44971346761563,3
"A","AUCell",8.51477905276397,3
"A","UCell",9.17815545565344,3
"A","ssGSEA",10.6102498918453,4
"A","GSVA",13.2814407221827,4
"A","zscore",10.0213358836151,4
"A","AUCell",7.41651267120021,4
"A","UCell",10.6082875731958,4
"A","ssGSEA",8.94095004767493,5
"A","GSVA",12.7094286677683,5
"A","zscore",9.06007019637723,5
"A","AUCell",6.6814049087411,5
"A","UCell",8.90676344068295,5
"A","ssGSEA",10.1368362908912,6
"A","GSVA",14.6780191846092,6
"A","zscore",10.3271613036179,6
"A","AUCell",7.05904812900528,6
"A","UCell",10.112383890904,6
"A","ssGSEA",9.40186008113568,7
"A","GSVA",11.8090381348257,7
"A","zscore",9.55939028659887,7
"A","AUCell",7.59982426092943,7
"A","UCell",9.40024698061231,7
"A","ssGSEA",10.4810917870738,8
"A","GSVA",16.2895714991286,8
"A","zscore",10.2232797952555,8
"A","AUCell",7.58507523886043,8
"A","UCell",10.4960709608396,8
"A","ssGSEA",8.61477653338446,9
"A","GSVA",14.0335828566774,9
"A","zscore",8.97652962027354,9
"A","AUCell",8.02043781729369,9
"A","UCell",8.60424166504768,9
"A","ssGSEA",10.1650730409328,10
"A","GSVA",16.4410020577005,10
"A","zscore",10.0581866353021,10
"A","AUCell",7.9804647607892,10
"A","UCell",10.1367976040504,10
"A","ssGSEA",7.97471048600243,11
"A","GSVA",11.4420133403822,11
"A","zscore",7.64261835641817,11
"A","AUCell",5.81063367979471,11
"A","UCell",7.95323469165561,11
"A","ssGSEA",9.52133745651165,12
"A","GSVA",13.121061033284,12
"A","zscore",9.32531203582979,12
"A","AUCell",6.7250064687644,12
"A","UCell",9.54561942995278,12
"A","ssGSEA",10.1492145661877,13
"A","GSVA",14.3033483568164,13
"A","zscore",10.3152236376801,13
"A","AUCell",7.94187958239988,13
"A","UCell",10.1460001685224,13
"A","ssGSEA",9.51399871749791,14
"A","GSVA",13.5967154674537,14
"A","zscore",9.6168341266953,14
"A","AUCell",8.68148014915609,14
"A","UCell",9.47916256996923,14
"A","ssGSEA",8.40312940537604,15
"A","GSVA",13.8964569831768,15
"A","zscore",8.28694759813625,15
"A","AUCell",6.87857604468549,15
"A","UCell",8.40430820694174,15
"A","ssGSEA",8.79590841775333,16
"A","GSVA",14.0739789160352,16
"A","zscore",8.9643148370968,16
"A","AUCell",6.67429654826371,16
"A","UCell",8.79085102775579,16
"A","ssGSEA",8.79339241139858,17
"A","GSVA",11.8333496690384,17
"A","zscore",9.19741374793127,17
"A","AUCell",6.51186977831293,17
"A","UCell",8.79433202618168,17
"A","ssGSEA",8.43115263387623,18
"A","GSVA",12.4686973025542,18
"A","zscore",9.26704385134703,18
"A","AUCell",7.53719695968346,18
"A","UCell",8.43426038273075,18
"A","ssGSEA",8.07785159445823,19
"A","GSVA",12.4416437530779,19
"A","zscore",8.41699407362612,19
"A","AUCell",6.96939456242051,19
"A","UCell",8.08419263314796,19
"A","ssGSEA",9.15592991761737,20
"A","GSVA",12.4777969545428,20
"A","zscore",9.14539914235793,20
"A","AUCell",6.71577234161473,20
"A","UCell",9.13790536679527,20
"A","ssGSEA",8.41307504168405,21
"A","GSVA",12.4456036100045,21
"A","zscore",8.17222009325388,21
"A","AUCell",5.60840398796457,21
"A","UCell",8.42677703387078,21
"A","ssGSEA",9.28373439680456,22
"A","GSVA",14.5311628207503,22
"A","zscore",10.5798318028157,22
"A","AUCell",9.50522341005415,22
"A","UCell",9.23091918774601,22
"A","ssGSEA",9.57550143315284,23
"A","GSVA",13.2761386428601,23
"A","zscore",9.40690686653649,23
"A","AUCell",6.80099994597328,23
"A","UCell",9.55899585855983,23
