"","donor1_macrophage_disease","donor2_macrophage_disease","donor3_macrophage_disease","donor4_macrophage_disease","donor5_macrophage_disease","donor6_epithelial_disease","donor7_epithelial_disease","donor8_epithelial_disease","donor9_epithelial_disease","donor10_epithelial_disease","donor11_macrophage_control","donor12_macrophage_control","donor13_macrophage_control","donor14_macrophage_control","donor15_macrophage_control","donor16_epithelial_control","donor17_epithelial_control","donor18_epithelial_control","donor19_epithelial_control","donor20_epithelial_control"
"STAT1",6.9512,7.6545,7.9667,8.3726,9.2153,9.4086,8.9862,6.7652,7.6575,9.0282,6.983,8.0805,7.1537,7.5777,8.0641,8.8295,7.4931,8.5277,7.4859,6.6313
"STAT2",8.7197,8.4101,8.0487,6.9719,9.788,8.2479,8.1037,7.4523,7.9123,9.0335,6.8178,7.9212,7.2872,5.2131,4.5665,8.8553,7.8001,8.5276,7.5896,6.3036
"IRF1",5.5438,3.0659,4.4928,3.9492,5.4815,4.6378,3.4505,4.3212,3.3662,4.8355,3.3018,3.7776,5.0905,3.1754,3.7424,3.8061,2.9214,3.7931,2.794,4.5267
"IRF7",8.9609,7.8833,8.5057,7.1246,9.8155,9.3547,8.9192,6.6829,8.1845,9.0568,6.5735,8.4114,6.1344,5.0786,7.4863,7.7663,7.7302,6.8475,7.9757,8.7673
"IRF9",11.0615,10.7293,10.7345,10.5218,12.5775,10.1909,10.9982,9.6065,9.3565,11.3876,9.9762,10.2238,10.511,8.747,9.0301,12.2631,8.2885,9.0683,8.3346,10.4582
"IFITM1",10.1906,7.9196,9.1572,7.3272,9.0068,9.4539,7.8573,6.4947,8.3095,8.9134,6.6698,6.6605,6.9827,4.7059,5.1802,6.1651,6.1491,6.0973,6.4513,3.9029
"IFITM3",12.2456,11.5976,12.1094,11.6738,11.9034,11.1366,10.8429,11.0677,9.9254,11.1987,9.4915,9.1821,9.3296,8.8419,9.2222,10.9959,10.1814,12.2648,8.4742,8.868
"ISG15",4.6911,4.033,4.6188,4.3485,4.3465,5.5252,3.5236,3.0556,4.3774,4.0424,3.3437,1.9216,4.6168,1.3566,4.1927,2.7142,3.0108,3.1056,1.979,0.9982
"ISG20",9.9991,7.6111,7.5263,5.765,9.4541,7.9905,8.6174,6.2715,8.1253,7.9034,6.5161,8.1506,5.0364,6.4486,6.8585,5.9313,6.6255,5.4389,5.4923,4.846
"MX1",7.5239,7.7201,6.7905,6.4936,7.572,7.1438,8.3029,6.0441,7.8116,7.5728,6.1996,6.053,5.2478,7.2073,4.9929,6.8363,4.4637,5.9564,4.5154,6.1028
"MX2",6.6039,7.4196,7.9461,5.4138,8.4622,8.1976,6.3346,6.4052,8.3062,6.1534,4.672,4.7242,4.1243,4.6102,4.8075,4.7324,5.4585,5.8654,4.6717,4.7131
"OAS1",11.5941,10.15,11.7339,10.4939,13.2773,11.8821,10.8261,9.8271,9.2194,11.7768,9.9942,10.4851,9.1196,10.0658,9.3945,12.6743,8.5494,11.305,9.0629,8.753
"OAS2",9.4963,8.5982,9.1883,9.2363,11.0923,11.4577,8.8431,8.1701,8.495,9.6989,8.6126,8.5685,8.5507,5.7365,8.7917,10.2912,8.407,8.9333,7.7667,9.3824
"OAS3",1.6487,1.8962,2.0741,1.2732,2.1478,1.7356,2.1499,1.2732,1.2732,2.5617,0,0,0,1.1964,2.5037,1.1759,0.9395,2.2641,0.3279,1.2742
"IFIT1",9.0605,8.6137,8.423,8.9014,11.4881,8.761,10.087,8.872,8.3593,9.1234,8.4308,7.5698,6.9495,6.095,6.9742,8.1518,8.267,8.2267,7.0508,7.0137
"IFIT2",8.0762,7.6098,8.8058,8.7365,9.703,8.7694,7.9439,8.2077,7.2415,8.2147,6.2838,7.662,9.2406,6.683,6.8624,7.0941,7.3622,7.2295,7.3884,8.8493
"IFIT3",10.8149,9.7743,11.3935,10.6117,11.1077,9.7225,11.9582,9.5838,10.0646,11.1548,6.8227,9.9201,9.1288,8.8282,8.6731,11.1292,8.5131,8.3033,7.149,9.2247
"IFI44",3.3201,2.2597,2.844,2.1274,3.847,3.6534,4.2057,2.6802,3.0582,3.6397,2.0164,1.9698,3.1655,0.6522,3.4232,2.096,2.1759,2.1127,2.0162,1.597
"IFI44L",6.4485,4.8744,6.6999,5.7357,6.866,6.6735,7.024,4.4515,4.589,6.2863,6.1978,7.5226,4.5197,4.8699,4.3982,8.1046,6.9196,3.7922,5.1232,5.8677
"IFI6",14.2953,12.8014,13.228,12.6017,13.6875,11.8905,13.2095,11.016,12.3158,12.7391,10.3571,11.7488,11.3849,10.6022,10.3215,12.7981,10.8179,11.516,10.3864,11.3748
"IFI27",7.1134,6.7151,7.1758,7.4158,6.7423,8.2874,8.6684,6.9862,8.0812,9.4161,5.8978,4.3201,6.0157,6.1608,6.4448,8.8705,6.1845,5.6532,4.8703,6.5149
"IFI35",2.7708,2.151,1.7621,2.4256,3.6023,3.2733,2.6952,2.3438,2.5128,3.2259,2.379,2.9925,3.7688,0.8797,0.8858,2.0349,1.8799,2.0926,0.1998,0.1776
"RSAD2",12.8966,12.7027,12.2828,11.5696,13.5083,12.9886,12.329,10.2651,10.5467,12.2087,9.8118,10.1051,10.6574,9.3467,9.2781,10.9019,10.3318,11.5881,9.8593,11.0541
"BST2",10.4412,8.255,9.0421,9.6736,11.5075,9.9359,9.7976,9.4577,9.9292,9.3747,7.3333,8.3344,9.3635,5.7892,10.6441,10.6891,8.313,8.2423,7.1032,8.9001
"HERC5",3.0603,3.3358,3.3476,1.5087,2.0862,2.4627,2.4503,1.4925,2.6827,3.1113,1.1227,1.245,1.9024,0.8343,1.2744,2.5448,2.0323,0.404,1.5562,2.7474
"USP18",7.6321,6.4103,7.5527,7.2566,8.4989,7.2544,7.9418,6.0499,8.186,8.0156,7.1741,6.1417,7.1361,5.8502,5.6186,6.8374,7.6739,7.2005,4.5838,6.0502
"DDX58",10.7002,8.7706,10.374,8.5159,11.658,11.5261,11.558,8.5262,9.3043,11.1203,9.1955,9.3747,9.635,9.8598,9.4966,10.8698,9.4737,9.4008,9.2306,10.4929
"IFIH1",9.048,7.1129,8.1584,7.76,10.8071,10.3401,9.7213,7.7184,8.198,9.2729,8.1241,8.7785,9.2597,7.718,7.4502,8.3231,9.4283,7.1004,7.2242,8.5916
"EIF2AK2",12.4713,10.9513,11.9234,12.586,13.7858,14.0379,11.6985,11.8346,12.6908,12.4473,12.3286,9.5085,12.4574,9.8038,9.6261,12.3188,10.1305,10.8244,11.9097,11.3986
"GBP1",13.0213,11.7177,12.6567,10.4036,14.6629,11.825,13.2748,9.7134,12.5512,11.183,9.8448,11.2083,10.6497,10.3016,10.6926,10.5358,10.0864,11.7752,9.1409,11.6959
"TGFB1",8.8496,6.588,8.4378,6.6472,9.7642,8.0907,10.3637,7.3056,7.029,9.2387,7.4372,9.2356,9.2211,7.816,9.5959,10.556,8.8517,9.1807,8.9084,10.4172
